#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,爱心莓果蛋糕,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,爱心莓果蛋糕,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,莫古力莓果蛋糕,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,莫古力莓果蛋糕,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,巧克力蛋莓果蛋糕,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,巧克力蛋莓果蛋糕,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,陆行鸟莓果蛋糕,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,陆行鸟莓果蛋糕,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,仙人掌莓果蛋糕,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,仙人掌莓果蛋糕,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,爱心奶油蛋糕,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,爱心奶油蛋糕,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,莫古力奶油蛋糕,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,莫古力奶油蛋糕,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,巧克力蛋奶油蛋糕,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,巧克力蛋奶油蛋糕,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,陆行鸟奶油蛋糕,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,陆行鸟奶油蛋糕,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,仙人掌奶油蛋糕,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
20,仙人掌奶油蛋糕,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,爱心巧克力蛋糕,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,爱心巧克力蛋糕,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,莫古力巧克力蛋糕,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,莫古力巧克力蛋糕,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,双重巧克力蛋糕,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,双重巧克力蛋糕,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,陆行鸟巧克力蛋糕,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,陆行鸟巧克力蛋糕,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,仙人掌巧克力蛋糕,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,仙人掌巧克力蛋糕,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,爱心柠檬蛋糕,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,爱心柠檬蛋糕,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,莫古力柠檬蛋糕,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,莫古力柠檬蛋糕,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,巧克力蛋柠檬蛋糕,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,巧克力蛋柠檬蛋糕,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,陆行鸟柠檬蛋糕,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,陆行鸟柠檬蛋糕,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,仙人掌柠檬蛋糕,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,仙人掌柠檬蛋糕,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,爱心开心果蛋糕,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,爱心开心果蛋糕,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,莫古力开心果蛋糕,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,莫古力开心果蛋糕,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,巧克力蛋开心果蛋糕,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,巧克力蛋开心果蛋糕,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,陆行鸟开心果蛋糕,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,陆行鸟开心果蛋糕,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,仙人掌开心果蛋糕,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,仙人掌开心果蛋糕,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,特制冒险蛋糕,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
