#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Thumbnail,Unknown4,Unknown12,Unknown13,FestivalId,Unknown14,LodestoneRank,FestivalPhase,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
0,,,,,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,"第一次基地扩建工程　物资准备中
 **请积极参加探索任务筹备物资吧！",第一次基地扩建工程　物资准备中,"是时候一起筹备物资，扩建月门基地啦！
请积极参加探索任务帮忙筹备物资！",宇宙探索终于启航！是时候一起筹备物资，扩建月门基地啦！,查明威,241001,0,0,0,158,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,False
2,"第一次基地扩建工程　联合工程准备中
**请为联合工程的开工做好准备！",第一次基地扩建工程　联合工程准备中,"扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241001,0,0,1451,158,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,False
3,"第一次基地扩建工程　联合工程进行中
**请积极参与其中吧！",第一次基地扩建工程　联合工程进行中,"扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！",扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！,查明威,241001,0,0,0,158,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,False
4,"月门基地：二级基地　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",月门基地：二级基地　竣工,"月门基地扩建完毕啦！成果很棒！
探索活动正在有条不紊地推进着，感谢大家的帮助！",月门基地扩建完毕啦！成果很棒！感谢大家的帮助！,查明威,241002,18,0,1406,158,0,1,4,6,0,2,3,0,0,0,0,0,0,0,0,0,False
5,"第一次宇宙飞线铺设工程支援行动　物资收集中
 **请积极参加探索任务筹备物资吧！",第一次宇宙飞线铺设工程支援行动　物资收集中,"我们需要在月门基地附近建设快速移动的宇宙飞线！
请积极参加探索任务帮忙筹备物资！",我们需要在月门基地附近建设快速移动的宇宙飞线！一起筹备物资吧！,查明威,241003,0,0,0,158,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,False
6,"第一次宇宙飞线铺设工程支援行动　联合工程准备中
**请为联合工程的开工做好准备！",第一次宇宙飞线铺设工程支援行动　联合工程准备中,"建设宇宙飞线的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！",建设宇宙飞线的联合工程举办时间确定啦！到时候一定要来帮忙呀！,查明威,241003,0,0,1451,158,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,False
7,"第一次宇宙飞线铺设工程支援行动　联合工程进行中
**请积极参与其中吧！",第一次宇宙飞线铺设工程支援行动　联合工程进行中,"建设宇宙飞线的联合工程正在进行中！
请一定要来帮忙呀！",建设宇宙飞线的联合工程正在进行中！请一定要来帮忙呀！,查明威,241003,0,0,0,158,0,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,False
8,"宇宙飞线内环线　竣工
**下一项工程尚在计划阶段，请先随意放松一下吧！",宇宙飞线内环线　竣工,"宇宙飞线竣工啦！
这下就方便去更远的地方探索了，感谢大家的帮助！",宇宙飞线竣工啦！感谢大家的帮助！,查明威,241004,18,1,1405,158,0,2,8,6,0,2,3,0,0,0,0,0,0,0,0,0,False
9,"居住舱&宇宙港　建设物资准备中
 **请积极参加探索任务筹备物资吧！",居住舱&宇宙港　建设物资准备中,"我们需要建设居住舱和发射宇宙飞船的宇宙港！
请积极参加探索任务帮忙筹备物资！",我们需要建设居住舱和发射宇宙飞船的宇宙港！一起筹备物资吧！,查明威,241005,0,0,0,158,0,2,9,0,0,2,3,0,0,0,0,0,0,0,0,0,False
