#,StartupText,RunningText,Unknown0
0,,,0
1,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行第一次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！",1978
2,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在开展第一次宇宙飞线铺设工程支援行动！
工程急需人手！欢迎各位协助者加入！",1979
3,"月门基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东南方正在开展居住舱安装工程支援行动！
工程急需人手！欢迎各位协助者加入！",1980
4,"月门基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西北方正在开展第一次宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！",1981
5,"月门基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东北方正在开展第一次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！",1982
6,"憧憬湾西北方的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
7,"憧憬湾东南方的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
8,"憧憬湾南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾南部正在进行第一次隧道工程施工！
工程急需人手！欢迎各位协助者加入！",1983
9,"憧憬湾南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾南部正在进行第二次隧道工程施工！
工程急需人手！欢迎各位协助者加入！",1984
10,"憧憬湾西南方隧道深处的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
11,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行第二次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！",1985
12,"月门基地西南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西南方正在开展能源设施扩建工程支援行动！
工程急需人手！欢迎各位协助者加入！",1986
13,"月门基地西部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西部正在开展供水设施扩建工程支援行动！
工程急需人手！欢迎各位协助者加入！",1987
14,"月门基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东北方正在开展第二次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！",1988
15,"月门基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西北方正在开展第二次宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！",1989
16,"憧憬湾东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾东北方正在进行第一次升降梯建设用地整备工程施工！
工程急需人手！欢迎各位协助者加入！",1990
17,"憧憬湾东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾东北方正在进行第二次升降梯建设用地整备工程施工！
工程急需人手！欢迎各位协助者加入！",1991
18,"憧憬湾东北方地底深处的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
19,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行基地综合设施扩建工程施工！
工程急需人手！欢迎各位协助者加入！",1992
20,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第一次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！",2008
21,"玻璃匠岩窟的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次宇宙飞线铺设工程支援行动！
工程急需人手！欢迎各位协助者加入！",2009
22,"玻璃匠基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展居住舱安装工程支援行动！
工程急需人手！欢迎各位协助者加入！",2010
23,"玻璃匠基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展能源设施建设工程支援行动！
工程急需人手！欢迎各位协助者加入！",2011
24,"玻璃匠基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展供水设施建设工程支援行动！
工程急需人手！欢迎各位协助者加入！",2012
25,"玻璃匠基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！",2013
26,"平原地区的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
27,"千花山丘东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第一次升降机建设工程施工！
工程急需人手！欢迎各位协助者加入！",2014
28,"胶囊峡谷东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第二次升降机建设工程施工！
工程急需人手！欢迎各位协助者加入！",2015
29,"胶囊峡谷底部的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",,0
30,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第二次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！",2016
31,"玻璃匠基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！",2017
32,"玻璃匠基地西南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！",2018
33,"蛋白石十字口西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次能量集散设施建设工程！
工程急需人手！欢迎各位协助者加入！",2019
34,"千花山丘西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次能量集散设施建设工程！
工程急需人手！欢迎各位协助者加入！",2020
35,"玻砾河岸南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展冷却无人机据点建设工程！
工程急需人手！欢迎各位协助者加入！",2021
36,"熔火涌道的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次冷却熔融玻璃大作战！
工程急需人手！欢迎各位协助者加入！",2022
