#,Name,Description,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52
0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,巨型偏属性水晶破坏指令,有报告称尖叫泡芙附近，中控水晶调整月面环境时散溢出来的以太形成了大量的巨型偏属性水晶。驾驶强力机兵前往报告中的地点粉碎巨型偏属性水晶，回收碎片用以补充属性变换用的资源。,"驾驶强力机兵，
粉碎巨型偏属性水晶。",,,"使用宇宙钻头粉碎小型偏属性水晶。
将获取的资源投入野外探查器分析。",,,"机甲行动——巨型偏属性水晶破坏指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259842,4259843,4259844,4259845,4259846,368,11502159,10921203,11482845,10921201,11482848,11759496,6,7,8,0,7,8,1,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300,2,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,有害菌床驱除指令,有报告发现，能散布有害异常孢子的荧光小菇正在尖叫泡芙附近大量增殖。这些孢子附着在宇宙探索用的器材表面，可能会对今后的探索造成很大的负面影响。驾驶轮式工程车粉碎所有的红色荧光小菇杜绝其进一步繁殖的可能性。,"驾驶轮式工程车，
驱除巨型变异菌床。",,,"使用宇宙火焰喷射器焚烧小型变异菌床。
将燃烧后留下的灰烬投入野外探查器分析。",,,"机甲行动——有害菌床驱除指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259862,4259863,4259864,4259865,4259866,378,11508987,11170532,11508985,11170531,11508986,11759498,9,10,11,0,7,8,5,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305,2,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
6,法恩娜石采掘指令,玻砾河岸的地下存在着因急速冷却的变质作用生成的火山玻璃矿脉。我们将这一可利用资源命名为法恩娜石，并决定投入强力机兵来进行采掘。想获取地下资源需要相当庞大的电离子能源。所以，这一能源大量产生时，就是我们采掘法恩娜石的大好时机。请使用增设在机体上的强力吸取器，吸取能源后进行采掘。,"对流沙洞使用拖曳光束，
回收位于地下的法恩娜石。
发动拖曳光束需要消耗
10个电离子能源。",,,"使用宇宙钻头采掘沉睡在地下的法恩娜石。
获得的资源可以提交至野外探查器进行分析。",,,"机甲行动——法恩娜石采掘指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259924,4259925,4259926,4259927,4259928,404,11925434,11841658,11925435,11841657,11925436,11911477,12,13,14,0,7,8,6,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343,3,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
7,玻璃块粉碎回收指令,由于地热变动，冷却洞内出现了大量优质玻璃。确认了样品的研究员表示，这些玻璃的纯度高到难以相信是自然产生的，甚至可以直接用于制作精密镜片或开发新设备，极有可能在今后的探索计划中起到关键作用。请驾驶轮式工程车前往现场，粉碎玻璃块进行回收。,"驾驶轮式工程车，
粉碎玻璃块。",,,"使用宇宙吸取器来吸收玻璃碎片。
获得的资源可以提交至野外探查器，
并进行分析。",,,"机甲行动——玻璃块粉碎回收指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259929,4259930,4259931,4259932,4259933,405,11925453,11842477,11925454,11842314,11925455,11911495,15,16,17,0,7,8,7,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348,3,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
8,重力异常消除指令,在丢失已久的胡萝卜周围观测到了大规模的重力场扭曲，出现了大大小小的重力块，如果放任不管的话，恐怕会对周边地区造成恶劣影响。为应对这一事态，我们得到了加雷马技术人员的协助，准备了为解决状况特化过的魔导重型机械。望能驾驭这台机械清除当地的重力块。,"驾驶魔导重型机械，清除重力块。
宇宙爆破器对中重力块有效。",驾驶魔导重型机械，清除巨大重力块。,,使用宇宙夯地机清除地面的重力畸变点。,使用宇宙夯地机清除巨大重力块。,,"机甲行动——重力异常消除指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259847,4259848,4259849,4259850,4259851,424,12171402,12115206,12171403,12115207,12171404,12216648,3,2,4,0,7,8,2,12201566,377,12201637,12201638,12201639,12201640,12201641,365,366,367,368,369,4,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
9,浮空石收集指令,革剌斯角出现了局部重力异常。受此影响，一些在地里的浮空石开始露出地面并不断上浮，而这些浮空石都携带着高密度的能量，如果能在这个状态下进行收集的话一定会让研究取得莫大的进展。希望能在重力异常结束之前进行收集。,"驾驶特定地区专用型强力机兵，
收集飘起来的浮空石。",,,"使用改良型宇宙吸取器
收集飘起来的小型浮空石。
获得的资源可以提交至野外探查器进行分析。",,,"机甲行动——浮空石收集指令已发布。
想成为驾驶员的人请通过探索触控板提交申请。","机甲行动即将开始。
想以协助员身份参加机甲行动的人请到任务地点集合。",4259852,4259853,4259854,4259855,4259856,423,12171427,12115218,12171428,12115219,12171429,12216801,18,19,0,20,7,8,3,12201585,380,12201642,12201646,12201647,12201648,12201649,370,371,372,373,374,4,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
