#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,要进入神勇队司令室吗？,3884000,590352,590353,0,204,3,1,0,0,False
131075,,要离开神勇队司令室吗？,3884182,0,0,0,132,1,1,0,0,False
131076,,要离开芙蓉圆桌吗？,3878860,0,0,0,133,1,1,0,0,False
131077,前往花蜜栈桥,要乘船前往花蜜栈桥吗？,1381039,590354,590355,0,152,4,1,0,0,False
131078,,要乘船前往格里达尼亚旧街吗？,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,要离开吗？,4125264,0,0,0,128,1,1,0,0,False
131083,,要离开吗？,2232680,0,0,0,132,1,1,0,0,False
131084,,要离开吗？,4125288,0,0,0,130,1,1,0,0,False
131085,,要离开银胄团总长室吗？,4107979,0,0,0,131,1,1,0,0,False
131086,,"要乘船前往月牙湾吗？
交通费为40金币。",4143657,590441,590620,590448,140,6,1,0,0,False
131087,,"要乘船前往白银集市吗？
交通费为40金币。",4143677,590442,590621,590449,140,6,1,0,0,False
131088,,要进入沙之家吗？,4107477,0,590450,0,212,7,1,0,0,False
131089,,要离开沙之家吗？,4132388,0,0,0,140,1,1,0,0,False
131090,,要进入拂晓之间吗？,4148347,0,590564,0,212,21,1,0,0,False
131091,,要离开拂晓之间吗？,4148350,0,0,0,212,1,1,0,0,False
131092,4层：利姆萨·罗敏萨飞艇坪,要前往4层的利姆萨·罗敏萨飞艇坪吗？,4158063,0,0,0,128,1,1,0,0,False
131093,2层：沉溺海豚亭,要前往2层的沉溺海豚亭吗？,4158069,0,0,0,128,1,1,0,0,False
131094,1层：工事大厅,要前往1层的工事大厅吗？,4161445,0,0,0,129,1,1,0,0,False
131095,4层：乌尔达哈飞艇坪,要前往4层的乌尔达哈飞艇坪吗？,4164411,0,0,0,130,1,1,0,0,False
131096,2层：政府层,要前往2层的政府层吗？,4164414,0,0,0,131,1,1,0,0,False
131097,1层：红玉大路国际市场,要前往1层的红玉大路国际市场吗？,4164413,0,0,0,130,1,1,0,0,False
131098,,要进入银胄团总长室吗？,4087066,590451,590452,0,210,8,1,0,0,False
131099,,要进入有关区域吗？,4165046,590611,0,0,146,1,1,0,0,False
131100,,要从水边离开吗？,4165037,590610,0,0,145,1,1,0,0,False
131101,前往格里达尼亚,"要前往格里达尼亚吗？
交通费为120金币。",4103382,0,590530,590453,132,9,1,227,232,True
131102,前往利姆萨·罗敏萨,"要前往利姆萨·罗敏萨吗？
交通费为120金币。",4103399,0,590530,590453,128,9,1,227,230,True
131103,前往乌尔达哈,"要前往乌尔达哈吗？
交通费为120金币。",4103339,0,589916,590454,130,9,1,231,228,True
131104,前往利姆萨·罗敏萨,"要前往利姆萨·罗敏萨吗？
交通费为120金币。",4103399,0,589916,590454,128,9,1,231,230,True
131105,前往乌尔达哈,"要前往乌尔达哈吗？
交通费为120金币。",4103339,0,590531,590455,130,9,1,229,228,True
131106,前往格里达尼亚,"要前往格里达尼亚吗？
交通费为120金币。",4103382,0,590531,590455,132,9,1,229,232,True
131107,,"要前往利姆萨·罗敏萨吗？
交通费为80金币。",4165398,0,591076,590456,129,10,1,235,234,True
131108,,"要前往黄昏湾吗？
交通费为80金币。",4165376,0,591077,590457,140,10,1,233,236,True
131109,前往小麦酒港,"要前往小麦酒港吗？
交通费为40金币。",4165794,590514,590515,590622,138,11,1,0,0,False
131110,前往利姆萨·罗敏萨,"要前往利姆萨·罗敏萨吗？
交通费为40金币。",4165749,590516,590517,590623,129,11,1,0,0,False
131111,前往太阳海岸,"要前往太阳海岸吗？
交通费为40金币。",4165755,590518,590519,590624,137,12,1,0,0,False
131112,前往利姆萨·罗敏萨,"要前往利姆萨·罗敏萨吗？
交通费为40金币。",4165749,590520,590521,590625,129,12,1,0,0,False
131113,前往吉吉卢恩交易站,"要前往吉吉卢恩交易站吗？
交通费为40金币。",4165801,590510,0,590511,139,13,1,0,0,False
131114,前往梅梅卢恩交易站,"要前往梅梅卢恩交易站吗？
交通费为40金币。",4165797,590512,0,590513,139,13,1,0,0,False
131115,前往小麦酒港,"要前往小麦酒港吗？
交通费为40金币。",4165794,590522,590626,590628,138,14,1,0,0,False
131116,前往守炬埠头,"要前往守炬埠头吗？
交通费为40金币。",4165877,590523,590627,590629,135,14,1,0,0,False
131117,从白狼门离开,要走出白狼门吗？,1317627,590524,590525,0,148,15,1,0,0,False
131118,,要进入格里达尼亚吗？,1317561,590529,590526,0,132,15,1,0,0,False
131119,前往接雨草树林,"要前往接雨草树林吗？
交通费为40金币。",4165759,590527,0,590630,137,16,1,0,0,False
131120,前往隐秘瀑布,"要前往隐秘瀑布吗？
交通费为40金币。",4165758,590528,0,590631,137,16,1,0,0,False
131121,前往芙蓉圆桌,要前往芙蓉圆桌吗？,3877982,590535,590536,0,205,19,1,0,0,False
131122,前往提督室,要前往提督室吗？,4146949,590563,0,0,198,20,1,0,0,False
131123,,要离开提督室吗？,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,要前往牛魔里程吗？,4165939,590603,0,0,146,1,1,0,0,False
131127,,要前往纳尔神祠吗？,4165935,590604,0,0,146,1,1,0,0,False
131128,,要返回休息厅吗？,4103339,590607,0,0,130,1,1,0,0,False
131129,,要返回休息厅吗？,4103382,590608,0,0,132,1,1,0,0,False
131130,,要返回休息厅吗？,4103399,590609,0,0,128,1,1,0,0,False
131131,前往狼狱水上竞技场,要前往狼狱水上竞技场吗？,4264415,590632,0,0,250,1,1,0,0,False
131132,前往莫拉比造船厂,要前往莫拉比造船厂吗？,4264426,590633,0,0,135,1,1,0,0,False
131133,前往小麦酒港,要前往小麦酒港吗？,4165794,590634,0,0,138,1,1,0,0,False
131134,前往幻影群岛,"要前往幻影群岛吗？
交通费为40金币。",4264587,590635,590636,590637,138,22,1,0,0,False
131135,前往小麦酒港,要前往小麦酒港吗？,4165794,0,0,0,138,1,1,0,0,False
131136,前往海蛇巢穴,"要前往海蛇巢穴吗？
交通费为40金币。",4264605,590638,590639,590640,138,23,1,0,0,False
131137,,要离开秘密工房吗？,4321669,0,0,0,156,1,1,0,0,False
131138,,要前往格里达尼亚吗？,4102803,590843,0,0,132,1,1,0,0,False
131139,,要退出“巴哈姆特大迷宫邂逅之章”吗？,4332112,0,0,0,137,1,1,0,0,False
131140,,要退出“巴哈姆特大迷宫邂逅之章”吗？,4332121,0,0,0,147,1,1,0,390,False
131141,,要启动吗？,4331241,0,0,0,247,1,1,389,0,False
131142,,要进入拂晓之间吗？,4498658,0,0,0,351,1,1,0,0,False
131143,,要离开拂晓之间吗？,4498656,0,0,0,351,1,1,0,0,False
131144,,要进入石之家吗？,4498659,0,0,0,351,1,1,0,0,False
131145,,要离开石之家吗？,4498857,0,0,0,156,1,1,0,0,False
131146,,要进入八剑士前庭吗？,4506602,0,0,0,156,1,1,0,0,False
131147,,要离开八剑士前庭吗？,4506605,0,0,0,156,1,1,0,0,False
131148,,要进入这间房屋吗？,0,0,0,0,0,1,6,0,0,False
131149,,要离开这间房屋吗？,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,要离开第13洞穴团炼金工房吗？,4618997,0,0,0,180,1,1,0,0,False
131153,,要返回到诺布养育场吗？,4629135,0,0,0,138,1,1,0,0,False
131154,,要返回到诺布养育场吗？,4629135,0,0,0,138,1,1,0,0,False
131155,,要返回到诺布养育场吗？,4629135,0,0,0,138,1,1,0,0,False
131156,,要返回到诺布养育场吗？,4629135,0,0,0,138,1,1,0,0,False
131157,,要返回到诺布养育场吗？,4629135,0,0,0,138,1,1,0,0,False
131158,前往薰衣草苗圃,,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,前往海雾村,,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,要离开艾欧泽亚地下空间吗？,4678209,0,0,0,154,1,1,0,0,False
131165,,要退出“巴哈姆特大迷宫入侵之章”吗？,4332121,0,0,0,147,1,1,0,0,False
131166,,要进入接待室吗？,5036036,591750,0,0,395,1,1,0,0,False
131167,,要离开接待室吗？,5036025,0,0,0,155,1,1,0,0,False
131168,,要离开会场吗？,5038695,0,0,0,152,1,1,0,0,False
131169,前往海上的大型船,要前往海上的大型船吗？,5049372,590097,0,0,137,1,1,0,0,False
131170,前往太阳海岸,要前往太阳海岸吗？,4165755,590098,0,0,137,1,1,0,0,False
131171,,要离开双剑师行会吗？,5341046,0,0,0,129,1,1,0,0,False
131172,进入双剑师行会,要进入双剑师行会吗？,5341051,591865,0,0,129,27,1,0,0,False
131173,,要离开码头小屋吗？,5341521,0,0,0,137,1,1,0,0,False
131174,进入码头小屋,要进入码头小屋吗？,5341524,591889,591888,0,137,28,1,0,0,False
131175,,要离开艾欧泽亚地下空间吗？,5404445,0,0,0,147,1,1,0,0,False
131176,,要进入久远圣堂吗？,5038252,0,0,0,392,1,8,0,0,False
131177,,要前往陆行鸟广场吗？,5448900,591975,0,0,388,1,1,0,0,False
131178,,要前往入口广场吗？,5448873,591981,0,0,144,1,1,0,0,False
131179,前往金碟游乐场,"要前往金碟游乐场吗？
不收取任何交通费用。",5649379,0,591990,0,144,29,1,0,0,False
131180,前往金碟游乐场,"要前往金碟游乐场吗？
不收取任何交通费用。",5649379,0,591990,0,144,29,1,0,0,False
131181,前往金碟游乐场,"要前往金碟游乐场吗？
不收取任何交通费用。",5649379,0,591990,0,144,29,1,0,0,False
131182,前往利姆萨·罗敏萨,"要前往利姆萨·罗敏萨吗？
交通费为120金币。",4103399,0,0,592264,128,30,1,0,0,False
131183,前往乌尔达哈,"要前往乌尔达哈吗？
不收取任何交通费用。",4103339,0,0,0,130,1,1,0,0,False
131184,前往格里达尼亚,"要前往格里达尼亚吗？
交通费为120金币。",4103382,0,0,592264,132,30,1,0,0,False
131185,,要前往伊修加德吗？,5827477,592249,0,0,418,1,1,0,0,False
131186,,要前往大审门吗？,5835896,592250,0,0,155,1,1,0,0,False
131187,前往轻羽斗场,要进入轻羽斗场吗？,5822019,592251,0,0,439,1,1,0,0,False
131188,前往云顶营地,"要前往云顶营地吗？
不收取任何交通费用。",5835987,0,0,0,401,1,1,0,0,False
131189,,要前往蓝天窗吗？,5836049,592253,0,0,401,1,1,0,0,False
131190,前往魔大陆阿济兹拉,要前往魔大陆阿济兹拉吗？,5836085,592254,0,0,402,1,1,0,0,False
131191,,要进入圣恩达利姆神学院吗？,5821242,592255,0,0,427,1,1,0,0,False
131192,,要进入福尔唐伯爵府吗？,5822004,592256,0,0,433,1,1,0,0,False
131193,,要离开圣恩达利姆神学院吗？,5827748,0,0,0,419,1,1,0,0,False
131194,,要离开神殿骑士团总骑士长室吗？,5827491,0,0,0,418,1,1,0,0,False
131195,,要离开福尔唐伯爵府吗？,5827750,0,0,0,419,1,1,0,0,False
131196,,要离开轻羽斗场吗？,5827495,0,0,0,418,1,1,0,0,False
131197,,"要前往伊修加德飞艇坪吗？
不收取任何交通费用。",5835975,592257,0,0,419,1,1,0,0,False
131198,,要前往伊修加德飞艇坪吗？,5835975,0,0,0,419,1,1,0,0,False
131199,,要前往翻云雾海吗？,5836077,592259,0,0,400,1,1,0,0,False
131200,,要前往龙堡参天高地吗？,5836076,0,0,0,398,1,1,0,0,False
131201,,要进入玛托雅的洞穴吗？,5851087,0,0,0,463,1,1,0,0,False
131202,,要离开玛托雅的洞穴吗？,5822097,0,0,0,399,1,1,0,0,False
131203,,要前往伊修加德飞艇坪吗？,5835975,0,0,0,419,1,1,0,0,False
131204,,,5878288,0,0,0,429,5,9,0,0,False
131205,,要离开吗？,5878405,0,0,0,418,1,1,0,0,False
131206,,要离开供奉洞吗？,5857271,0,0,0,398,1,1,0,0,False
131207,,要前往阿尔法管区吗？,5890154,0,0,0,402,1,1,0,0,False
131208,,要前往贝塔管区吗？,5890159,0,0,0,402,1,1,0,0,False
131209,,要前往贝塔管区吗？,5890166,0,0,0,402,1,1,0,0,False
131210,,要前往伽马管区吗？,5890180,0,0,0,402,1,1,0,0,False
131211,,要前往伽马管区吗？,5890183,0,0,0,402,1,1,0,0,False
131212,,要前往德尔塔管区吗？,5890184,0,0,0,402,1,1,0,0,False
131213,,要离开魔大陆中枢吗？,5867863,0,0,0,402,1,1,0,0,False
131214,,要离开亚历山大关节点吗？,5959290,0,0,0,399,1,1,0,0,False
