#,Transient,Item,Companion,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5]
0,,0,0,0,0,0,0,0,0
1,　喵　,15168,200,148,135,141,0,0,0
2,萌给,15169,201,152,138,145,0,0,0
3,维斯,15170,202,153,139,146,0,0,0
4,夏天真是让人疲倦啊……,15171,203,154,180,134,0,0,0
5,太扯了吧～,15172,204,140,148,135,0,0,0
6,兹拉,15173,205,141,152,138,0,0,0
7,真可恶——！,15174,206,145,153,139,0,0,0
8,咻乒,15175,207,146,154,180,0,0,0
9,呼！！！,15176,208,134,140,148,0,0,0
10,武、武士的怜悯之心啊喵……,15177,209,135,141,152,0,0,0
11,出发吧～,15178,210,138,145,153,0,0,0
12,省电模式,15179,211,139,146,154,0,0,0
13,达尼,15180,212,180,134,140,0,0,0
14,阎魔大人！,30803,392,397,398,399,400,401,402
15,诸位，战斗吧！,30804,391,397,398,399,400,401,402
16,久等了！,30805,390,612,613,614,620,621,622
17,轮到我出场了～,30806,393,612,613,614,620,621,622
