#,0,1
0,TEXT_CLSFSH630_02896_SEQ_00,"Chose rare, Wawalago a l'air très inquiet."
1,TEXT_CLSFSH630_02896_SEQ_01,"Wawalago vous a appris que Govv avait décidé de partir aux chutes de la Pique, dans la région des Marges de Gyr Abania, afin d'enquêter sur la disparition des *étoiles filantes de mer*. Craignant que votre camarade homme-poisson n'aille au-devant d'un danger certain, notamment du fait de la présence de soldats impériaux dans cette zone, le maître de guilde a fait appel à une con­nais­san­ce du Coerthas pour obtenir de l'aide : une pêcheuse ex­pé­ri­men­tée qui vous attend près de la rivière Velodyna et qui doit vous aider à rappeler Govv à la raison."
2,TEXT_CLSFSH630_02896_SEQ_02,"Lorsque vous êtes arrivée sur place, vous avez eu l'agréable surprise de découvrir qu'il s'agissait de Reyna. Cette dernière avait déjà réussi à retrouver Govv, mais le Sahuagin refusant de vous écouter sous prétexte que vos con­nais­san­ces sont loin d'égaler les siennes, il a été décidé que vous vous mesureriez dans un duel de pêcheurs pour lequel vous devez attraper trois ."
3,TEXT_CLSFSH630_02896_SEQ_03,"Et vous avez remporté ce défi haut la main, car Govv étant habitué à chercher des proies en milieu marin, il a eu du mal à s'adapter à celui de la Velodyna. Le Sahuagin a accepté sa défaite et a donc écouté ce que Reyna a appris au sujet de poissons, qui pourraient bien être ces mys­té­rieu­ses *étoiles filantes de mer*, au cours de voyages en Orient. Votre amie tueuse à gages a déduit de ces in­for­ma­tions qu'il y avait pro­ba­ble­ment un problème à l'endroit où l'espèce va pondre, dans les mers près du continent d'Othard, et elle a par conséquent décidé d'aller enquêter là-dessus de plus près, vous promettant de vous contacter via Wawalago lorsqu'elle aurait du nouveau. De son côté, Govv a promis qu'il serait plus sage et éviterait de se mettre dans des situations périlleuses. Il vous a ensuite demandé de retourner à la guilde des pêcheurs afin de rassurer Wawalago et de l'informer sur les derniers re­bon­dis­se­ments de cette affaire."
4,TEXT_CLSFSH630_02896_SEQ_04,"Égal à lui-même, le vieux maître pêcheur s'est surtout montré intéressé par la personne de Reyna, pour des raisons pour le moins futiles, lorsque vous lui avez expliqué tout ce qui était arrivé. Affaire à suivre...
* Wawalago propose la prochaine quête aux pêcheurs de niveau 65."
5,TEXT_CLSFSH630_02896_SEQ_05,
6,TEXT_CLSFSH630_02896_SEQ_06,
7,TEXT_CLSFSH630_02896_SEQ_07,
8,TEXT_CLSFSH630_02896_SEQ_08,
9,TEXT_CLSFSH630_02896_SEQ_09,
10,TEXT_CLSFSH630_02896_SEQ_10,
11,TEXT_CLSFSH630_02896_SEQ_11,
12,TEXT_CLSFSH630_02896_SEQ_12,
13,TEXT_CLSFSH630_02896_SEQ_13,
14,TEXT_CLSFSH630_02896_SEQ_14,
15,TEXT_CLSFSH630_02896_SEQ_15,
16,TEXT_CLSFSH630_02896_SEQ_16,
17,TEXT_CLSFSH630_02896_SEQ_17,
18,TEXT_CLSFSH630_02896_SEQ_18,
19,TEXT_CLSFSH630_02896_SEQ_19,
20,TEXT_CLSFSH630_02896_SEQ_20,
21,TEXT_CLSFSH630_02896_SEQ_21,
22,TEXT_CLSFSH630_02896_SEQ_22,
23,TEXT_CLSFSH630_02896_SEQ_23,
24,TEXT_CLSFSH630_02896_TODO_00,"Rejoindre la pêcheuse ex­pé­ri­men­tée, 
aux chutes de la Pique"
25,TEXT_CLSFSH630_02896_TODO_01,"Pêcher  
dans la Velodyna"
26,TEXT_CLSFSH630_02896_TODO_02,"Faire un rapport à Wawalago, à la guilde des pêcheurs"
27,TEXT_CLSFSH630_02896_TODO_03,
28,TEXT_CLSFSH630_02896_TODO_04,
29,TEXT_CLSFSH630_02896_TODO_05,
30,TEXT_CLSFSH630_02896_TODO_06,
31,TEXT_CLSFSH630_02896_TODO_07,
32,TEXT_CLSFSH630_02896_TODO_08,
33,TEXT_CLSFSH630_02896_TODO_09,
34,TEXT_CLSFSH630_02896_TODO_10,
35,TEXT_CLSFSH630_02896_TODO_11,
36,TEXT_CLSFSH630_02896_TODO_12,
37,TEXT_CLSFSH630_02896_TODO_13,
38,TEXT_CLSFSH630_02896_TODO_14,
39,TEXT_CLSFSH630_02896_TODO_15,
40,TEXT_CLSFSH630_02896_TODO_16,
41,TEXT_CLSFSH630_02896_TODO_17,
42,TEXT_CLSFSH630_02896_TODO_18,
43,TEXT_CLSFSH630_02896_TODO_19,
44,TEXT_CLSFSH630_02896_TODO_20,
45,TEXT_CLSFSH630_02896_TODO_21,
46,TEXT_CLSFSH630_02896_TODO_22,
47,TEXT_CLSFSH630_02896_TODO_23,
48,TEXT_CLSFSH630_02896_WAWALAGO_000_000,"Player ! Il faut absolument faire quelque chose ! C'est Govv, il est parti comme une flèche... ou plutôt comme une torpille, pour être exact !"
49,TEXT_CLSFSH630_02896_WAWALAGO_000_001,"J'étais allé le voir à l'endroit habituel pour prendre des nouvelles, quand tout à coup, il a déclaré qu'il avait deviné pourquoi les *étoiles filantes de mer* avaient disparu ! Il m'a alors dit qu'il devait aller à la rivière Velodyna, puis il a plongé dans la mer et est parti à toute allure !"
50,TEXT_CLSFSH630_02896_WAWALAGO_000_002,"Je ne sais pas quelle révélation il a eu, mais la Velodyna, c'est bien ce puissant cours d'eau qui coule au beau milieu des Marges de Gyr Abania, n'est-ce pas ? ..."
51,TEXT_CLSFSH630_02896_WAWALAGO_000_010,"Comme tu le sais, cette région est sous le contrôle de l'empire de Garlemald. J'ai bien peur que notre ami aille au-devant d'un grand danger ! Il faut absolument le retrouver avant qu'il ne soit trop tard !"
52,TEXT_CLSFSH630_02896_WAWALAGO_000_020,"Même si cette région a été libérée du joug de Garlemald, il y reste encore des soldats impériaux. J'ai bien peur que notre ami aille au-devant d'un grand danger ! Il faut absolument le retrouver avant qu'il ne soit trop tard !"
53,TEXT_CLSFSH630_02896_WAWALAGO_000_030,"J'aimerais y aller moi-même, mais c'est beaucoup trop loin... Du coup, j'ai fait appel à un ami du Coerthas et je lui ai demandé s'il n'y aurait pas quelqu'un susceptible de nous donner un coup de main !"
