#,0,1
0,TEXT_LUCKZH304_03536_SEQ_00,"**Règle spéciale :  synchronisation de quête**
Tolas est très inquiet et veut absolument partir à la recherche de son ami Mauwyl..."
1,TEXT_LUCKZH304_03536_SEQ_01,"* *Cette quête est ** synchronisée** avec votre niveau.*

Tolas vous a enjoint d'aller inspecter avec lui l'endroit présumé de l'attaque du convoi. Retrouvez-le près de la Tanière des Loups de jais."
2,TEXT_LUCKZH304_03536_SEQ_02,Tolas et vous avez décidé de vous séparer pour partir à la recherche de Mauwyl. Suivez ses in­struc­tions et rendez-vous dans les bois à l'est de Rouillechaînes pour tenter de le retrouver.
3,TEXT_LUCKZH304_03536_SEQ_03,"Alors que vous cherchiez le bûcheron perdu, vous avez été attaquée par des purgateurs errants. Cherchez-le de nouveau près de la Garde de Radisca."
4,TEXT_LUCKZH304_03536_SEQ_04,Vous n'avez pas réussi à trouver Mauwyl malgré vos efforts. Retrouvez Tolas à l'endroit indiqué pour faire le point.
5,TEXT_LUCKZH304_03536_SEQ_05,"Alors que vous rejoigniez Tolas, vous l'avez trouvé sauvant Mauwyl des griffes d'un purgateur errant. Cette situation semble avoir provoqué un déclic en lui, et il a réussi à vaincre ses angoisses pour combattre. Retrouvez-le à L'Impératif d'Ostall pour faire le point."
6,TEXT_LUCKZH304_03536_SEQ_06,"Visiblement, Tolas a réussi à surmonter son traumatisme et semble prêt à tourner la page. Il a retrouvé une nouvelle motivation pour effectuer son devoir et semble désormais confiant et positif envers l'avenir."
7,TEXT_LUCKZH304_03536_SEQ_07,
8,TEXT_LUCKZH304_03536_SEQ_08,
9,TEXT_LUCKZH304_03536_SEQ_09,
10,TEXT_LUCKZH304_03536_SEQ_10,
11,TEXT_LUCKZH304_03536_SEQ_11,
12,TEXT_LUCKZH304_03536_SEQ_12,
13,TEXT_LUCKZH304_03536_SEQ_13,
14,TEXT_LUCKZH304_03536_SEQ_14,
15,TEXT_LUCKZH304_03536_SEQ_15,
16,TEXT_LUCKZH304_03536_SEQ_16,
17,TEXT_LUCKZH304_03536_SEQ_17,
18,TEXT_LUCKZH304_03536_SEQ_18,
19,TEXT_LUCKZH304_03536_SEQ_19,
20,TEXT_LUCKZH304_03536_SEQ_20,
21,TEXT_LUCKZH304_03536_SEQ_21,
22,TEXT_LUCKZH304_03536_SEQ_22,
23,TEXT_LUCKZH304_03536_SEQ_23,
24,TEXT_LUCKZH304_03536_TODO_00,Parler à Tolas au sud de la Tanière des Loups de jais
25,TEXT_LUCKZH304_03536_TODO_01,Observer les environs à l'endroit indiqué
26,TEXT_LUCKZH304_03536_TODO_02,Observer à nouveau les environs à l'endroit indiqué
27,TEXT_LUCKZH304_03536_TODO_03,Attendre à l'endroit indiqué
28,TEXT_LUCKZH304_03536_TODO_04,Parler à Tolas à L'Impératif d'Ostall
29,TEXT_LUCKZH304_03536_TODO_05,
30,TEXT_LUCKZH304_03536_TODO_06,
31,TEXT_LUCKZH304_03536_TODO_07,
32,TEXT_LUCKZH304_03536_TODO_08,
33,TEXT_LUCKZH304_03536_TODO_09,
