#,0,1
0,TEXT_AKTKSA201_04650_SEQ_00,Mehdjina a de nouveau une cargaison d'échan­til­lons à vous confier.
1,TEXT_AKTKSA201_04650_SEQ_01,"Vous avez reçu des in­struc­tions de la part de Mehdjina. Elle vous a invitée à retrouver Emmanellain de Fortemps, qui s'est entre-temps improvisé re­pré­sen­tant de la Tarufacture dans le Coerthas, afin de distribuer des pièces à de nouveaux clients. Elle a aussi mentionné le collier de Tataru et vous a enjoint d'obtenir des matériaux en échange de vos services afin de le remettre en état. Mais d'abord, retrouvez votre ami à Ishgard."
2,TEXT_AKTKSA201_04650_SEQ_02,"Emmanellain vous a accueillie à bras ouverts, très impatient de vous présenter les clients qu'il a dégotés. La première n'est autre que dame Laniaitte de l'ordre des chevaliers de la Rose. Rendez-vous donc dans L'Écume des cieux d'Abalathia."
3,TEXT_AKTKSA201_04650_SEQ_03,"Vous avez retrouvé Laniaitte, et Emmanellain n'a pas pu s'empêcher de s'adonner à ses frasques habituelles autour de la chevalière. Vous avez cependant appris qu'un groupe de pirates des cieux sévit ac­tu­el­le­ment dans la Mer de nuages et s'est rendu coupable de nombreux larcins. Aussi votre amie vous invite à rester prudente avec vos prochains clients : les Becs-rouges. Envolez-vous désormais pour le Paddock."
4,TEXT_AKTKSA201_04650_SEQ_04,"Vos compagnons des Becs-rouges étaient très heureux de vous revoir et semblent bien se porter depuis vos aventures mouvementées avec l'Arche du néant. Mis à part un petit détail : les fameux nouveaux bandits des cieux – ceux dont Laniaitte vous avait parlé – ont subtilisé les pièces commandées par Leofard pour servir à la con­struc­tion de son aéronef ! Ni une ni deux, le chef des Becs-rouges a profité de votre présence pour solliciter votre aide afin de mettre le grappin sur cette “bande des calopsittes”. Il vous invite à le suivre jusqu'à Idyllée afin de vous expliquer son plan plus en détail."
5,TEXT_AKTKSA201_04650_SEQ_05,"Le plan que vous ont exposé les Becs-rouges est on ne peut plus simple : vous déguiser en contrebandière à la recherche de mar­chan­di­ses et vous pavaner en ville pour réussir à appâter les calopsittes hors de leur cachette. Stacia vous a confié un déguisement adéquat, pendant que Leofard, habillé avec les échan­til­lons de la Tarufacture, jouera le rôle de garde du corps. Restez déguisée et allez discuter avec les locaux en compagnie de votre ami.
* Si vous vous retrouvez séparée de Leofard, reparlez-lui au Pontavent pour qu'il vous accompagne à nouveau. Et si jamais votre déguisement s'estompe, parlez à Stacia pour qu'elle le restaure."
6,TEXT_AKTKSA201_04650_SEQ_06,Vous avez échangé avec plusieurs riverains et glané des in­for­ma­tions in­té­res­santes sur la bande des calopsittes. Le bouche à oreille devrait faire le reste. Allez vous mettre à l'écart et parlez à Leofard.
7,TEXT_AKTKSA201_04650_SEQ_07,"Comme prévu, la bande des calopsittes a cherché à vous contacter pour écouler leur butin. Autant dire que la surprise fut de taille quand Leofard a fait tomber les masques ! Mais c'était sans compter sur la mystérieuse alliée des brigands : Radlia des Harpies féroces. Grâce à une habile tromperie, le chef des Becs-rouges a dupé ses adversaires qui lui ont révélé l'emplacement des pièces volées. Alors que tous étaient prêts à en découdre, la simple mention de votre nom a réduit en miettes la bravoure des calopsittes, qui se sont enfuis la queue entre les jambes. Sans autre choix que d'accepter sa défaite, Radlia a juré de se venger un jour de Leofard, avant de disparaître à son tour. Retrouvez-le maintenant près de L'Escargot."
8,TEXT_AKTKSA201_04650_SEQ_08,"Leofard a enfilé sa tenue habituelle et vous a invitée à retourner au Paddock, pendant qu'il informe les chevaliers de la Rose de ce qui est advenu des calopsittes et de leur butin. Attendez-le dans ses quartiers."
9,TEXT_AKTKSA201_04650_SEQ_09,"Utata a mis la main sur le cargo dérobé et s'est affairée à terminer le nouvel aéronef de Leofard. De retour au Paddock, vous êtes tombée sur Tataru, accompagnée d'un mystérieux invité : le peintre Duremert. Cet homme se trouve être le père de dame Raimille, la mère adoptive du chef des Becs-rouges. Ce dernier souhaitait absolument que son grand-père soit présent lors du vol inaugural de son vaisseau. Après avoir passé un peu de temps avec vos compagnons, vous étiez sur le point de rentrer avec Tataru et Duremert à Ishgard quand un mystérieux paquet est tombé à vos pieds. Il s'agit bien évidemment de la récompense pour votre aide ! Parlez désormais à Duremert aux Contreforts."
10,TEXT_AKTKSA201_04650_SEQ_10,"Après avoir écouté vos exploits à bord de l'Arche du néant, Duremert vous a avoué être saisi d'inspiration. Il vous propose désormais de réaliser des portraits inspirés de diverses rencontres. Il ne vous reste plus désormais qu'à faire votre rapport à Mehdjina, à Sharlayan."
11,TEXT_AKTKSA201_04650_SEQ_11,"Si Tataru a déjà partagé avec son employée vos tribulations en compagnie des Becs-rouges, vous avez profité de son absence pour inspecter le cadeau que vous a laissé Leofard. Si de prime abord, il s'agit d'une simple bande de cuir usagé, une inspection plus précise vous a révélé qu'il s'agit d'une relique de la cité de Mhach, réputée pour ses matériaux indestructibles. La restauration du collier avance bon train, et grâce à vos efforts, les chevaliers de la Rose sont désormais clients de la Tarufacture. Votre mission accomplie avec succès, vous pouvez souffler quelque temps avant que Tataru ait à nouveau besoin de vos services."
12,TEXT_AKTKSA201_04650_SEQ_12,
13,TEXT_AKTKSA201_04650_SEQ_13,
14,TEXT_AKTKSA201_04650_SEQ_14,
15,TEXT_AKTKSA201_04650_SEQ_15,
16,TEXT_AKTKSA201_04650_SEQ_16,
17,TEXT_AKTKSA201_04650_SEQ_17,
18,TEXT_AKTKSA201_04650_SEQ_18,
19,TEXT_AKTKSA201_04650_SEQ_19,
20,TEXT_AKTKSA201_04650_SEQ_20,
21,TEXT_AKTKSA201_04650_SEQ_21,
22,TEXT_AKTKSA201_04650_SEQ_22,
23,TEXT_AKTKSA201_04650_SEQ_23,
24,TEXT_AKTKSA201_04650_TODO_00,"Attendre à l'endroit indiqué, à Ishgard"
25,TEXT_AKTKSA201_04650_TODO_01,"Parler à Laniaitte, au Rosier"
26,TEXT_AKTKSA201_04650_TODO_02,Aller jusqu'au Paddock
27,TEXT_AKTKSA201_04650_TODO_03,Parler à Leofard
28,TEXT_AKTKSA201_04650_TODO_04,"Accompagnée de Leofard et déguisée en contrebandière, parler aux habitants d'Idyllée"
29,TEXT_AKTKSA201_04650_TODO_05,"Accompagnée de Leofard et déguisée en contrebandière, aller à l'endroit indiqué et parler à votre compagnon"
30,TEXT_AKTKSA201_04650_TODO_06,Parler à Leofard
31,TEXT_AKTKSA201_04650_TODO_07,Attendre Leofard dans ses quartiers
32,TEXT_AKTKSA201_04650_TODO_08,Parler à Duremert
33,TEXT_AKTKSA201_04650_TODO_09,"Parler à Mehdjina, à l'Agora"
34,TEXT_AKTKSA201_04650_TODO_10,
35,TEXT_AKTKSA201_04650_TODO_11,
36,TEXT_AKTKSA201_04650_TODO_12,
37,TEXT_AKTKSA201_04650_TODO_13,
38,TEXT_AKTKSA201_04650_TODO_14,
39,TEXT_AKTKSA201_04650_TODO_15,
40,TEXT_AKTKSA201_04650_TODO_16,
41,TEXT_AKTKSA201_04650_TODO_17,
42,TEXT_AKTKSA201_04650_TODO_18,
43,TEXT_AKTKSA201_04650_TODO_19,
44,TEXT_AKTKSA201_04650_TODO_20,
45,TEXT_AKTKSA201_04650_TODO_21,
46,TEXT_AKTKSA201_04650_TODO_22,
47,TEXT_AKTKSA201_04650_TODO_23,
48,TEXT_AKTKSA201_04650_SYSTEM_100_000,Vous devez avoir accompli la série de quêtes “Ombre de Mhach” pour progresser dans celle-ci.
49,TEXT_AKTKSA201_04650_SYSTEM_100_001,Acceptez la quête proposée par le marchand inquiet aux Contreforts et partez à l'aventure avec les Becs-rouges !
50,TEXT_AKTKSA201_04650_SYSTEM_100_002,Vous pouvez consulter votre journal afin de vous rafraîchir la mémoire avant de la continuer.
51,TEXT_AKTKSA201_04650_MEHDJINA_000_001,"Tiens ! Bonsoir Player. Vous tombez bien, Tataru vient de me confier de nouveaux échan­til­lons à distribuer !"
52,TEXT_AKTKSA201_04650_MEHDJINA_000_002,"Elle a décidé de mettre la main à la pâte de son côté, et s'est mise en route pour négocier des partenariats. Il me semble avoir entendu parler de la maison des splendeurs à Idyllée... En tout cas, heureusement que vous êtes là ! Votre aide nous sera à nouveau des plus précieuses."
53,TEXT_AKTKSA201_04650_MEHDJINA_000_003,Les pièces que je dois vous confier sont à acheminer dans la région d'Ishgard. Nous avons obtenu ces nouveaux prospects grâce aux échan­til­lons que vous avez offerts à Sicard !
54,TEXT_AKTKSA201_04650_MEHDJINA_000_004,"Il a parlé des produits de la Tarufacture à Emmanellain de Fortemps, et la réputation de notre commerce s'est répandue comme une traînée de poudre dans toute la sainte Cité."
55,TEXT_AKTKSA201_04650_MEHDJINA_100_004,"Résultat des courses : une explosion des demandes pour de nouveaux échan­til­lons ! Autrement dit, une occasion en or d'élargir notre clientèle."
56,TEXT_AKTKSA201_04650_MEHDJINA_000_005,"D'ailleurs ce monsieur de Fortemps s'est autoproclamé re­pré­sen­tant officiel de nos produits à Ishgard. Vous devriez lui parler en premier lieu, une fois sur place."
57,TEXT_AKTKSA201_04650_MEHDJINA_000_006,Et maintenant que je vous ai présenté votre tâche officielle... je peux vous en dire plus sur notre petite mission secrète !
58,TEXT_AKTKSA201_04650_MEHDJINA_000_010,"Pour l'instant, nous n'avons que cette pierre à disposition, mais je suis certaine que nous pourrons recréer un magnifique collier, comme celui de la mère de Tataru."
59,TEXT_AKTKSA201_04650_MEHDJINA_100_010,"Pour l'instant, nous n'avons pas encore toutes les pièces à disposition, mais je suis certaine que nous pourrons recréer un magnifique collier, comme celui de la mère de Tataru."
60,TEXT_AKTKSA201_04650_MEHDJINA_000_011,"Lorsque vous irez offrir les échan­til­lons de la Tarufacture, profitez-en pour récupérer des matériaux qui pourront nous servir à le restaurer."
61,TEXT_AKTKSA201_04650_MEHDJINA_000_020,"Voilà, c'est tout ce que j'avais à vous communiquer pour l'instant. Vous devriez être fin prête au départ. Il ne me reste plus qu'à vous souhaiter bon courage !"
62,TEXT_AKTKSA201_04650_MEHDJINA_000_025,Vous devrez distribuer les échan­til­lons à deux or­ga­ni­sa­tions dans les environs d'Ishgard. Et n'oubliez surtout pas de prospecter des matériaux pour le collier de la patronne !
63,TEXT_AKTKSA201_04650_EMMANELLAIN_000_040,"Ah ! Quel plaisir de vous revoir, mon amie ! Après avoir sauvé le monde de l'apocalypse, je ne m'attendais pas à ce que vous vous lanciez dans les affaires. Pour une surprise !"
64,TEXT_AKTKSA201_04650_EMMANELLAIN_000_042,"Sachez que j'ai dégoté deux clients potentiels, impatients de mettre la main sur vos fameux échan­til­lons, ma chère. "
65,TEXT_AKTKSA201_04650_EMMANELLAIN_000_043,"Tout d'abord, allons donc retrouver ma ravissante rose aux épines d'acier, la resplendissante dame Laniaitte !"
66,TEXT_AKTKSA201_04650_EMMANELLAIN_000_044,Vous n'avez qu'à vous rendre directement au Rosier. Je dois d'abord m'assurer d'être présentable avant de vous rejoindre !
67,TEXT_AKTKSA201_04650_EMMANELLAIN_000_050,（★未使用／削除予定★）
68,TEXT_AKTKSA201_04650_LANIAITTE_000_060,"Dame , cela fait si longtemps ! Alors c'est vous qui m'amenez ces fameux échan­til­lons en personne ?"
