#,Name,Description,Score,IsVisible
0,,,0,False
1,高速通關,在挑戰時間內通關,15000,True
2,標速通關,在標準時間內通關,5000,True
3,十招足以,使用的青魔法不低於2種、不超過10種,3000,True
4,四招足以,使用的青魔法不低於2種、不超過4種,10000,True
5,未受傷害,未受到傷害,20000,True
6,未曾恢復,未使用恢復HP的魔法,15000,True
7,打斷高手,打斷敵人的詠唱,1000,True
8,不緊不慢,未使用衝刺,3000,True
9,火系大師,只使用火與無屬性青魔法通關,10000,True
10,水系大師,只使用水與無屬性青魔法通關,10000,True
11,土系大師,只使用土與無屬性青魔法通關,10000,True
12,風系大師,只使用風與無屬性青魔法通關,10000,True
13,冰系大師,只使用冰與無屬性青魔法通關,10000,True
14,雷系大師,只使用雷與無屬性青魔法通關,10000,True
15,元素大師,用出水、火、土、冰、風、雷屬性攻擊,15000,True
16,技能大師,用出水、火、土、冰、風、雷、斬擊、突刺、打擊屬性攻擊,20000,True
17,弱化高手,賦予敵人的弱化效果達到6種或更多,5000,True
18,弱化專家,賦予敵人的弱化效果達到9種或更多,12000,True
19,物理大師,只使用物理攻擊的青魔法通關,15000,True
20,高階法師,只使用四星五星的青魔法通關,15000,True
21,初階法師,只使用一星二星的青魔法通關,15000,True
22,四面神通,用出不少於4種從面部放射的青魔法,10000,True
23,艾瑪姬娜大師,,20000,False
24,單調至極,,-30000,False
25,蠻神之力,,20000,False
26,巨人狩獵,,50000,False
27,觸手愛好者,,50000,False
28,青之完美,,80000,False
29,八面神通,用出不少於8種從面部放射的青魔法,20000,True
30,恢復大師,用出澎澎療傷、蛻皮、白風,10000,True
31,亞歷山大愛好者,,25000,False
32,青磷之青,,80000,False
33,青之純粹,,80000,False
34,黃金之青,,80000,False
