#,Name,AchievementKind,Order,ShowComplete,HideCategory
0,,0,0,True,False
1,整體,1,1,True,False
2,迷宮探險,1,2,True,False
3,討伐殲滅戰,1,3,True,False
4,大型任務,1,4,True,False
5,狩獵任務,1,5,True,False
6,尋寶,1,6,True,False
7,整體,2,1,True,False
8,排名,2,2,True,True
9,鬥技場,2,3,True,False
10,紛爭前線,2,4,True,False
11,烈羽爭鋒,2,5,True,False
12,整體,3,1,True,False
13,戰鬥精英,3,2,True,False
14,魔法導師,3,3,True,False
15,能工巧匠,3,4,True,False
16,大地使者,3,5,True,False
17,評價,3,6,True,False
18,金碟遊樂園,3,7,True,False
19,整體,4,1,True,False
20,貨幣,4,2,True,False
21,分解,4,3,True,False
22,收藏品,4,4,True,False
23,魔晶石,4,5,True,False
24,木工師,5,2,True,False
25,鍛造師,5,3,True,False
26,甲冑師,5,4,True,False
27,金工師,5,5,True,False
28,皮革師,5,6,True,False
29,裁縫師,5,7,True,False
30,鍊金術師,5,8,True,False
31,烹調師,5,9,True,False
32,採掘師,5,10,True,False
33,園藝師,5,11,True,False
34,漁師,5,12,True,False
35,整體,8,1,True,False
36,理符任務,8,4,True,False
37,友好部族,8,5,True,False
38,季節活動,8,99,True,True
39,探索筆記,11,1,True,False
40,拉諾西亞,11,2,True,False
41,黑衣森林,11,3,True,False
42,薩納蘭,11,4,True,False
43,庫爾札斯,11,5,True,False
44,摩杜納,11,6,True,False
45,阿巴拉提亞,11,7,True,False
46,德拉瓦尼亞,11,8,True,False
47,基拉巴尼亞,11,9,True,False
48,奧薩德,11,10,True,False
49,副本任務,11,100,True,False
50,整體,12,1,True,False
51,黑渦團,12,2,True,False
52,雙蛇黨,12,3,True,False
53,不滅隊,12,4,True,False
54,戰鬥,13,1,True,False
55,貨幣,13,2,True,False
56,採集,13,3,True,False
57,任務,13,4,True,False
58,季節活動,13,5,True,False
59,迷宮,13,6,True,False
60,探索,13,7,True,False
61,大國防聯軍,13,8,True,False
62,上古武器,4,6,True,False
63,黃道武器,4,7,True,False
64,聖靈武器,4,8,True,False
65,深層迷宮聚魔裝備,4,9,True,False
66,禁地兵裝,4,10,True,False
67,諾弗蘭特,11,11,True,False
68,義軍武器,4,11,True,False
69,全職業共通,5,1,True,False
70,天鋼工具,4,51,True,False
71,特殊場景探索,1,7,True,False
72,北洋地域,11,12,True,False
73,伊爾薩巴德大陸,11,13,True,False
74,其他,11,99,True,False
75,曼德維爾武器,4,12,True,False
76,主線任務,8,2,True,False
77,職業任務,8,3,True,False
78,莫雯卓越工具,4,52,True,False
79,尤卡圖拉爾,11,14,True,False
80,薩卡圖拉爾,11,15,True,False
81,,0,0,False,False
82,宇宙工具,4,53,True,False
