#,Unknown0
0,
1,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**先鋒劍**
2：**狂怒劍**
3：**戰女神之怒**"
2,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**先鋒劍**
2：**暴亂劍**
3：**王權劍**

**※忠義之劍狀態中，變為贖罪劍。**"
3,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**重劈**
2：**裂骨斬**
3：**寒風斧**"
4,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**重劈**
2：**凶殘裂**
3：**暴風斬**"
5,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**重斬**
2：**回環斬**
3：**強力斬**"
6,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**重斬**
2：**吸收斬**
3：**噬魂斬**"
7,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**連擊**
2：**正拳**
3：**崩拳**"
8,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**雙龍腳**
2：**雙掌打**
3：**破碎拳**"
9,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**龍眼雷電**
2：**直刺**
3：**龍牙龍爪**
4：**龍尾大迴旋**"
10,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**脈衝槍**
2：**開膛槍**
3：**櫻花怒放**
4：**龍尾大迴旋**"
11,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**雙刃旋**
2：**絕風**
3：**旋風刃**

**※三印自在狀態中，變為冰晶亂流之術。**"
12,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**雙刃旋**
2：**影牙**"
13,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**刃風**
2：**雪風**"
14,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**陣風**
2：**月光**"
15,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**士風**
2：**花車**"
16,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**強力射擊**
2：**直線射擊**"
17,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**烈毒咬箭**
2：**狂風蝕箭**"
18,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**熱分裂彈**
2：**熱獨頭彈**
3：**熱狙擊彈**

**※過熱狀態中，變為高熱衝擊波。**"
19,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。
**魔回刺發動條件：****白魔元**與**黑魔元**均達到50

1：**魔回刺**
2：**魔交擊斬**
3：**魔連攻**

**※赤火光或赤神聖成功時，變為焦熱。**"
20,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**利刃斬**
2：**殘暴彈**
3：**迅連斬**"
21,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。
**烈牙發動條件：****晶壤**

1：**烈牙**
2：**猛獸爪**
3：**凶禽爪**"
22,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**瀑瀉**
2：**噴泉**

**※前衝步狀態中，變為逆瀑瀉。**
**※瀑瀉成功時，且前衝步狀態中，變為墜噴泉。**
**※跳舞模式中，變為薔薇曲腳步。**"
23,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**先鋒劍**　**威力：**160
2：**公正劍**　**威力：**250
3：**遊蕩劍**　**威力：**320"
24,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**日影斬**　**威力：**110
2：**大日食**　**威力：**200"
25,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**利刃斬**　**威力：**200
2：**殘暴彈**　**威力：**300
3：**迅連斬**　**威力：**400"
26,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**死天槍**　**威力：**400
2：**音速刺**　**威力：**450
3：**山境酷刑**　**威力：**500"
27,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**日全蝕**
2：**日珥斬**

**※忠義之劍狀態中，變為榮耀斬。**"
28,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**秘銀暴風**
2：**鋼鐵旋風**"
29,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**釋放**
2：**剛魂**"
30,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**四面腳**
2：**地烈勁**"
31,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**死天槍**
2：**音速刺**
3：**山境酷刑**"
32,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**血雨飛花**
2：**八卦無刃殺**

**※三印自在狀態中，變為劫火滅卻之術。**"
33,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**雪風**
2：**月光**
3：**花車**"
34,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**滿月**
2：**櫻花**"
35,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**惡魔切**
2：**惡魔殺**"
36,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**風車**
2：**落刃雨**

**※前衝步狀態中，變為升風車。**
**※風車成功時，且前衝步狀態中，變為落血雨。**
**※跳舞模式中，變為小鳥交疊跳。**"
37,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**極風**　**威力：**130
2：**豪風**　**威力：**280
3：**夜月**　**威力：**330"
38,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**乙太光劍**　**威力：**840　**消耗能量：**300
2：**乙太連斬**　**威力：**1200　**消耗能量：**300
3：**最終一擊**　**威力：**1940　**消耗能量：**300"
39,"連擊用技能。
使用時會按下列順序發動魔法。
如果連擊過程中未滿足魔法的發動條件，則回到第一個技能重新發動連擊。

1：**赤火焰**　**威力：**310　**消耗MP：**200
2：**赤勁風**　**威力：**370　**消耗MP：**300
3：**赤巨岩**　**威力：**310　**消耗MP：**200
4：**赤火光**　**威力：**600　**消耗MP：**400"
40,"連擊用技能。
使用時會按下列順序發動魔法。
如果連擊過程中未滿足魔法的發動條件，則回到第一個技能重新發動連擊。

1：**超火焰**　**威力：**300　**消耗MP：**800
2：**超火焰**　**威力：**300　**消耗MP：**800
3：**超火焰**　**威力：**300　**消耗MP：**800
4：**穢濁**　**威力：**650"
41,"連擊用技能。
使用時會按下列順序發動能力。
如果連擊過程中未滿足能力的發動條件，則回到第一個技能重新發動連擊。

1：**命運抽卡**
在命運的指引下，抽取一張奧秘卡
**追加效果：**恢復自身最大MP的10%

2：**王冠之領主**
對目標發動無屬性魔法攻擊　**威力：**270"
42,"連擊用技能。
使用時會按下列順序發動能力。
如果連擊過程中未滿足能力的發動條件，則回到第一個技能重新發動連擊。

1：**袖內抽卡·命運**
在命運的指引下，抽取一張奧秘卡
**追加效果：**恢復自身最大MP的20%

2：**河流神的卷軸**
為自身與周圍隊員附加河流神的卷軸　**持續時間：**30秒
**河流神的卷軸效果：**攻擊所造成的傷害提高，自動攻擊間隔縮短，同時戰技與魔法的詠唱及複唱時間也會縮短"
43,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**短兵相接**　**威力：**130
2：**魔回刺**　**威力：**220
3：**魔交擊斬**　**威力：**290
4：**魔連攻**　**威力：**470
5：**移轉**　**威力：**130
6：**赤神聖**　**威力：**600　**消耗MP：**400
7：**焦熱**　**威力：**700　**消耗MP：**400"
44,"連擊用技能。
使用時會按下列順序發動戰技。
如果連擊過程中未滿足戰技的發動條件，則回到第一個技能重新發動連擊。

1：**先鋒劍**　**威力：**200
2：**暴亂劍**　**威力：**300
3：**戰女神之怒**　**威力：**350"
