#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,無,0,82091,0,0,0,0,0,0
1,灰色,190002,82091,1,0,0,0,1,1
2,四邊形,190003,82091,1,0,0,0,3,1
3,紫色,190004,82091,1,0,0,0,4,1
4,漸變色：防護職業,190005,82091,1,0,0,0,5,1
5,漸變色：進攻職業,190006,82091,1,0,0,0,7,1
6,漸變色：治療職業,190007,82091,1,0,0,0,6,1
7,羊皮紙,190008,82091,1,0,0,0,2,1
8,乙太空間,190009,82091,1,0,0,0,9,1
9,木製隔板,190010,82091,1,0,0,0,8,1
10,虛無界空間,190011,82091,1,0,0,0,10,1
11,騎士（華麗）,190301,82091,124,0,0,0,2150,2
12,戰士（華麗）,190302,82091,125,0,0,0,2151,2
13,暗黑騎士（華麗）,190303,82091,126,0,0,0,2152,2
14,絕槍戰士（華麗）,190304,82091,127,0,0,0,2153,2
15,白魔道士（華麗）,190305,82091,128,0,0,0,2154,2
16,學者（華麗）,190306,82091,129,0,0,0,2155,2
17,占星術師（華麗）,190307,82091,130,0,0,0,2156,2
18,賢者（華麗）,190308,82091,131,0,0,0,2157,2
19,武僧（華麗）,190309,82091,132,0,0,0,2158,2
20,龍騎士（華麗）,190310,82091,133,0,0,0,2159,2
21,忍者（華麗）,190311,82091,134,0,0,0,2160,2
22,武士（華麗）,190312,82091,135,0,0,0,2161,2
23,奪魂者（華麗）,190313,82091,136,0,0,0,2162,2
24,吟遊詩人（華麗）,190314,82091,137,0,0,0,2164,2
25,機工士（華麗）,190315,82091,138,0,0,0,2165,2
26,舞者（華麗）,190316,82091,139,0,0,0,2166,2
27,黑魔道士（華麗）,190317,82091,140,0,0,0,2167,2
28,召喚士（華麗）,190318,82091,141,0,0,0,2168,2
29,赤魔道士（華麗）,190319,82091,142,0,0,0,2169,2
30,星極隊,190401,82091,143,0,0,0,3000,10
31,靈極隊,190402,82091,144,0,0,0,3001,10
32,第1賽季水晶衝突：王者,190403,82091,145,0,0,0,3200,5
33,第1賽季水晶衝突：勇者,190404,82091,146,0,0,0,3201,5
34,第1賽季水晶衝突：獲獎者,190405,82091,147,0,0,0,3202,5
35,第1賽季水晶衝突：青銅,190406,82091,148,0,0,0,3208,5
36,第1賽季水晶衝突：白銀,190407,82091,149,0,0,0,3207,5
37,第1賽季水晶衝突：黃金,190408,82091,150,0,0,0,3206,5
38,第1賽季水晶衝突：白金,190409,82091,151,0,0,0,3205,5
39,第1賽季水晶衝突：鑽石,190410,82091,152,0,0,0,3204,5
40,第1賽季水晶衝突：水晶,190411,82091,153,0,0,0,3203,5
41,,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0
43,劍術士,190201,82091,156,0,0,0,2000,2
44,斧術士,190202,82091,157,0,0,0,2001,2
45,幻術士,190203,82091,158,0,0,0,2002,2
46,格鬥士,190204,82091,159,0,0,0,2003,2
47,槍術士,190205,82091,160,0,0,0,2004,2
48,雙劍士,190206,82091,161,0,0,0,2005,2
49,弓術士,190207,82091,162,0,0,0,2006,2
50,咒術士,190208,82091,163,0,0,0,2007,2
51,巴術士,190209,82091,164,0,0,0,2008,2
52,騎士（簡易）,190210,82091,165,0,0,0,2050,2
53,戰士（簡易）,190211,82091,166,0,0,0,2051,2
54,暗黑騎士（簡易）,190212,82091,167,0,0,0,2052,2
55,絕槍戰士（簡易）,190213,82091,168,0,0,0,2053,2
56,白魔道士（簡易）,190214,82091,169,0,0,0,2054,2
57,學者（簡易）,190215,82091,170,0,0,0,2055,2
58,占星術師（簡易）,190216,82091,171,0,0,0,2056,2
59,賢者（簡易）,190217,82091,172,0,0,0,2057,2
60,武僧（簡易）,190218,82091,173,0,0,0,2058,2
61,龍騎士（簡易）,190219,82091,174,0,0,0,2059,2
62,忍者（簡易）,190220,82091,175,0,0,0,2060,2
63,武士（簡易）,190221,82091,176,0,0,0,2061,2
