#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,無,0,82093,0,0,0,0,0,0
1,無,192001,82093,1,0,0,0,1,1
2,月桂葉,192002,82093,1,0,0,0,2,1
3,心形,192003,82093,1,0,0,0,10,1
4,星星,192004,82093,1,0,0,0,11,1
5,防護職業,192005,82093,1,0,0,0,12,1
6,進攻職業,192006,82093,1,0,0,0,14,1
7,治療職業,192007,82093,1,0,0,0,13,1
8,閃亮,192008,82093,1,0,0,0,32,1
9,肉球,192009,82093,1,0,0,0,16,1
10,驚嘆號,192010,82093,1,0,0,0,17,1
11,問號,192011,82093,1,0,0,0,18,1
12,騎士,192301,82093,124,0,0,0,2150,2
13,戰士,192302,82093,125,0,0,0,2151,2
14,暗黑騎士,192303,82093,126,0,0,0,2152,2
15,絕槍戰士,192304,82093,127,0,0,0,2153,2
16,白魔道士,192305,82093,128,0,0,0,2154,2
17,學者,192306,82093,129,0,0,0,2155,2
18,占星術師,192307,82093,130,0,0,0,2156,2
19,賢者,192308,82093,131,0,0,0,2157,2
20,武僧,192309,82093,132,0,0,0,2158,2
21,龍騎士,192310,82093,133,0,0,0,2159,2
22,忍者,192311,82093,134,0,0,0,2160,2
23,武士,192312,82093,135,0,0,0,2161,2
24,奪魂者,192313,82093,136,0,0,0,2162,2
25,吟遊詩人,192314,82093,137,0,0,0,2164,2
26,機工士,192315,82093,138,0,0,0,2165,2
27,舞者,192316,82093,139,0,0,0,2166,2
28,黑魔道士,192317,82093,140,0,0,0,2167,2
29,召喚士,192318,82093,141,0,0,0,2168,2
30,赤魔道士,192319,82093,142,0,0,0,2169,2
31,星極隊,192401,82093,143,0,0,0,3000,10
32,靈極隊,192402,82093,144,0,0,0,3001,10
33,第1賽季水晶衝突：王者,192403,82093,145,0,0,0,3200,5
34,第1賽季水晶衝突：勇者,192404,82093,146,0,0,0,3201,5
35,第1賽季水晶衝突：獲獎者,192405,82093,147,0,0,0,3202,5
36,第1賽季水晶衝突：青銅,192406,82093,148,0,0,0,3208,5
37,第1賽季水晶衝突：白銀,192407,82093,149,0,0,0,3207,5
38,第1賽季水晶衝突：黃金,192408,82093,150,0,0,0,3206,5
39,第1賽季水晶衝突：白金,192409,82093,151,0,0,0,3205,5
40,第1賽季水晶衝突：鑽石,192410,82093,152,0,0,0,3204,5
