#,Name,Background,Frame,Decoration,SortKey
0,自訂,0,0,0,0
1,基礎,1,1,1,2
2,簡約,2,3,1,3
3,古典,10,10,1,4
4,華美,7,10,1,5
5,豪華,3,11,8,6
6,乙太空間,8,1,1,1
7,日誌,7,7,1,7
8,職能：防護職業,4,9,5,8
9,職能：治療職業,6,9,7,9
10,職能：進攻職業,5,9,6,10
11,騎士（簡易）,52,12,12,2050
12,戰士（簡易）,53,13,13,2051
13,暗黑騎士（簡易）,54,14,14,2052
14,絕槍戰士（簡易）,55,15,15,2053
15,白魔道士（簡易）,56,16,16,2054
16,學者（簡易）,57,17,17,2055
17,占星術師（簡易）,58,18,18,2056
18,賢者（簡易）,59,19,19,2057
19,武僧（簡易）,60,20,20,2058
20,龍騎士（簡易）,61,21,21,2059
21,忍者（簡易）,62,22,22,2060
22,武士（簡易）,63,23,23,2061
23,奪魂者（簡易）,64,24,24,2062
24,吟遊詩人（簡易）,65,25,25,2064
25,機工士（簡易）,66,26,26,2065
26,舞者（簡易）,67,27,27,2066
27,黑魔道士（簡易）,68,28,28,2067
28,召喚士（簡易）,69,29,29,2068
29,赤魔道士（簡易）,70,30,30,2069
30,騎士（華麗）,11,12,12,2150
31,戰士（華麗）,12,13,13,2151
32,暗黑騎士（華麗）,13,14,14,2152
33,絕槍戰士（華麗）,14,15,15,2153
34,白魔道士（華麗）,15,16,16,2154
35,學者（華麗）,16,17,17,2155
36,占星術師（華麗）,17,18,18,2156
37,賢者（華麗）,18,19,19,2157
38,武僧（華麗）,19,20,20,2158
39,龍騎士（華麗）,20,21,21,2159
40,忍者（華麗）,21,22,22,2160
41,武士（華麗）,22,23,23,2161
42,奪魂者（華麗）,23,24,24,2162
43,吟遊詩人（華麗）,24,25,25,2164
44,機工士（華麗）,25,26,26,2165
45,舞者（華麗）,26,27,27,2166
46,黑魔道士（華麗）,27,28,28,2167
47,召喚士（華麗）,28,29,29,2168
48,赤魔道士（華麗）,29,30,30,2169
49,星極隊,30,31,31,3000
50,靈極隊,31,32,32,3001
51,隨身神典石1,41,42,42,4000
52,隨身神典石2,42,43,43,4001
53,絕 巴哈姆特殲滅戰,86,44,44,2500
54,絕 究極武器破壞作戰,87,45,45,2501
55,絕 亞歷山大殲滅戰,88,46,46,2502
56,絕 龍詩戰爭,89,47,47,2503
57,第1賽季水晶衝突：王者,32,33,33,3200
58,第1賽季水晶衝突：勇者,33,34,34,3201
59,第1賽季水晶衝突：獲獎者,34,35,35,3202
60,第1賽季水晶衝突：青銅,35,36,36,3208
61,第1賽季水晶衝突：白銀,36,37,37,3207
62,第1賽季水晶衝突：黃金,37,38,38,3206
63,第1賽季水晶衝突：白金,38,39,39,3205
64,第1賽季水晶衝突：鑽石,39,40,40,3204
65,第1賽季水晶衝突：水晶,40,41,41,3203
66,第2賽季水晶衝突：王者,90,48,48,3209
67,第2賽季水晶衝突：勇者,91,49,49,3210
68,第2賽季水晶衝突：獲獎者,92,50,50,3211
69,第2賽季水晶衝突：青銅,93,51,51,3217
70,第2賽季水晶衝突：白銀,94,52,52,3216
71,第2賽季水晶衝突：黃金,95,53,53,3215
72,第2賽季水晶衝突：白金,96,54,54,3214
73,第2賽季水晶衝突：鑽石,97,55,55,3213
74,第2賽季水晶衝突：水晶,98,56,56,3212
75,第3賽季水晶衝突：王者,99,57,57,3218
76,第3賽季水晶衝突：勇者,100,58,58,3219
77,第3賽季水晶衝突：獲獎者,101,59,59,3220
78,第3賽季水晶衝突：青銅,102,60,60,3226
79,第3賽季水晶衝突：白銀,103,61,61,3225
80,第3賽季水晶衝突：黃金,104,62,62,3224
81,第3賽季水晶衝突：白金,105,63,63,3223
82,第3賽季水晶衝突：鑽石,106,64,64,3222
83,第3賽季水晶衝突：水晶,107,65,65,3221
84,水晶衝突：藍色,108,66,66,3002
85,水晶衝突：紅色,109,67,67,3003
86,多變迷宮：希拉狄哈水道,110,68,68,2402
87,友好部族任務：奧密克戎族,111,1,69,2315
88,幾何圖形：圓形,119,70,75,11
89,漫畫,116,69,74,12
90,稀有度1（普通品質）,125,76,1,13
91,稀有度2（普通品質）,126,76,1,14
92,稀有度3（普通品質）,127,76,1,15
93,稀有度4（普通品質）,128,76,1,16
94,稀有度5（普通品質）,129,76,1,17
95,稀有度1（優質）,125,77,1,18
96,稀有度2（優質）,126,77,1,19
97,稀有度3（優質）,127,77,1,20
98,稀有度4（優質）,128,77,1,21
99,稀有度5（優質）,129,77,1,22
100,音樂,123,1,76,23
101,咖啡廳,115,1,73,24
102,第4賽季水晶衝突：王者,133,78,81,3227
103,第4賽季水晶衝突：勇者,134,79,82,3228
104,第4賽季水晶衝突：獲獎者,135,80,83,3229
105,第4賽季水晶衝突：水晶,136,81,84,3230
106,第4賽季水晶衝突：鑽石,137,82,85,3231
107,第4賽季水晶衝突：白金,138,83,86,3232
108,第4賽季水晶衝突：黃金,139,84,87,3233
109,第4賽季水晶衝突：白銀,140,85,88,3234
110,第4賽季水晶衝突：青銅,141,86,89,3235
111,第5賽季水晶衝突：王者,142,87,90,3236
112,第5賽季水晶衝突：勇者,143,88,91,3237
113,第5賽季水晶衝突：獲獎者,144,89,92,3238
114,第5賽季水晶衝突：水晶,145,90,93,3239
115,第5賽季水晶衝突：鑽石,146,91,94,3240
116,第5賽季水晶衝突：白金,147,92,95,3241
117,第5賽季水晶衝突：黃金,148,93,96,3242
118,第5賽季水晶衝突：白銀,149,94,97,3243
119,第5賽季水晶衝突：青銅,150,95,98,3244
120,獵隼陣營,151,96,99,3004
121,渡鴉陣營,152,97,100,3005
122,友好部族任務：仙子族,153,1,101,2311
123,友好部族任務：奇塔利族,154,1,102,2312
124,友好部族任務：矮人族,155,1,103,2313
125,友好部族任務：悌陽象族,156,1,104,2314
126,友好部族任務：兔兔族,157,1,105,2316
127,絕 歐米茄驗證戰,158,98,106,2504
