#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,無,0,82092,0,0,0,0,0,0
1,無,191001,82092,1,0,0,0,1,1
2,褪色：黑,191002,82092,1,0,0,0,3,1
3,褪色：白,191003,82092,1,0,0,0,2,1
4,簡易邊框：白,191004,82092,1,0,0,0,7,1
5,金屬邊框：銀,191005,82092,1,0,0,0,5,1
6,金屬邊框：金,191006,82092,1,0,0,0,4,1
7,日誌,191007,82092,1,0,0,0,10,1
8,簡易邊框：棕色,191008,82092,1,0,0,0,8,1
9,簡易邊框：金屬,191009,82092,1,0,0,0,9,1
10,古董,191010,82092,1,0,0,0,20,1
11,角花,191011,82092,1,0,0,0,21,1
12,騎士,191301,82092,124,0,0,0,2150,2
13,戰士,191302,82092,125,0,0,0,2151,2
14,暗黑騎士,191303,82092,126,0,0,0,2152,2
15,絕槍戰士,191304,82092,127,0,0,0,2153,2
16,白魔道士,191305,82092,128,0,0,0,2154,2
17,學者,191306,82092,129,0,0,0,2155,2
18,占星術師,191307,82092,130,0,0,0,2156,2
19,賢者,191308,82092,131,0,0,0,2157,2
20,武僧,191309,82092,132,0,0,0,2158,2
21,龍騎士,191310,82092,133,0,0,0,2159,2
22,忍者,191311,82092,134,0,0,0,2160,2
23,武士,191312,82092,135,0,0,0,2161,2
24,奪魂者,191313,82092,136,0,0,0,2162,2
25,吟遊詩人,191314,82092,137,0,0,0,2164,2
26,機工士,191315,82092,138,0,0,0,2165,2
27,舞者,191316,82092,139,0,0,0,2166,2
28,黑魔道士,191317,82092,140,0,0,0,2167,2
29,召喚士,191318,82092,141,0,0,0,2168,2
30,赤魔道士,191319,82092,142,0,0,0,2169,2
31,星極隊,191401,82092,143,0,0,0,3000,10
32,靈極隊,191402,82092,144,0,0,0,3001,10
33,第1賽季水晶衝突：王者,191403,82092,145,0,0,0,3200,5
34,第1賽季水晶衝突：勇者,191404,82092,146,0,0,0,3201,5
35,第1賽季水晶衝突：獲獎者,191405,82092,147,0,0,0,3202,5
36,第1賽季水晶衝突：青銅,191406,82092,148,0,0,0,3208,5
37,第1賽季水晶衝突：白銀,191407,82092,149,0,0,0,3207,5
38,第1賽季水晶衝突：黃金,191408,82092,150,0,0,0,3206,5
39,第1賽季水晶衝突：白金,191409,82092,151,0,0,0,3205,5
40,第1賽季水晶衝突：鑽石,191410,82092,152,0,0,0,3204,5
41,第1賽季水晶衝突：水晶,191411,82092,153,0,0,0,3203,5
42,,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0
44,絕 巴哈姆特殲滅戰,191701,82092,319,0,0,0,2500,4
45,絕 究極武器破壞作戰,191702,82092,320,0,0,0,2501,4
46,絕 亞歷山大殲滅戰,191703,82092,321,0,0,0,2502,4
47,絕 龍詩戰爭,191704,82092,322,0,0,0,2503,4
48,第2賽季水晶衝突：王者,191412,82092,323,0,0,0,3209,5
49,第2賽季水晶衝突：勇者,191413,82092,324,0,0,0,3210,5
50,第2賽季水晶衝突：獲獎者,191414,82092,325,0,0,0,3211,5
51,第2賽季水晶衝突：青銅,191415,82092,326,0,0,0,3217,5
52,第2賽季水晶衝突：白銀,191416,82092,327,0,0,0,3216,5
53,第2賽季水晶衝突：黃金,191417,82092,328,0,0,0,3215,5
54,第2賽季水晶衝突：白金,191418,82092,329,0,0,0,3214,5
55,第2賽季水晶衝突：鑽石,191419,82092,330,0,0,0,3213,5
56,第2賽季水晶衝突：水晶,191420,82092,331,0,0,0,3212,5
57,第3賽季水晶衝突：王者,191421,82092,332,0,0,0,3218,5
58,第3賽季水晶衝突：勇者,191422,82092,333,0,0,0,3219,5
59,第3賽季水晶衝突：獲獎者,191423,82092,334,0,0,0,3220,5
60,第3賽季水晶衝突：青銅,191424,82092,335,0,0,0,3226,5
61,第3賽季水晶衝突：白銀,191425,82092,336,0,0,0,3225,5
62,第3賽季水晶衝突：黃金,191426,82092,337,0,0,0,3224,5
63,第3賽季水晶衝突：白金,191427,82092,338,0,0,0,3223,5
64,第3賽季水晶衝突：鑽石,191428,82092,339,0,0,0,3222,5
65,第3賽季水晶衝突：水晶,191429,82092,340,0,0,0,3221,5
66,水晶衝突：藍色,191430,82092,341,0,0,0,3002,10
67,水晶衝突：紅色,191431,82092,342,0,0,0,3003,10
68,多變迷宮：希拉狄哈水道,191705,82092,343,0,0,0,2400,4
69,漫畫頁面,191016,82092,1,0,0,0,32,1
70,金屬邊框：拱形,191019,82092,1,0,0,0,6,1
71,膠捲,191020,82092,1,0,0,0,33,1
72,集中線,191012,82092,1,0,0,0,31,1
73,黑霧,191013,82092,1,0,0,0,30,1
74,黑色花邊,191017,82092,1,0,0,0,22,1
75,白色花邊,191018,82092,1,0,0,0,23,1
76,普通品質,191014,82092,1,0,0,0,11,1
77,優質,191015,82092,1,0,0,0,12,1
78,第4賽季水晶衝突：王者,191432,82092,409,0,0,0,3227,5
79,第4賽季水晶衝突：勇者,191433,82092,410,0,0,0,3228,5
80,第4賽季水晶衝突：獲獎者,191434,82092,411,0,0,0,3229,5
81,第4賽季水晶衝突：水晶,191440,82092,412,0,0,0,3230,5
82,第4賽季水晶衝突：鑽石,191439,82092,413,0,0,0,3231,5
83,第4賽季水晶衝突：白金,191438,82092,414,0,0,0,3232,5
84,第4賽季水晶衝突：黃金,191437,82092,415,0,0,0,3233,5
85,第4賽季水晶衝突：白銀,191436,82092,416,0,0,0,3234,5
86,第4賽季水晶衝突：青銅,191435,82092,417,0,0,0,3235,5
87,第5賽季水晶衝突：王者,191441,82092,418,0,0,0,3236,5
88,第5賽季水晶衝突：勇者,191442,82092,419,0,0,0,3237,5
89,第5賽季水晶衝突：獲獎者,191443,82092,420,0,0,0,3238,5
90,第5賽季水晶衝突：水晶,191449,82092,421,0,0,0,3239,5
91,第5賽季水晶衝突：鑽石,191448,82092,422,0,0,0,3240,5
92,第5賽季水晶衝突：白金,191447,82092,423,0,0,0,3241,5
93,第5賽季水晶衝突：黃金,191446,82092,424,0,0,0,3242,5
94,第5賽季水晶衝突：白銀,191445,82092,425,0,0,0,3243,5
95,第5賽季水晶衝突：青銅,191444,82092,426,0,0,0,3244,5
96,獵隼陣營,191450,82092,427,0,0,0,3004,10
97,渡鴉陣營,191451,82092,428,0,0,0,3005,10
98,絕 歐米茄驗證戰,191706,82092,434,0,0,0,2504,4
99,第七星曆編年史：四聖獸奇譚,191707,82092,467,0,0,0,2251,3
100,開拓無人島1,191708,82092,468,0,0,0,2340,8
101,開拓無人島2,191709,82092,469,0,0,0,2341,8
102,第6賽季水晶衝突：王者,191452,82092,502,0,0,0,3245,5
103,第6賽季水晶衝突：勇者,191453,82092,503,0,0,0,3246,5
104,第6賽季水晶衝突：獲獎者,191454,82092,504,0,0,0,3247,5
105,第6賽季水晶衝突：水晶,191460,82092,505,0,0,0,3248,5
106,第6賽季水晶衝突：鑽石,191459,82092,506,0,0,0,3249,5
107,第6賽季水晶衝突：白金,191458,82092,507,0,0,0,3250,5
108,第6賽季水晶衝突：黃金,191457,82092,508,0,0,0,3251,5
109,第6賽季水晶衝突：白銀,191456,82092,509,0,0,0,3252,5
110,第6賽季水晶衝突：青銅,191455,82092,510,0,0,0,3253,5
111,第7賽季水晶衝突：王者,191461,82092,511,0,0,0,3254,5
112,第7賽季水晶衝突：勇者,191462,82092,512,0,0,0,3255,5
113,第7賽季水晶衝突：獲獎者,191463,82092,513,0,0,0,3256,5
114,第7賽季水晶衝突：水晶,191469,82092,514,0,0,0,3257,5
115,第7賽季水晶衝突：鑽石,191468,82092,515,0,0,0,3258,5
116,第7賽季水晶衝突：白金,191467,82092,516,0,0,0,3259,5
117,第7賽季水晶衝突：黃金,191466,82092,517,0,0,0,3260,5
118,第7賽季水晶衝突：白銀,191465,82092,518,0,0,0,3261,5
119,第7賽季水晶衝突：青銅,191464,82092,519,0,0,0,3262,5
120,東方風外框1,191470,82092,520,0,0,0,3006,10
121,東方風外框2,191471,82092,521,0,0,0,3007,10
122,青魔道士,191320,82092,522,0,0,0,2171,2
123,10周年紀念,191710,82092,523,0,0,0,3950,7
124,多變迷宮：六根山,191711,82092,528,0,0,0,2401,4
125,海釣愛好者,191712,82092,529,0,0,0,2343,8
126,願者上鉤,191713,82092,530,0,0,0,2344,8
127,運籌帷幄,191714,82092,531,0,0,0,2350,8
128,時代的終結,191715,82092,527,0,0,0,2250,3
