#,Name,Plural,NameRelation,Adjective,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,IconReputation,Icon,Unknown1,CurrencyItem,MinLevel,BeastRankBonus,MaxRank,Expansion,DisplayOrder,Unknown0
0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,蜥蜴人族：灰黨,,蜥蜴人族友好度,0,0,0,0,0,0,61901,65016,0,21076,0,0,4,0,1,True
2,風精靈族：暫留地風精靈,,風精靈族友好度,0,0,0,0,0,0,61902,65017,0,21075,0,0,4,0,2,True
3,地靈族：第789洞穴團,,地靈族友好度,0,0,0,0,0,0,61904,65019,0,21078,0,0,4,0,3,True
4,魚人族：諾布一夥,,魚人族友好度,0,0,0,0,0,0,61905,65020,0,21077,0,0,4,0,4,True
5,鳥人族：長風空力團,,鳥人族友好度,0,0,0,0,0,0,61903,65018,0,21073,50,0,7,0,5,False
6,瓦努族：美艷的袞杜,,瓦努族友好度,0,0,0,0,0,0,61906,65036,67921,21074,0,1,8,1,1,False
7,骨頜族：離群一族,,骨頜族友好度,0,0,0,0,0,0,61907,65037,67921,21079,0,1,8,1,2,False
8,莫古利族：莫古利修復團,,莫古利族友好度,0,0,0,0,0,0,61908,65039,67921,21080,60,2,8,1,3,False
9,甲人族：碧玉尋寶眾,,甲人族友好度,0,0,0,0,0,0,61910,65048,68700,21081,0,3,8,2,1,False
10,阿難陀族：阿露帕國境警備隊,,阿難陀族友好度,0,0,0,0,0,0,61909,65047,68700,21935,0,3,8,2,2,False
11,鯰魚精族：大鯰大祭執行委員會,,鯰魚精族友好度,0,0,0,0,0,0,61911,65063,68700,22525,70,4,8,2,3,False
12,仙子族：夢園仙子,,仙子族友好度,0,0,0,0,0,0,61912,65072,0,28186,0,5,8,3,1,False
13,奇塔利族：盧利採掘隊,,奇塔利族友好度,0,0,0,0,0,0,61913,65076,0,28187,80,6,8,3,2,False
14,矮人族：沃茨之錘,,矮人族友好度,0,0,0,0,0,0,61914,65079,0,28188,80,7,8,3,3,False
15,悌陽象族：河馬騎手團,,悌陽象族友好度,0,0,0,0,0,0,61915,65092,70324,36657,0,8,8,4,1,False
16,奧密克戎族：背世咖啡廳,,奧密克戎族友好度,0,0,0,0,0,0,61916,65093,70324,37854,90,9,8,4,2,False
17,兔兔族：夢明工作室,,兔兔族友好度,0,0,0,0,0,0,61917,65101,70324,38952,90,10,8,4,3,False
18,佩魯佩魯族：圖拉爾旅行公司,,佩魯佩魯族友好度,0,0,0,0,0,0,61918,65113,0,44472,0,11,8,5,2,False
19,マムージャ族：ゴクゴルマ農園,,マムージャ族友好度,0,0,0,0,0,0,61919,65115,0,48084,100,12,8,5,1,False
