#,Dialogue[0],Dialogue[1],Dialogue[2],Dialogue[3],Image,Level,UnlockQuest,UnlockLink,ContentFinderCondition,ContentType,Unknown6
0,0,0,0,0,0,0,0,0,0,0,False
1,15938,15916,15922,0,0,0,0,0,0,2,False
2,15938,15916,15922,0,0,0,0,0,0,4,False
3,15938,15916,15922,0,0,0,0,0,0,5,False
4,15938,15916,15923,15934,0,0,0,0,0,6,False
5,15905,15939,15958,0,0,0,0,0,0,21,False
6,15905,15939,15925,15959,112383,8267820,69379,0,0,31,False
7,15905,15939,15928,0,111044,0,65973,0,0,32,False
8,15905,15939,15946,0,111042,0,66747,0,0,9,False
9,15905,15939,15929,0,111041,0,0,99,0,33,False
10,15905,15939,15930,0,111043,0,66643,0,0,34,False
11,15905,15939,15924,15935,111046,0,65970,0,0,35,True
12,15905,15939,15927,0,111045,0,0,0,0,8,False
13,0,0,0,0,0,0,0,0,0,0,False
14,15944,15945,15943,0,111047,0,0,0,179,9,False
15,0,0,0,0,0,0,0,0,0,0,False
16,0,0,0,0,0,0,0,0,0,0,False
17,0,0,0,0,0,0,0,0,0,0,False
18,0,0,0,0,0,0,0,0,0,0,False
19,0,0,0,0,0,0,0,0,0,0,False
20,0,0,0,0,0,0,0,0,0,0,False
21,0,0,0,0,0,0,0,0,0,0,False
