#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,SortKey,FontColor,Unknown3,Category,Unknown1,Unknown2
0,無,0,0,0,0,0,0,0,0,0,True,True
1,,0,0,0,0,0,0,0,0,0,False,False
2,黑色,193002,1,0,0,0,1,1,0,1,True,True
3,白色,193003,1,0,0,0,2,2,0,1,True,True
4,紫色,193004,1,0,0,0,5,1,0,1,True,True
5,漸變色：防護職業,193005,1,0,0,0,6,1,0,1,True,True
6,漸變色：進攻職業,193006,1,0,0,0,8,1,0,1,True,True
7,漸變色：治療職業,193007,1,0,0,0,7,1,0,1,True,True
8,乳白色,193008,1,0,0,0,4,2,0,1,True,True
9,半透明,193009,1,0,0,0,10,1,0,1,True,True
10,米黃色,193010,1,0,0,0,3,2,0,1,True,True
11,漸變色：粉色,193011,1,0,0,0,9,2,0,1,True,True
12,,0,0,0,0,0,0,0,0,0,False,False
13,,0,0,0,0,0,0,0,0,0,False,False
14,,0,0,0,0,0,0,0,0,0,False,False
15,,0,0,0,0,0,0,0,0,0,False,False
16,,0,0,0,0,0,0,0,0,0,False,False
17,,0,0,0,0,0,0,0,0,0,False,False
18,,0,0,0,0,0,0,0,0,0,False,False
19,,0,0,0,0,0,0,0,0,0,False,False
20,,0,0,0,0,0,0,0,0,0,False,False
21,,0,0,0,0,0,0,0,0,0,False,False
22,,0,0,0,0,0,0,0,0,0,False,False
23,,0,0,0,0,0,0,0,0,0,False,False
24,,0,0,0,0,0,0,0,0,0,False,False
25,,0,0,0,0,0,0,0,0,0,False,False
26,,0,0,0,0,0,0,0,0,0,False,False
27,,0,0,0,0,0,0,0,0,0,False,False
28,,0,0,0,0,0,0,0,0,0,False,False
29,,0,0,0,0,0,0,0,0,0,False,False
30,,0,0,0,0,0,0,0,0,0,False,False
31,,0,0,0,0,0,0,0,0,0,False,False
32,,0,0,0,0,0,0,0,0,0,False,False
33,,0,0,0,0,0,0,0,0,0,False,False
34,,0,0,0,0,0,0,0,0,0,False,False
35,,0,0,0,0,0,0,0,0,0,False,False
36,,0,0,0,0,0,0,0,0,0,False,False
37,,0,0,0,0,0,0,0,0,0,False,False
38,,0,0,0,0,0,0,0,0,0,False,False
39,,0,0,0,0,0,0,0,0,0,False,False
40,,0,0,0,0,0,0,0,0,0,False,False
41,,0,0,0,0,0,0,0,0,0,False,False
42,,0,0,0,0,0,0,0,0,0,False,False
43,,0,0,0,0,0,0,0,0,0,False,False
44,,0,0,0,0,0,0,0,0,0,False,False
45,,0,0,0,0,0,0,0,0,0,False,False
46,,0,0,0,0,0,0,0,0,0,False,False
47,,0,0,0,0,0,0,0,0,0,False,False
48,,0,0,0,0,0,0,0,0,0,False,False
49,,0,0,0,0,0,0,0,0,0,False,False
50,,0,0,0,0,0,0,0,0,0,False,False
51,,0,0,0,0,0,0,0,0,0,False,False
52,,0,0,0,0,0,0,0,0,0,False,False
53,,0,0,0,0,0,0,0,0,0,False,False
54,絕 巴哈姆特殲滅戰,193701,319,0,0,0,2500,1,0,4,True,True
55,絕 究極武器破壞作戰,193702,320,0,0,0,2501,1,0,4,True,True
56,絕 亞歷山大殲滅戰,193703,321,0,0,0,2502,2,0,4,True,True
57,絕 龍詩戰爭,193704,322,0,0,0,2503,1,0,4,True,True
58,友好部族任務：奧密克戎族,193966,344,0,0,0,2315,1,0,3,True,True
59,咖啡時間,193012,1,0,0,0,11,1,0,1,True,True
60,幾何圖形：圓形,193013,1,0,0,0,12,1,0,1,True,True
61,音樂,193014,347,0,0,0,13,1,0,7,True,True
62,東方樣式,193015,1,0,0,0,14,1,0,1,True,True
63,友好部族任務：仙子族,193962,429,0,0,0,2311,1,0,3,True,True
64,友好部族任務：奇塔利族,193963,430,0,0,0,2312,1,0,3,True,True
65,友好部族任務：矮人族,193964,431,0,0,0,2313,1,0,3,True,True
66,友好部族任務：悌陽象族,193965,432,0,0,0,2314,1,0,3,True,True
67,友好部族任務：兔兔族,193967,433,0,0,0,2316,1,0,3,True,True
68,絕 歐米茄驗證戰,193705,434,0,0,0,2504,1,0,4,True,True
69,深層迷宮：正統優雷卡1,193710,465,0,0,0,2358,1,0,4,True,True
70,深層迷宮：正統優雷卡2,193711,466,0,0,0,2359,1,0,4,True,True
71,第七星曆編年史：四聖獸奇譚,193712,467,0,0,0,2251,2,0,3,True,True
72,開拓無人島1,193713,468,0,0,0,2340,2,0,8,True,True
73,開拓無人島2,193714,469,0,0,0,2341,1,0,8,True,True
74,友好部族任務：甲人族,193960,524,0,0,0,2308,1,0,3,True,True
75,友好部族任務：阿難陀族,193959,525,0,0,0,2309,1,0,3,True,True
76,友好部族任務：鯰魚精族,193961,526,0,0,0,2310,1,0,3,True,True
77,時代的終結,193715,527,0,0,0,2250,1,0,3,True,True
78,10周年紀念,193716,523,0,0,0,3950,1,0,7,True,True
79,海釣愛好者,193717,529,0,0,0,2343,1,0,8,True,True
80,願者上鉤,193718,530,0,0,0,2344,1,0,8,True,True
81,運籌帷幄,193719,531,0,0,0,2350,1,0,8,True,True
82,友好部族任務：瓦努族,193956,567,0,0,0,2305,1,0,3,True,True
83,友好部族任務：骨頜族,193957,568,0,0,0,2306,1,0,3,True,True
84,友好部族任務：莫古利族,193958,569,0,0,0,2307,1,0,3,True,True
85,艾奧傑亞神話：哈羅妮,193723,572,0,0,0,2252,2,0,3,True,True
86,艾奧傑亞神話：梅茵菲娜,193724,572,0,0,0,2253,2,0,3,True,True
87,艾奧傑亞神話：沙利亞克,193725,572,0,0,0,2254,2,0,3,True,True
88,艾奧傑亞神話：妮美雅,193726,572,0,0,0,2255,2,0,3,True,True
89,艾奧傑亞神話：利姆萊茵,193727,572,0,0,0,2256,2,0,3,True,True
90,艾奧傑亞神話：奧修昂,193728,572,0,0,0,2257,2,0,3,True,True
91,艾奧傑亞神話：比爾格,193729,572,0,0,0,2258,2,0,3,True,True
92,艾奧傑亞神話：拉爾戈,193730,572,0,0,0,2259,2,0,3,True,True
93,艾奧傑亞神話：阿澤瑪,193731,572,0,0,0,2260,2,0,3,True,True
94,艾奧傑亞神話：納爾札爾,193732,572,0,0,0,2261,2,0,3,True,True
95,艾奧傑亞神話：諾菲卡,193733,572,0,0,0,2262,2,0,3,True,True
96,艾奧傑亞神話：阿爾基克,193734,572,0,0,0,2263,2,0,3,True,True
97,塔塔露的大繁榮商店,193722,573,0,0,0,2242,1,0,3,True,True
98,天書奇談,193720,570,0,0,0,2351,2,0,8,True,True
99,幻巧拼圖,193721,571,0,0,0,2352,1,0,8,True,True
100,金碟巨豆中心1,193735,575,0,0,0,3951,1,0,7,True,True
101,金碟巨豆中心2,193736,576,0,0,0,3952,1,0,7,True,True
102,金碟巨豆中心3,193737,577,0,0,0,3953,1,0,7,True,True
103,妖怪手錶,193738,607,0,0,0,3954,1,0,7,True,True
104,友好部族任務：地靈族,193954,694,0,0,0,2302,1,0,3,True,True
105,友好部族任務：風精靈族,193952,695,0,0,0,2301,1,0,3,True,True
106,友好部族任務：蜥蜴人族,193951,696,0,0,0,2300,1,0,3,True,True
107,友好部族任務：魚人族,193955,697,0,0,0,2303,1,0,3,True,True
108,友好部族任務：鳥人族,193953,698,0,0,0,2304,1,0,3,True,True
109,圖萊尤拉1,193662,701,0,0,0,1036,1,0,9,True,True
110,圖萊尤拉2,193663,702,0,0,0,1037,1,0,9,True,True
111,九號解決方案1,193664,699,0,0,0,1038,1,0,9,True,True
112,九號解決方案2,193665,700,0,0,0,1039,2,0,9,True,True
113,友好部族任務：佩魯佩魯族,193968,767,0,0,0,2317,1,0,3,True,True
114,伊修加爾德1,193654,768,0,0,0,1020,2,0,9,True,True
115,伊修加爾德2,193672,769,0,0,0,1021,1,0,9,True,True
116,田園郡1,193655,770,0,0,0,1022,2,0,9,True,True
117,田園郡2,193673,771,0,0,0,1023,1,0,9,True,True
118,黃金港1,193656,772,0,0,0,1024,1,0,9,True,True
119,黃金港2,193668,773,0,0,0,1025,2,0,9,True,True
120,神拳痕1,193657,774,0,0,0,1026,1,0,9,True,True
121,神拳痕2,193669,775,0,0,0,1027,2,0,9,True,True
122,水晶都1,193658,776,0,0,0,1028,2,0,9,True,True
123,水晶都2,193670,777,0,0,0,1029,1,0,9,True,True
124,遊末邦1,193659,778,0,0,0,1030,1,0,9,True,True
125,遊末邦2,193671,779,0,0,0,1031,1,0,9,True,True
126,舊薩雷安1,193660,780,0,0,0,1032,1,0,9,True,True
127,舊薩雷安2,193666,781,0,0,0,1033,2,0,9,True,True
128,拉札漢1,193661,782,0,0,0,1034,1,0,9,True,True
129,拉札漢2,193667,783,0,0,0,1035,1,0,9,True,True
130,,0,0,0,0,0,0,0,0,0,False,False
131,,0,0,0,0,0,0,0,0,0,False,False
132,,0,0,0,0,0,0,0,0,0,False,False
133,,0,0,0,0,0,0,0,0,0,False,False
