#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,自訂,0,0,0,0,0,0,0,0,0
1,基礎,2,11,1,0,0,0,1,1,0
2,簡約,3,11,2,0,0,0,2,3,3
3,時尚,9,18,0,0,0,0,3,8,8
4,圓點,4,13,3,0,0,0,4,3,3
5,職能：防護職業,5,11,10,24,0,0,5,0,1
6,職能：進攻職業,6,11,10,25,0,0,7,0,1
7,職能：治療職業,7,11,10,26,0,0,6,0,1
8,利姆薩·羅敏薩,6,20,4,28,35,42,8,5,5
9,格里達尼亞,10,20,4,28,36,42,9,7,7
10,烏爾達哈,9,20,4,28,37,42,10,4,4
11,勘探者,8,19,9,28,38,49,11,9,9
12,冒險家,8,14,9,30,38,44,12,10,10
13,絕 巴哈姆特殲滅戰,54,160,0,161,162,163,2500,11,0
14,絕 究極武器破壞作戰,55,164,0,165,166,167,2501,12,0
15,絕 亞歷山大殲滅戰,56,168,0,169,170,171,2502,13,0
16,絕 龍詩戰爭,57,172,0,173,174,175,2503,14,0
17,多變迷宮：希拉狄哈水道,3,0,176,177,0,0,2402,0,0
18,友好部族任務：奧密克戎族,58,0,0,0,0,179,2315,15,15
19,幾何圖形：圓形,60,0,0,0,191,0,13,0,0
20,咖啡廳,59,0,180,0,0,194,14,0,0
21,音樂,61,0,0,0,0,196,15,16,16
22,友好部族任務：仙子族,63,0,0,0,0,257,2311,21,21
23,友好部族任務：奇塔利族,64,0,0,0,0,258,2312,22,22
24,友好部族任務：矮人族,65,0,0,0,0,259,2313,23,23
25,友好部族任務：悌陽象族,66,0,0,0,0,260,2314,24,24
26,友好部族任務：兔兔族,67,0,0,0,0,261,2316,25,25
27,絕 歐米茄驗證戰,68,262,0,263,264,265,2504,26,0
28,深層迷宮：正統優雷卡1,69,0,0,296,0,0,2358,0,0
29,深層迷宮：正統優雷卡2,70,0,0,297,0,0,2359,0,0
30,第七星曆編年史：四聖獸奇譚,71,0,0,0,298,0,2251,0,0
31,開拓無人島1,72,0,0,0,299,301,2340,0,0
32,開拓無人島2,73,0,0,0,300,302,2341,0,0
33,友好部族任務：甲人族,74,0,0,0,0,333,2308,27,27
34,友好部族任務：阿難陀族,75,0,0,0,0,334,2309,28,28
35,友好部族任務：鯰魚精族,76,0,0,0,0,335,2310,29,29
36,時代的終結,77,354,0,336,337,338,2250,0,0
37,10周年紀念,78,0,0,0,339,340,3950,30,0
38,多變迷宮：六根山,3,0,341,342,0,0,2403,0,0
39,海釣愛好者,79,343,0,344,345,346,2345,31,0
40,願者上鉤,80,347,0,348,349,350,2346,32,0
41,運籌帷幄,81,351,0,0,352,353,2350,33,33
42,友好部族任務：瓦努族,82,0,0,0,0,388,2305,34,34
43,友好部族任務：骨頜族,83,0,0,0,0,389,2306,35,35
44,友好部族任務：莫古利族,84,0,0,0,0,390,2307,36,36
45,艾奧傑亞神話：哈羅妮,85,0,0,391,392,393,2252,37,0
46,艾奧傑亞神話：梅茵菲娜,86,0,0,391,392,393,2253,37,0
47,艾奧傑亞神話：沙利亞克,87,0,0,391,392,393,2254,37,0
48,艾奧傑亞神話：妮美雅,88,0,0,391,392,393,2255,37,0
49,艾奧傑亞神話：利姆萊茵,89,0,0,391,392,393,2256,37,0
50,艾奧傑亞神話：奧修昂,90,0,0,391,392,393,2257,37,0
51,艾奧傑亞神話：比爾格,91,0,0,391,392,393,2258,37,0
52,艾奧傑亞神話：拉爾戈,92,0,0,391,392,393,2259,37,0
53,艾奧傑亞神話：阿澤瑪,93,0,0,391,392,393,2260,37,0
54,艾奧傑亞神話：納爾札爾,94,0,0,391,392,393,2261,37,0
55,艾奧傑亞神話：諾菲卡,95,0,0,391,392,393,2262,37,0
56,艾奧傑亞神話：阿爾基克,96,0,0,391,392,393,2263,37,0
57,塔塔露的大繁榮商店,97,0,0,394,395,0,2242,38,0
58,多變迷宮：阿羅阿羅島,3,0,396,397,0,0,2404,0,0
59,天書奇談,98,398,0,399,400,401,2351,39,0
60,幻巧拼圖,99,402,0,403,404,405,2352,40,0
61,金碟巨豆中心1,100,406,0,0,0,0,3951,41,0
62,金碟巨豆中心2,101,407,0,0,0,0,3952,42,0
63,金碟巨豆中心3,102,408,0,0,0,0,3953,43,0
64,妖怪手錶,103,409,0,0,410,411,3954,44,0
65,友好部族任務：地靈族,104,0,0,0,0,452,2302,45,45
66,友好部族任務：風精靈族,105,0,0,0,0,453,2301,46,46
67,友好部族任務：蜥蜴人族,106,0,0,0,0,454,2300,47,47
68,友好部族任務：魚人族,107,0,0,0,0,455,2303,48,48
69,友好部族任務：鳥人族,108,0,0,0,0,456,2304,49,49
70,圖萊尤拉1,109,457,0,458,459,0,1036,50,0
71,圖萊尤拉2,110,460,0,461,462,0,1037,51,0
