#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,無,196001,196251,1,0,0,0,0,0,0,0,0,0
1,半透明：黑色,196002,196252,1,0,0,0,3,1,0,0,0,1
2,漸變色：藍色,196003,196253,1,0,0,0,1,1,0,0,0,1
3,漸變色：紫色,196004,196254,1,0,0,0,2,1,0,0,0,1
4,乳白色,196005,196255,1,0,0,0,5,2,0,0,0,1
5,長槍,196006,196256,1,0,0,0,9,1,0,0,0,1
6,經典,196007,196257,1,0,0,0,10,1,0,0,0,1
7,木板,196008,196258,1,0,0,0,7,2,0,0,0,1
8,半透明：深藍色,196009,196259,1,0,0,0,4,1,0,0,0,1
9,木質紋理,196010,196260,1,0,0,0,6,1,0,0,0,1
10,卷軸,196011,196261,1,0,0,0,8,1,0,0,0,1
11,絕 巴哈姆特殲滅戰,196101,0,319,0,0,0,2500,1,0,0,0,4
12,絕 究極武器破壞作戰,196102,0,320,0,0,0,2501,1,0,0,0,4
13,絕 亞歷山大殲滅戰,196103,0,321,0,0,0,2502,1,0,0,0,4
14,絕 龍詩戰爭,196104,0,322,0,0,0,2503,1,0,0,0,4
15,友好部族任務：奧密克戎族,196216,196466,344,0,0,0,2315,1,0,0,0,3
16,音樂,196012,196262,347,0,0,0,22,1,0,0,0,7
17,東方樣式,196013,196263,1,0,0,0,23,1,0,0,0,1
18,膠帶紙：利姆薩·羅敏薩,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,膠帶紙：格里達尼亞,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,膠帶紙：烏爾達哈,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,友好部族任務：仙子族,196212,196462,429,0,0,0,2311,1,0,0,0,3
22,友好部族任務：奇塔利族,196213,196463,430,0,0,0,2312,1,0,0,0,3
23,友好部族任務：矮人族,196214,196464,431,0,0,0,2313,1,0,0,0,3
24,友好部族任務：悌陽象族,196215,196465,432,0,0,0,2314,1,0,0,0,3
25,友好部族任務：兔兔族,196217,196467,433,0,0,0,2316,1,0,0,0,3
26,絕 歐米茄驗證戰,196105,0,434,0,0,0,2504,1,0,0,0,4
27,友好部族任務：甲人族,196210,196460,524,0,0,0,2308,1,0,0,0,3
28,友好部族任務：阿難陀族,196209,196459,525,0,0,0,2309,2,0,0,0,3
29,友好部族任務：鯰魚精族,196211,196461,526,0,0,0,2310,1,0,0,0,3
30,10周年紀念,196106,0,523,0,0,0,3950,1,0,0,0,7
31,海釣愛好者,196107,0,529,0,0,0,2343,1,0,0,0,8
32,願者上鉤,196108,0,530,0,0,0,2344,1,0,0,0,8
33,運籌帷幄,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,友好部族任務：瓦努族,196206,196456,567,0,0,0,2305,1,0,0,0,3
35,友好部族任務：骨頜族,196207,196457,568,0,0,0,2306,1,0,0,0,3
36,友好部族任務：莫古利族,196208,196458,569,0,0,0,2307,1,0,0,0,3
37,艾奧傑亞神話,196113,0,572,0,0,0,2252,1,0,0,0,3
38,塔塔露的大繁榮商店,196112,0,573,0,0,0,2250,1,0,0,0,3
39,天書奇談,196110,0,570,0,0,0,2351,2,0,0,0,8
40,幻巧拼圖,196111,0,571,0,0,0,2352,1,0,0,0,8
41,金碟巨豆中心1,196114,0,575,0,0,0,3951,1,0,0,0,7
42,金碟巨豆中心2,196115,0,576,0,0,0,3952,1,0,0,0,7
43,金碟巨豆中心3,196116,0,577,0,0,0,3953,1,0,0,0,7
44,妖怪手錶,196117,0,607,0,0,0,3954,1,0,0,0,7
45,友好部族任務：地靈族,196204,196454,694,0,0,0,2302,1,0,0,0,3
46,友好部族任務：風精靈族,196202,196452,695,0,0,0,2301,1,0,0,0,3
47,友好部族任務：蜥蜴人族,196201,196451,696,0,0,0,2300,1,0,0,0,3
48,友好部族任務：魚人族,196205,196455,697,0,0,0,2303,2,0,0,0,3
49,友好部族任務：鳥人族,196203,196453,698,0,0,0,2304,1,0,0,0,3
50,圖萊尤拉1,196062,0,701,0,0,0,1036,1,0,0,0,9
51,圖萊尤拉2,196063,0,702,0,0,0,1037,1,0,0,0,9
52,九號解決方案1,196064,0,699,0,0,0,1038,1,0,0,0,9
53,九號解決方案2,196065,0,700,0,0,0,1039,2,0,0,0,9
54,友好部族任務：佩魯佩魯族,196218,196468,767,0,0,0,2317,1,0,0,0,3
55,伊修加爾德1,196054,0,768,0,0,0,1020,1,0,0,0,9
56,伊修加爾德2,196072,0,769,0,0,0,1021,1,0,0,0,9
57,田園郡1,196055,0,770,0,0,0,1022,2,0,0,0,9
58,田園郡2,196073,0,771,0,0,0,1023,1,0,0,0,9
59,黃金港1,196056,0,772,0,0,0,1024,1,0,0,0,9
60,黃金港2,196068,0,773,0,0,0,1025,2,0,0,0,9
61,神拳痕1,196057,0,774,0,0,0,1026,1,0,0,0,9
62,神拳痕2,196069,0,775,0,0,0,1027,1,0,0,0,9
63,水晶都1,196058,0,776,0,0,0,1028,1,0,0,0,9
64,水晶都2,196070,0,777,0,0,0,1029,1,0,0,0,9
65,遊末邦1,196059,0,778,0,0,0,1030,1,0,0,0,9
66,遊末邦2,196071,0,779,0,0,0,1031,1,0,0,0,9
67,舊薩雷安1,196060,0,780,0,0,0,1032,1,0,0,0,9
68,舊薩雷安2,196066,0,781,0,0,0,1033,2,0,0,0,9
69,拉札漢1,196061,0,782,0,0,0,1034,1,0,0,0,9
70,拉札漢2,196067,0,783,0,0,0,1035,1,0,0,0,9
71,,0,0,0,0,0,0,0,0,0,0,0,0
72,,0,0,0,0,0,0,0,0,0,0,0,0
73,,0,0,0,0,0,0,0,0,0,0,0,0
74,,0,0,0,0,0,0,0,0,0,0,0,0
