#,Name,Icon,SortKey
0,未設定,61762,0
1,迷宮挑戰,61801,20
2,討伐殲滅戰,61804,21
3,大型任務,61802,22
4,絕殲滅戰,61832,23
5,深層迷宮挑戰,61824,30
6,特殊地圖探索,61837,31
7,PvP,61806,40
8,青魔道士,61836,51
9,尋寶,61808,52
10,狩獵任務,61819,53
11,製作,61816,100
12,採掘/園藝,61755,101
13,釣魚,61756,102
14,主線任務,61757,10
15,金碟遊樂園,61820,54
16,隨機任務,61807,50
17,練級,61752,150
18,角色扮演,61751,151
19,專業玩家,61754,153
20,休閒玩家,61753,152
21,新人,61823,154
22,指導者,61760,155
23,賺錢,61758,200
24,集體動作,61764,205
25,武具投影,61759,204
26,樂器演奏,61763,203
27,聊天,61765,206
28,房屋,61761,202
29,玩家自辦活動,61766,207
30,成就收集,61767,201
31,特殊迷宮探索,61846,32
32,多瑪方城戰,61768,55
33,開拓無人島,61847,56
