#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,劇情君1,1,0,0,0,0,0,0,0
1179649,劇情君2,0,0,0,0,0,0,0,0
1179650,格里達尼亞,16,2,4,18,8,12,0,0
1179651,霍桑山寨,6,0,0,0,0,0,0,0
1179652,巴斯卡隆酒家,21,24,0,0,0,0,0,0
1179653,石場水車,10,25,23,0,0,0,0,0
1179654,恬靜路營地,14,20,22,108,0,0,0,0
1179655,林場水車,17,27,0,0,0,0,0,0
1179656,秋瓜浮村,19,26,94,0,0,0,0,0
1179657,彎枝牧場,3,0,0,0,0,0,0,0
1179658,烏爾達哈,42,32,44,30,48,52,38,28
1179659,地平關,33,36,34,0,0,0,0,0
1179660,黃昏灣,31,37,0,0,0,0,0,0
1179661,白銀市集,29,35,0,0,0,0,0,0
1179662,黑塵驛站,43,0,0,0,0,0,0,0
1179663,枯骨營地,46,56,110,0,0,0,0,0
1179664,小阿拉米格,50,58,0,0,0,0,0,0
1179665,遺忘綠洲,54,59,0,0,0,0,0,0
1179666,藍霧營地,40,60,0,0,0,0,0,0
1179667,黃金市集,57,0,0,0,0,0,0,0
1179668,青磷精煉所,61,0,0,0,0,0,0,0
1179669,利姆薩·羅敏薩,62,88,64,86,68,72,76,82
1179670,盛夏農莊,63,0,0,0,0,0,0,0
1179671,雨燕塔殖民地,66,93,0,0,0,0,0,0
1179672,小麥酒港,70,92,0,0,0,0,0,0
1179673,葡萄酒港,74,0,0,0,0,0,0,0
1179674,石綠湖營地,79,0,0,0,0,0,0,0
1179675,莫拉比造船廠,87,90,0,0,0,0,0,0
1179676,赤血雄雞農場,89,91,0,0,0,0,0,0
1179677,太陽海岸,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,阿德內爾占星台,98,0,0,0,0,0,0,0
1179680,巨龍首營地,99,101,102,96,0,0,0,0
1179681,白雲崖前哨,100,0,0,0,0,0,0,0
1179682,喪靈鐘,104,106,0,0,0,0,0,0
1179683,聖寇伊納克調查地,107,0,0,0,0,0,0,0
1179684,伊修加爾德下層,140,0,0,0,0,0,0,0
1179685,隼巢,141,112,114,0,0,0,0,0
1179686,聖菲內雅連隊露營地,113,118,0,0,0,0,0,0
1179687,尾羽部落,116,120,122,124,0,0,0,0
1179688,不潔三塔,123,128,0,0,0,0,0,0
1179689,游擊野營地,126,130,0,0,0,0,0,0
1179690,莫古利之家,132,134,0,0,0,0,0,0
1179691,贖罪天廊,135,136,0,0,0,0,0,0
1179692,天極白堊宮,137,133,0,0,0,0,0,0
1179693,尊杜部落,138,0,0,0,0,0,0,0
1179694,雲頂營地,139,0,0,0,0,0,0,0
1179695,神拳痕,145,148,151,152,0,0,0,0
1179696,帝國東方堡,146,155,0,0,0,0,0,0
1179697,對等石,149,156,157,0,0,0,0,0
1179698,阿拉加納,143,161,163,0,0,0,0,0
1179699,阿拉基利,153,159,162,166,0,0,0,0
1179700,天營門,165,168,169,0,0,0,0,0
1179701,阿拉米格人居住區,170,0,0,0,0,0,0,0
1179702,黃金港,171,174,0,0,0,0,0,0
1179703,自凝島,172,177,179,195,0,0,0,0
1179704,碧玉水,175,178,183,0,0,0,0,0
1179705,茨菰村,181,185,187,0,0,0,0,0
1179706,烈士庵,188,189,201,0,0,0,0,0
1179707,重逢市集,191,193,197,206,0,0,0,0
1179708,模兒衣樓,198,203,0,0,0,0,0,0
1179709,晨曦王座,199,205,204,0,0,0,0,0
1179710,特美拉村,207,212,213,0,0,0,0,0
1179711,工匠村,208,209,216,0,0,0,0,0
1179712,滯潮村,210,211,219,0,0,0,0,0
1179713,遊末邦,215,218,221,0,0,0,0,0
1179714,普拉恩尼茸洞,222,224,0,0,0,0,0,0
1179715,雲村,223,227,0,0,0,0,0,0
1179716,群花館,225,226,236,251,0,0,0,0
1179717,法諾村,229,0,0,0,0,0,0,0
1179718,蛇行枝,228,240,255,0,0,0,0,0
1179719,絡尾部落,230,247,262,267,0,0,0,0
1179720,鼴靈市集,231,265,0,0,0,0,0,0
1179721,水晶都,244,259,0,0,0,0,0,0
1179722,奧斯塔爾嚴命城,233,249,253,257,260,0,0,0
1179723,喬布要塞,232,234,238,242,245,0,0,0
1179724,上路客店,264,266,0,0,0,0,0,0
1179725,拉札漢,288,291,294,0,0,0,0,0
1179726,新港,280,283,286,0,0,0,0,0
1179727,代米爾遺烈鄉,281,285,289,0,0,0,0,0
1179728,波洛伽護法村,282,284,292,0,0,0,0,0
1179729,碎璃營地,295,0,0,0,0,0,0,0
1179730,第三站,296,0,0,0,0,0,0,0
1179731,詭巧大廳,305,308,311,0,0,0,0,0
1179732,公堂保管院,297,301,303,0,0,0,0,0
1179733,小薩雷安,298,299,306,0,0,0,0,0
1179734,無路總部,302,300,309,0,0,0,0,0
1179735,圖萊尤拉,312,315,0,0,0,0,0,0
1179736,瓦丘恩佩洛,313,318,0,0,0,0,0,0
1179737,沃拉的迴響,319,0,0,0,0,0,0,0
1179738,哈努聚落,316,320,322,0,0,0,0,0
1179739,朋友的燈火,321,324,0,0,0,0,0,0
1179740,土陶郡,323,325,0,0,0,0,0,0
