#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,飛空艇設計圖2,1,12923,0,0,1,6,0,0
1,飛空艇設計圖3,2,12924,12923,0,1,10,4,0
2,飛空艇設計圖4,3,12925,12923,0,1,10,4,0
3,飛空艇設計圖5,4,12926,12924,0,1,14,4,0
4,飛空艇設計圖6,5,12927,12925,12923,1,14,4,4
5,餐廳設計圖,1,12920,0,0,2,10,0,0
6,防具店設計圖,2,12921,0,0,2,10,0,0
7,武器店設計圖,3,12922,12921,0,2,9,8,0
8,乙太轉輪設計圖2,1,12928,0,0,0,6,0,0
9,乙太轉輪設計圖3,2,12928,0,0,0,6,0,0
10,乙太轉輪設計圖4,3,12928,0,0,0,6,0,0
11,乙太轉輪設計圖5,4,12929,12922,0,0,4,2,0
12,乙太轉輪設計圖6,5,12929,12922,0,0,4,2,0
13,乙太轉輪設計圖7,6,12929,12922,0,0,4,2,0
14,轉輪台設計圖2,7,12929,12922,12920,0,6,3,8
15,莫古莫古房設計圖,4,12922,12921,12923,2,11,10,8
16,轉輪台設計圖3,8,12929,12922,12920,0,8,5,10
17,飛空艇設計圖7,6,12927,12926,12925,1,18,8,8
18,轉輪台設計圖4,9,12929,12922,12920,0,10,7,12
19,轉輪台設計圖5,10,12929,12922,12920,0,12,9,14
20,陸行鳥廄屋設計圖,5,12922,12921,12923,2,14,12,10
21,猴面雀房屋設計圖,6,12922,12921,12923,2,16,14,12
22,卡邦庫爾房屋設計圖,7,12922,12921,12923,2,18,16,14
23,東洋城堡房屋設計圖,8,12922,12921,12923,2,20,18,16
24,潛水艇設計圖1,7,5374,0,0,1,6,0,0
25,潛水艇設計圖2,8,12924,12923,0,1,10,4,0
26,潛水艇設計圖3,9,12925,12923,0,1,10,4,0
27,獺獺房屋設計圖,9,12922,12921,12923,2,21,19,17
28,潛水艇設計圖4,10,12926,12924,0,1,14,4,0
29,潛水艇設計圖5,11,12927,12925,12923,1,14,4,4
30,潛水艇設計圖6,12,26528,12926,12924,1,18,8,8
31,半木房屋設計圖,10,12922,29590,26528,2,18,10,8
32,鍛造師房屋設計圖,10,12922,29590,26528,2,18,10,8
33,花店房屋設計圖,10,12922,29590,26528,2,18,10,8
34,鍛冶工坊房屋設計圖,10,12922,29590,26528,2,18,10,8
35,咖啡館房屋設計圖,10,12922,29590,26528,2,18,10,8
36,薑餅屋設計圖,10,29590,37083,26528,2,18,10,8
37,風雅東洋房屋設計圖,10,29590,37083,26528,2,18,10,8
38,鄉間房屋設計圖,10,29590,37083,26528,2,18,10,8
