#,Unknown0,Unknown1,Text,Unknown3,Unknown4
0.0,0,0,0,0,0
1.0,73259,8205207,38903,5,0
1.1,73259,8205208,38904,5,0
1.2,73265,8205049,38905,5,0
1.3,73259,8205209,38906,5,0
1.4,73265,8205050,38907,5,0
1.5,73260,8205220,38908,5,0
1.6,73260,8205221,38909,5,0
1.7,73265,8205052,38910,5,0
1.8,73259,8205210,38911,5,0
1.9,73260,8205222,38912,5,0
1.10,73261,8205211,38913,5,0
1.11,73259,8205212,38914,5,0
1.12,73260,8205224,38915,5,0
1.13,73265,8205054,38916,5,0
1.14,73260,8205226,38917,5,0
1.15,73259,8205213,38918,5,0
1.16,73259,8205214,38919,5,0
1.17,73265,8205056,38920,6,0
1.18,73265,8205057,38921,6,0
1.19,73259,8205215,38922,5,0
1.20,73262,8205241,38923,5,0
1.21,73259,8205216,38924,5,0
1.22,73260,8205227,38925,5,0
1.23,73263,8205242,38926,5,0
1.24,73265,8205058,38927,5,0
1.25,73265,8205059,38928,5,0
1.26,73264,8205244,38929,5,0
2.0,0,8205361,39100,5,6
2.1,0,8205362,39101,5,6
2.2,0,8205363,39102,5,6
2.3,0,8205364,39103,5,6
2.4,0,8205365,39104,5,6
2.5,0,8205366,39105,5,6
2.6,0,8205367,39106,5,6
2.7,0,8205368,39107,5,6
2.8,0,8205404,39108,5,0
2.9,0,8205405,39109,5,0
2.10,0,8205406,39110,5,0
2.11,0,8205407,39111,5,0
2.12,0,8205408,39112,5,0
2.13,0,8205409,39113,5,0
2.14,0,8205410,39114,5,0
2.15,0,8205411,39115,5,0
2.16,0,8205412,39116,5,0
2.17,0,8205413,39117,5,0
2.18,0,8205414,39118,5,0
2.19,0,8205415,39119,5,0
2.20,0,8205416,39120,5,0
2.21,0,8205417,39121,5,0
2.22,0,8205418,39122,5,0
2.23,0,8205419,39123,5,0
2.24,0,8205420,39124,5,0
2.25,0,8205421,39125,5,0
2.26,0,8205422,39126,5,0
2.27,0,8205423,39127,5,0
2.28,0,8205424,39128,5,0
3.0,0,8205279,38710,4,6
3.1,0,8205337,38711,4,0
3.2,0,8205312,38712,4,11
3.3,0,8205338,38713,4,0
3.4,0,8205280,38714,5,0
3.5,0,8205314,38716,6,11
3.6,0,8205313,38717,4,11
3.7,0,8205281,38718,4,6
3.8,0,8205282,38719,5,6
3.9,0,8205262,38720,4,0
3.10,0,8205312,38721,4,11
3.11,0,8205263,38722,4,0
3.12,0,8205283,38723,4,0
3.13,0,8205284,38725,4,0
3.14,0,8205285,38726,4,0
3.15,0,8205336,38727,4,0
3.16,0,8205315,38728,6,11
3.17,0,8205286,38730,4,6
3.18,0,8205287,38731,5,6
3.19,0,8205316,38732,4,11
3.20,0,8205339,38733,5,0
3.21,0,8205340,38734,5,0
3.22,0,8205317,38735,5,11
3.23,0,8205319,38740,5,11
3.24,0,8205320,38741,5,11
3.25,0,8205321,38742,5,11
3.26,0,0,0,0,0
3.27,0,8205323,38744,5,11
3.28,0,8205324,38745,5,11
3.29,0,8205325,38746,5,11
3.30,0,8205326,38747,5,11
3.31,0,8205327,38748,5,11
3.32,0,8205328,38749,5,11
3.33,0,8205329,38750,5,11
3.34,0,8205330,38751,5,11
3.35,0,8205331,38752,5,11
3.36,0,8205332,38753,5,11
3.37,0,0,0,0,0
3.38,0,8205334,38755,5,11
3.39,0,8205335,38756,5,11
4.0,73258,8205158,38501,5,0
4.1,73258,8205159,38502,5,0
4.2,73258,8205160,38503,5,0
4.3,73258,8205161,38504,5,0
4.4,73258,8205162,38505,5,0
4.5,73258,8205163,38506,5,0
4.6,73258,8205164,38507,5,0
4.7,73258,8205165,38508,5,0
4.8,0,0,38509,5,0
4.9,0,0,38510,4,0
4.10,0,0,0,0,0
4.11,73258,8205169,38512,5,0
4.12,73258,8205170,38513,5,0
4.13,73258,8205171,38514,5,0
4.14,73258,8205172,38515,5,0
4.15,73258,8205173,38516,5,0
4.16,73258,8205174,38517,5,0
4.17,73258,8205175,38518,5,0
4.18,73258,8205181,38519,5,0
5.0,73268,8205182,39201,4,0
5.1,73265,8205062,39202,5,0
5.2,0,0,39203,5,0
5.3,73266,8205099,39204,5,0
5.4,73269,8205196,39205,5,0
5.5,73269,8205202,39206,5,0
5.6,73268,8205183,39207,5,0
5.7,73266,8205101,39209,5,0
5.8,73268,8205184,39210,5,0
5.9,73265,8205064,39211,5,0
5.10,73268,8205186,39212,4,0
5.11,73265,8205065,39213,5,0
5.12,73265,8205066,39214,5,0
5.13,73268,8205187,39215,5,0
5.14,73266,8205102,39216,7,0
5.15,73268,8205189,39219,5,0
5.16,73269,8205201,39220,5,0
5.17,73268,8205185,39221,5,0
5.18,73265,0,39222,5,0
5.19,73269,8205195,39223,4,0
5.20,73269,8205197,39224,5,0
5.21,0,0,39225,1,7
5.22,0,0,39226,1,7
5.23,0,0,39227,1,7
5.24,0,0,39228,1,7
5.25,0,0,39229,1,7
5.26,73269,8205205,39230,4,0
6.0,0,0,39001,5,0
6.1,0,0,39002,6,0
6.2,0,0,39003,6,0
6.3,0,0,39004,5,0
6.4,0,0,39005,5,0
6.5,0,0,39006,7,0
6.6,0,0,39008,7,0
6.7,0,0,39009,5,0
6.8,0,0,39010,6,0
6.9,0,0,39011,6,0
6.10,0,0,39012,7,0
6.11,0,0,39013,5,0
6.12,0,0,39014,5,0
6.13,0,0,39015,5,0
6.14,0,0,39016,5,0
6.15,0,0,39017,6,0
6.16,0,0,39018,6,0
6.17,0,0,39019,5,7
6.18,0,0,39020,1,7
6.19,0,0,39021,1,7
6.20,0,0,39022,1,7
6.21,0,0,39023,1,7
6.22,0,0,39024,1,7
6.23,0,0,39026,6,0
6.24,0,0,39027,7,0
6.25,0,0,39028,5,0
6.26,0,0,39031,7,0
6.27,0,0,39032,5,0
7.0,0,0,38210,6,6
7.1,0,0,38211,6,0
7.2,0,0,38212,6,6
7.3,0,0,38213,5,0
7.4,0,0,38214,6,6
7.5,0,0,38215,4,0
7.6,0,0,38216,5,0
7.7,0,0,38217,4,0
7.8,0,0,38218,6,11
7.9,0,0,38219,6,6
7.10,0,0,38220,6,6
7.11,0,0,38221,6,6
7.12,0,0,38222,6,6
7.13,0,0,38223,4,0
7.14,0,0,38224,5,0
7.15,0,0,38225,6,11
7.16,0,0,38226,4,11
7.17,0,0,38227,5,11
7.18,0,0,38228,5,11
7.19,0,0,38229,5,11
7.20,0,0,38230,4,11
7.21,0,0,38231,4,11
7.22,0,0,38232,6,11
7.23,0,0,38234,6,0
7.24,0,0,38235,4,0
7.25,0,0,38236,4,0
7.26,0,0,38237,5,0
7.27,0,0,38238,6,0
7.28,0,0,38239,4,0
7.29,0,0,38240,5,0
7.30,0,0,38241,5,0
8.0,0,0,39301,5,0
8.1,0,0,39302,5,0
8.2,0,0,39303,5,0
8.3,0,0,39304,7,0
8.4,0,0,39305,5,0
8.5,0,0,39306,6,0
8.6,0,0,39307,5,0
8.7,0,0,39308,6,0
8.8,0,0,39309,7,0
8.9,0,0,39310,7,0
8.10,0,0,39311,7,0
8.11,0,0,39312,5,0
8.12,0,0,39313,7,0
8.13,0,0,39314,6,0
8.14,0,0,39315,5,0
8.15,0,0,39316,6,0
8.16,0,0,39317,5,0
8.17,0,0,39318,5,0
8.18,0,0,39319,7,0
8.19,0,0,39320,7,0
8.20,0,0,39321,5,0
8.21,0,0,39322,6,0
8.22,0,0,39323,7,0
8.23,0,0,39324,7,0
8.24,0,0,39325,7,0
8.25,0,0,39326,7,0
8.26,0,0,39327,7,0
8.27,0,0,39328,7,0
8.28,0,0,39329,7,0
8.29,0,0,39330,6,0
8.30,0,0,39331,7,0
8.31,0,0,39332,7,0
8.32,0,0,39333,6,0
8.33,0,0,39334,5,0
8.34,0,0,39335,6,0
9.0,0,0,39512,7,1
9.1,0,0,39513,6,1
9.2,0,0,39514,7,1
9.3,0,0,39515,7,1
9.4,0,0,39516,7,1
9.5,0,0,39517,7,1
9.6,0,0,39518,7,1
9.7,0,0,39519,7,1
9.8,0,0,39520,7,1
9.9,0,0,39521,6,1
9.10,0,0,39522,7,1
9.11,0,0,39523,7,1
9.12,0,0,39524,7,1
9.13,0,0,39525,7,1
9.14,0,0,39526,6,1
9.15,0,0,39527,7,1
9.16,0,0,39528,6,1
9.17,0,0,39529,7,1
9.18,0,0,39530,7,1
9.19,0,0,39531,7,1
9.20,0,0,39532,7,1
9.21,0,0,39533,7,1
10.0,0,0,38106,4,1
10.1,0,0,38107,6,1
10.2,0,0,38108,4,1
10.3,0,0,38109,6,1
10.4,0,8205150,38111,6,1
10.5,0,8205151,38112,6,1
10.6,0,8205152,38113,6,1
10.7,0,8205153,38114,6,1
10.8,0,8205154,38115,6,1
10.9,0,8205155,38116,6,1
10.10,0,8205156,38117,6,1
10.11,0,8205157,38118,6,1
10.12,0,0,38119,6,1
11.0,73270,8205264,39712,5,0
11.1,73270,0,39713,5,0
11.2,73270,0,39714,5,0
11.3,73265,8205067,39715,5,0
11.4,0,0,0,0,0
11.5,73011,8205002,39717,5,0
11.6,73270,0,39718,5,0
11.7,73270,0,39719,5,0
11.8,73011,8205003,39720,5,0
11.9,73265,8205069,39721,5,0
11.10,73270,8205269,39722,5,0
11.11,73270,0,39723,5,0
11.12,0,0,0,0,0
11.13,73271,8205245,39725,5,0
11.14,73265,8205070,39726,5,0
11.15,73271,8205246,39727,5,0
11.16,73011,8205004,39728,5,0
11.17,73271,8205247,39729,5,0
11.18,73270,8205272,39730,5,0
11.19,73271,8205248,39731,5,0
11.20,73265,8205071,39732,5,0
11.21,73270,8205273,39733,5,0
11.22,73265,8205072,39734,5,0
