#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,偏屬性乙太,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,乙太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,大地之契約,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,撿到的錢,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,魅惑擁抱,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,哈修馬利姆的魔力,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,巴哈姆特的乙太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,虛無,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,芙朵拉的乙太,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,馬提烏斯的乙太,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,乙太加速度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,玄武的靈氣,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,心緣之力,,60,90,0,0,2,3,1,1,1,False
16,墜地,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,怨念,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,齊天大聖的妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,究極武器的乙太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,鬼龍雅茲瑪特的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,魔人貝利亞斯的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,神器的妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,朱紅旋律,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,幻龍米德加爾特的乙太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,隕石墜落,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,黑水晶的魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,雷力集中度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,聖劍技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,青龍的神通力,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,魔法障壁耐久度,,30,50,0,0,2,3,1,1,1,False
31,乙太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,全劍技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,緹坦妮雅的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,無瑕靈君的威嚴,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
35,古代人的祈禱,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
