#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,挑戰隨機任務,使用隨機任務成功挑戰迷宮3次。,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,挑戰迷宮次數,成功挑戰迷宮5次。,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,挑戰行會令次數1,成功挑戰行會令3次。,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,挑戰行會令次數2,成功挑戰行會令10次。,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,寶物庫寶箱開箱次數1,成功打開5次寶物庫的寶箱。,0,61808,5,0,2000,0,0,231,6,3,0,3
6,庫洛的奇談書印花數,完成天書奇談中指定的任務，貼上3個印花。,0,61825,3,0,2000,0,60,0,1,8,0,3
7,水晶衝突參戰次數,參加10次水晶衝突的戰鬥。,0,61806,10,0,1000,0,0,130,2,1,0,9
8,水晶衝突獲勝次數,在水晶衝突獲勝3次。,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,理符任務類型稱霸,完成5種不同類型的理符任務。,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,挑戰理符任務次數,完成20次理符任務。,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,軍需品補給品籌備次數2,交付10次籌備中的軍需品及補給品。,0,61812,10,0,1000,0,0,89,8,2,0,6
14,軍需品補給品籌備次數1,交付5次籌備中的軍需品及補給品。,0,61812,5,0,1000,0,0,89,8,1,0,6
15,尋寶地圖採集次數,成功採集陳舊的地圖3次。,0,61808,3,0,1000,0,0,149,6,1,0,3
16,寶箱挖掘次數,成功打開寶箱獲得寶物5次。,0,61808,5,0,2000,0,0,149,6,2,0,3
17,搭檔討伐數1,與搭檔一起討伐20隻等級接近的敵人。,0,61813,20,5,1000,0,0,96,1,6,7,3
18,搭檔討伐數2,與搭檔一起討伐100隻等級接近的敵人。,0,61813,100,10,2000,0,0,96,1,7,7,3
19,友好部族任務完成次數1,成功完成5次友好部族日常任務。,0,61814,5,0,1000,0,0,152,7,1,0,3
20,友好部族任務完成次數2,成功完成15次友好部族日常任務。,0,61814,15,0,2000,0,0,152,7,2,0,3
21,挑戰筆記完成數1,完成5種挑戰筆記中的項目。,0,61810,5,0,10000,0,0,0,12,1,0,3
22,挑戰筆記完成數2,完成10種挑戰筆記中的項目。,0,61810,10,0,10000,0,0,0,12,2,0,3
23,挑戰筆記完成數3,完成15種挑戰筆記中的項目。,0,61810,15,0,10000,0,20,0,12,3,0,3
24,挑戰筆記完成數4,完成20種挑戰筆記中的項目。,0,61810,20,0,10000,0,30,0,12,4,0,3
25,最優隊員,給出5次最優隊員推薦。,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,採集活動,使用採掘師或園藝師採集100個等級接近的道具。,0,61815,100,5,1000,0,0,0,5,4,5,3
27,採集活動額外獎勵,使用採掘師或園藝師採集等級接近的道具時觸發30次額外採集獎勵。,0,61815,30,5,2000,0,0,0,5,5,5,3
28,釣魚,使用漁師成功釣魚30次。,0,61815,30,5,1000,0,0,0,5,6,5,3
29,大尺寸釣魚,使用漁師成功釣到大尺寸的魚10次。,0,61815,10,5,2000,0,0,0,5,7,5,3
30,製作活動,成功製作30個道具。,0,61816,30,10,1000,0,0,0,5,1,5,3
31,優質製作活動,成功製作20個優質道具。,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,僱員探險成功次數,讓僱員外出探險成功10次。,0,61818,10,0,1000,0,0,168,9,1,0,3
34,僱員探索委託次數,讓僱員成功完成探索委託15次。,0,61818,15,0,4000,0,0,169,9,2,0,3
35,紛爭前線參戰次數,參加7次紛爭前線的戰鬥。,0,61806,7,0,1000,0,0,176,2,3,0,9
36,紛爭前線勝利次數,在紛爭前線的戰鬥中獲勝3次。,0,61806,3,0,1000,0,0,176,2,4,0,9
37,小遊戲完成次數,完成3次小遊戲。,0,61820,3,0,1000,0,0,201,10,1,0,8
38,小遊戲獲得金碟幣,在小遊戲中獲得100金碟幣。,0,61820,100,0,1500,0,0,201,10,2,0,8
39,G.A.T.E.事件參加次數,參加5次G.A.T.E.事件。,0,61820,5,0,5000,0,0,201,10,3,0,8
40,G.A.T.E.事件完成次數,完成3次G.A.T.E.事件。,0,61820,3,0,8000,0,0,201,10,4,0,8
41,陸行鳥競賽參賽次數1,參賽3次陸行鳥競賽。,0,61820,3,0,5000,0,0,196,10,5,0,8
42,陸行鳥競賽參賽次數2,參賽20次陸行鳥競賽。,0,61820,20,0,8000,0,0,196,10,6,0,8
43,陸行鳥競賽奪冠次數1,在陸行鳥競賽中奪冠1次。,0,61820,1,0,5000,0,0,196,10,7,0,8
44,陸行鳥競賽奪冠次數2,在陸行鳥競賽中奪冠10次。,0,61820,10,0,8000,0,0,196,10,8,0,8
45,九宮幻卡對局次數,進行10次九宮幻卡對局。,0,61820,10,0,5000,0,0,199,10,9,0,8
46,九宮幻卡勝利次數,在九宮幻卡對局中取勝10次。,0,61820,10,0,8000,0,0,199,10,10,0,8
47,萌寵之王對戰次數2,進行3次萌寵之王對戰。,0,61820,3,0,10000,0,0,224,10,15,0,8
48,挑戰筆記完成數5,完成30種挑戰筆記中的項目。,0,61810,30,0,15000,0,30,0,12,5,0,3
49,幻卡對局室對局次數,進入幻卡對局室進行5次九宮幻卡對局。,0,61820,5,0,2500,0,0,200,10,11,0,8
