#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,製作,"消耗耐久以推動作業進展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,加工,"消耗耐久以提高製品品質
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,精修,恢復30點耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,中級加工,"消耗耐久以提高製品品質
效率：125
成功率：100%
**連擊條件：**加工　**連擊中消耗CP：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,精修II,恢復60點耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,1956,0,0,1,0,-1,False
100006,風之印記,"消耗耐久以推動作業進展
處理風屬性配方時效率變為2倍
效率：100（200）
成功率：90%",0,100006,0,0,0,0,0,0,0,239,246,1509,0,0,1,0,-1,False
100007,中級製作,"消耗耐久以推動作業進展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,1515,0,0,1,0,-1,False
100008,上級加工,"消耗耐久以提高製品品質
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,1517,0,0,1,0,-1,False
100009,比爾格的祝福,"消耗耐久以提高製品品質
隨內靜的效果提高效率，內靜每生效過一次效率提升20
使用之後會結束內靜效果
效率：100（100～）
成功率：90%",0,100009,0,0,0,0,0,0,0,240,247,1521,0,0,1,0,-1,False
100010,觀察,放空一次作業，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100015,製作,"消耗耐久以推動作業進展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1551,0,10,1,0,9,False
