#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,阿爾菲諾,學士,8202013,Academician
2,阿莉塞,赤魔道士,8202034,Red Mage
3,桑克瑞德,絕槍戰士,8202055,Gunbreaker
4,敏菲利亞,光之巫女,8202073,Oracle of Light
5,尤里安傑,占星術師,8202092,Astrologian
6,雅·修朵拉,魔女,8202109,Sorceress
7,琳,光之巫女,8202073,Oracle of Light
8,萊楠,衛兵團長,8202143,Guard Captain
9,水晶公,全才,8202130,All-Rounder
10,古·拉哈·提亞,全才,8202346,All-Rounder
11,阿爾菲諾,賢者,8203013,Sage
12,艾斯蒂尼安,龍騎士,8203064,Dragoon
13,尤里安傑,秘石術士,8202092,Lithomancer
14,維涅斯,全才,8203122,All-Rounder
15,愛梅特賽爾克,第三席,8203219,The Third Seat
16,希斯拉德,望魂者,8203239,Soulseer
17,氣盛的斧術士,斧術士,0,Marauder
18,氣盛的槍術士,槍術士,0,Lancer
19,氣盛的咒術士,咒術士,0,Thaumaturge
20,氣盛的幻術士,幻術士,0,Conjurer
21,拂曉的斧術士,斧術士,0,Marauder
22,拂曉的槍術士,槍術士,0,Lancer
23,拂曉的咒術士,咒術士,0,Thaumaturge
24,拂曉的幻術士,幻術士,0,Conjurer
25,黑渦團斧術士,斧術士,0,Marauder
26,雙蛇黨槍術士,槍術士,0,Lancer
27,不滅隊咒術士,咒術士,0,Thaumaturge
28,雙蛇黨幻術士,幻術士,0,Conjurer
29,瓦爾桑,總督,8203440,Satrap
30,伊塞勒,冰之巫女,0,Oracle of Frost
31,神殿騎士團正騎士,神殿騎士,0,Temple Knight
32,神殿騎士團槍騎兵,槍騎兵,0,Temple Banneret
33,神殿騎士團醫師,醫師,0,Temple Chirurgeon
34,奧爾什方,正騎士,0,Chivalric Knight
35,佩羅·羅格,智蛙,0,Poroggo
36,艾默里克,總騎士長,0,Lord Commander
37,福爾唐家的騎士,騎士,0,Knight
38,福爾唐家的槍騎兵,槍騎兵,0,Banneret
39,福爾唐家的射手,射手,0,Archer
40,桑克瑞德,賢人,0,Archon
41,零,憶晶師,8203467,Memoriate
42,雅·修朵拉,賢人,0,Archon
43,卡爾瓦蘭,斧術士,0,Marauder
44,莉瑟,格鬥士,0,Pugilist
45,豪雪,武士,0,Samurai
46,飛燕,武士,0,Samurai
47,模兒族的年輕人,薩滿,0,Shaman
48,夕霧,忍者,0,Ninja
49,多瑪勇士,武士,0,Samurai
50,多瑪巫師,巫師,0,Fushi
51,解放軍戰士,劍術士,0,Gladiator
52,解放軍尖槍兵,尖槍兵,0,Pikedancer
53,阿雷恩瓦爾德,劍術士,0,Gladiator
54,莉瑟,格鬥士,0,Pugilist
55,勞班,劍鬥士,0,Champion Gladiator
56,嘉·莫爾巴,槍術士,0,Lancer
57,烏克·拉瑪特,勇士,8205048,Intrepid
58,佐拉加,毒蛇劍士,8205115,Viper
59,柯納,革新者,8205098,Innovator
60,可露兒,繪靈法師,8205029,Pictomancer
