#,Name,Description,Icon
0,,,0
1,魔法效果：失明,我方全員命中率降低,216801
2,魔法效果：最大HP減少,我方全員最大HP降低,216802
3,魔法效果：傷害降低,我方全員造成的傷害降低,216803
4,魔法效果：能力封印,我方全員無法發動能力類技能,216804
5,魔法效果：加速,我方全員自動攻擊間隔縮短，同時戰技與魔法的詠唱及冷卻時間也會縮短,216805
6,魔法效果：最大HP與MP提升,我方全員最大HP與MP上升,216806
7,魔法效果：禁止使用道具,我方全員無法使用道具與某些特殊道具,216807
8,魔法效果：禁止衝刺,我方全員無法發動衝刺,216808
9,魔法效果：禁止擊退,敵我雙方擊退與吸引效果無效,216809
10,魔法效果：HP自然恢復無效,我方全員HP無法自然恢復,216810
11,魔法效果：妖霧彌漫,被妖霧籠罩，所有敵人的移動速度與攻擊造成的傷害上升，受到的傷害減輕,216811
12,魔法效果：衝刺,我方全員的移動速度上升,216812
13,魔法效果：禁止使用魔石,我方全員無法使用魔石,216813
14,魔法效果：禁止使用亞靈複製體,我方全員無法使用亞靈複製體,216814
15,魔法効果：ジュニパーの香禁止,味方全員がジュニパーの香使用不可。,216815
