#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,多瑪方城戰解說,多瑪方城戰解說,,68737,2,0,True
3604483,烈羽爭鋒,烈羽爭鋒解說,,0,3,0,True
3604484,關於房屋,房屋解說,,0,4,0,True
3604485,昔日重現模式,昔日重現模式解說,,0,2,0,True
3604486,紛爭前線,紛爭前線解說,,0,7,0,True
3604487,出海垂釣,出海垂釣解說,,0,8,0,True
3604488,幻巧拼圖,幻巧拼圖解說,,0,9,0,True
3604489,南方博茲雅戰線,南方博茲雅戰線解說,,0,10,0,True
3604490,義軍等級,義軍等級解說,,0,11,0,True
3604491,失傳技能,失傳技能解說,,0,13,0,True
3604492,博茲雅晶簇,博茲雅晶簇解說,,0,12,0,True
3604493,九宮幻卡錦標賽解說,九宮幻卡錦標賽解說,,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,義軍勳章,義軍勳章解說,,0,17,0,True
3604497,扎杜諾爾高原戰線,扎杜諾爾高原解說,,0,18,0,True
3604498,PvP,PvP,,0,19,0,True
3604499,水晶衝突,水晶衝突解說,,0,20,0,True
3604500,深層迷宮,深層迷宮解說,,0,25,2,True
3604501,深層迷宮,深層迷宮解說,,0,26,2,True
3604502,深層迷宮,深層迷宮解說,,0,27,2,True
3604503,聽取解說,金碟巨豆中心解說,,0,31,0,True
3604504,初學者學堂,戰鬥解說,,0,33,0,True
3604505,,,,0,0,0,False
3604506,宇宙探索,宇宙探索解說,,0,36,0,True
3604507,,,,0,0,0,False
