#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,實行,61103,80,81,82,2
2,實行,61103,80,81,82,2
3,實行,61103,80,81,82,5
4,實行,61103,80,81,82,10
5,實行,61103,80,81,82,15
6,實行,61103,80,81,82,2
7,實行,61103,80,81,82,5
8,實行,61103,80,81,82,10
9,實行,61103,80,81,82,15
10,等待,61104,175,176,177,2
11,等待,61104,175,176,177,2
12,等待,61104,175,176,177,5
13,等待,61104,175,176,177,10
14,實行,61103,80,81,82,2
15,實行,61103,80,81,82,2
16,實行,61103,80,81,82,5
17,實行,61103,80,81,82,10
18,實行,61103,80,81,82,2
19,共鳴,61105,169,170,171,5
20,實行,61103,80,81,82,1
21,實行,61103,80,81,82,2
22,實行,61103,80,81,82,5
23,實行,61103,172,173,174,1
24,實行,61103,172,173,174,2
25,實行,61103,172,173,174,5
26,救助,61103,184,185,186,2
27,警笛,61104,178,179,180,2
28,監視,61104,175,176,177,10
29,記錄,61103,172,173,174,1
30,口哨,61103,178,179,180,2
31,實行,61103,181,182,183,2
32,實行,61103,181,182,183,5
33,實行,61103,181,182,183,10
34,救助,61103,184,185,186,2
35,救助,61103,184,185,186,5
36,救助,61103,184,185,186,10
37,實行,61103,178,179,180,2
38,救助,61103,172,173,174,2
39,救助,61103,172,173,174,5
40,救助,61103,172,173,174,10
41,實行,61104,175,176,177,10
42,鬆綁,61103,181,182,183,10
43,實行,61103,172,173,174,10
44,實行,61103,184,185,186,10
45,實行,61103,172,173,174,2
46,實行,61103,172,173,174,5
47,實行,61103,172,173,174,10
48,搗蛋,61103,181,182,183,5
49,關閉閥門,61103,181,182,183,5
50,張望,61104,175,176,177,5
51,打開閥門,61103,181,182,183,5
52,實行,61103,80,81,82,1
53,實行,61103,181,182,183,2
54,實行,61103,181,182,183,5
55,實行,61103,181,182,183,10
56,監視,61104,175,176,177,5
57,佔領,61103,172,173,174,2
58,佔領,61103,172,173,174,5
59,佔領,61103,172,173,174,10
60,共鳴,61103,172,173,174,5
61,實行,61103,0,0,0,2
62,實行,61103,80,81,82,8
63,實行,61103,0,0,0,5
64,實行,61103,0,0,0,0
65,取得青磷水,61103,80,81,82,3
66,佔領,61103,172,173,174,5
67,搭乘,61103,172,173,174,2
68,張望,61103,175,176,177,2
69,實行,61103,172,173,174,1
70,剝取,61103,181,182,183,5
71,召喚,61103,172,173,174,2
72,照看,61103,184,185,186,5
73,治療魔法,61173,0,5704,5705,5
74,拾取,61103,80,81,82,3
75,物資回收,61103,80,81,82,4
76,物資加工,61103,0,7347,151,7
77,物資組裝,61103,0,7346,151,10
78,物資投入,61103,172,173,174,10
79,契約,61103,80,81,82,6
80,丟棄,61103,0,4189,150,3
81,粉碎,61103,0,7364,151,10
82,投入,61103,0,7365,151,7
83,清掃,61103,0,7366,151,10
84,物資回收,61103,184,185,186,4
85,修復,61103,0,7399,151,10
86,觸碰石像,61103,172,173,174,2
87,施工,61103,0,7394,151,10
88,物資投入,61103,181,182,183,7
89,物資回收,61103,80,81,82,10
90,縫製,61103,0,7421,150,10
91,搬運,61103,80,81,82,3
92,裝入,61103,0,4189,150,2
93,確認,61103,80,81,82,5
94,騎乘,61103,172,173,174,2
95,交出,61103,0,4189,150,3
96,設置炸藥,61103,181,182,183,5
97,享用,61103,0,8436,0,9
98,享用,61103,0,8436,0,3
99,注入燃料,61103,0,208,150,3
100,傾聽,61103,0,155,0,5
101,安撫,61103,172,173,174,5
102,分享乙太,61103,172,173,174,5
103,口哨,61103,178,179,180,3
104,救助,61103,181,182,183,5
105,實行,61103,181,182,183,3
106,照看,61103,172,173,174,5
107,輸入乙太,61103,169,170,171,5
108,,0,0,0,0,0
109,,0,0,0,0,0
110,,0,0,0,0,0
111,,0,0,0,0,0
112,,0,0,0,0,0
113,,0,0,0,0,0
114,,0,0,0,0,0
115,,0,0,0,0,0
116,,0,0,0,0,0
117,,0,0,0,0,0
118,,0,0,0,0,0
119,,0,0,0,0,0
120,,0,0,0,0,0
121,,0,0,0,0,0
122,,0,0,0,0,0
