#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,標準,,0,1,3,0
1,雜音,vfx_nc_nise0013,1,30,1,1
2,徑向模糊,vfx_nc_blur0005,1,3,1,1
3,集中線,gpose_syuchusen,2,4,1,1
4,油畫布,gpose_canvas,2,10,1,1
5,壁畫,gpose_kabe,2,11,1,1
6,,,0,0,0,0
7,圓點花紋1,gpose_mizutama_hanten,2,15,1,1
8,雲霧,gpose_niji_naname,2,25,1,1
9,水彩,gpose_suisaifude,2,20,1,1
10,復古,gpose_filmnoise,2,31,1,1
11,光彩,gpose_iroiro,2,26,1,1
12,相片,gpose_frame_photo_kb,2,51,2,1
13,不規則,gpose_frame_wasi,2,60,2,1
14,畫筆2,gpose_efude_sen2,2,22,1,1
15,櫻花,gpose_sakura,2,41,1,1
16,,,0,0,0,0
17,,,0,0,0,0
18,浮世繪,gpose_frame_ukiyoewaku,2,55,2,1
19,光粒,gpose_kirakira01,2,40,1,1
20,,,0,0,0,0
21,磨砂玻璃,gpose_suriglass,2,12,1,1
22,拍立得,gpose_frame_photo_pola_tate,2,52,2,1
23,,,0,0,0,0
24,,,0,0,0,0
25,畫筆1,gpose_efude_sen,2,21,1,1
26,,,0,0,0,0
27,,,0,0,0,0
28,圓點花紋2,gpose_mizutama_hanten_enbos,2,16,1,1
29,壁式畫框,gpose_frame_hagaki_3mai,2,58,2,1
30,上下裝飾1,gpose_frame_kousi_yoko,2,56,2,1
31,上下裝飾2,gpose_frame_doma_yoko,2,57,2,1
32,電影,gpose_frame_cinema,2,53,2,1
33,圖畫紙1,gpose_gayousi,2,13,1,1
34,畫筆3,gpose_akatsuki,2,23,1,1
35,,,0,0,0,0
36,,,0,0,0,0
37,,,0,0,0,0
38,,,0,0,0,0
39,,,0,0,0,0
40,,,0,0,0,0
41,,,0,0,0,0
42,圖畫紙2,gpose_gayousi_sima,2,14,1,1
43,,,0,0,0,0
44,,,0,0,0,0
45,,,0,0,0,0
46,,,0,0,0,0
47,,,0,0,0,0
48,,,0,0,0,0
49,,,0,0,0,0
50,,,0,0,0,0
51,,,0,0,0,0
52,,,0,0,0,0
53,,,0,0,0,0
54,,,0,0,0,0
55,,,0,0,0,0
56,,,0,0,0,0
57,,,0,0,0,0
58,,,0,0,0,0
59,,,0,0,0,0
60,,,0,0,0,0
61,,,0,0,0,0
62,,,0,0,0,0
63,,,0,0,0,0
64,,,0,0,0,0
65,,,0,0,0,0
