#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,組建成了新公會！,0,0,0,1,0
2,公會等級提升為UNKNOWN級！,0,0,1,1,0
3,與「」的友好關係提升為「」！,1,0,1,1,5
4,與「」的友好關係提升為「」！,1,0,1,1,6
5,與「」的友好關係提升為「」！,1,0,1,1,7
6,獲得了「」的權利！,0,0,1,1,0
7,加入了公會。,4,0,0,2,1
8,加入了公會。,4,0,0,2,1
9,退出了公會。,4,0,0,2,2
10,退出了公會。,4,0,0,2,2
11,就任為。,4,5,0,2,3
12,就任為。,4,5,0,2,3
13,就任為。,4,5,0,2,3
14,公會轉到了「」屬下。,0,1,0,1,5
15,公會轉到了「」屬下。,0,1,0,1,6
16,公會轉到了「」屬下。,0,1,0,1,7
17,修改了「」階級的設定。,4,5,0,3,3
18,添加了「」階級。,4,5,0,3,3
19,刪除了「」階級。,4,5,0,3,3
20,修改了階級的排序。,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24,更新了公會公告。,4,0,0,3,4
25,更新了公會資訊。,4,0,0,3,4
26,更新了公會徽章。,4,0,0,3,8
27,獲得了「」的特效。,4,0,1,4,9
28,使用了「」的特效。,4,0,1,4,9
29,該動態已被刪除,0,0,0,0,4
30,將階級名稱更改為「」。,4,5,0,3,3
31,取消了「」的特效。,4,0,1,4,9
32,放棄了「」的特效。,4,0,1,4,9
33,公會的簡稱已被修改為「」。,0,3,0,3,4
34,公會名已被修改為「」。,0,2,0,3,4
35,將第UNKNOWN區UNKNOWN號住房名稱改成了「」。,4,9,0,5,11
36,修改了「」的問候語。,4,8,0,5,11
37,購買了第UNKNOWN區UNKNOWN號土地。,4,7,0,5,11
38,廢棄了第UNKNOWN區UNKNOWN號土地。,4,7,0,5,11
39, 第UNKNOWN區UNKNOWN號土地被廢棄了。,0,7,0,5,11
40,在第UNKNOWN區UNKNOWN號土地上搭建起了「」。,4,7,1,5,11
41,拆除了「」。,4,8,0,5,11
42,更換了「」的外部裝潢。,4,8,0,5,11
43,更換了「」的內部裝潢。,4,8,0,5,11
44,更換了「」的傢俱配置。,4,8,0,5,11
45,更換了「」的庭具配置。,4,8,0,5,11
46,刪除了寫在「」的訪客留言薄上的留言。,4,8,0,5,11
47,收到了發來的加入申請。,4,0,0,2,12
48,撤銷了發來的加入申請。,4,0,0,2,12
49,的角色已被刪除。,4,0,0,2,12
50,拒絕了發來的加入申請。,4,0,0,2,12
51,申請數量已經到達上限。,0,0,0,2,12
52,在「」裡種下了。,4,10,1,6,13
53,對「」裡的作物施加了。,4,10,1,6,13
54,對「」裡的作物澆了些水。,4,10,0,6,13
55,從「」裡的作物中收穫了UNKNOWN個。,4,11,1,6,13
56,並且由於雜交成功，還收穫了UNKNOWN個。,0,11,1,6,13
57,由於不在，「」已被轉讓。,4,5,0,2,3
58,將「」的作物處理掉了。,4,10,0,6,13
59,增設了個人用UNKNOWN號房間。,4,0,1,5,11
60,撤除了個人用UNKNOWN號房間。,4,0,1,5,11
61,照顧了鳥欄中的陸行鳥。,4,0,0,7,11
62,對進行了訓練。,4,12,0,7,11
63,將「」設置到了UNKNOWN號轉軸上。,16,14,1,5,11
64,將UNKNOWN號轉軸上的「」撤了下來。,16,14,1,5,11
65,從UNKNOWN號轉軸上獲取了「」。,16,14,1,5,11
66,轉換了「」，將「」儲備了下來。,16,14,1,4,9
67,增建了公會工坊。,16,0,0,8,15
68,拆除了公會工坊。,16,0,0,8,15
69,使用公會合建設備啟動了「」的製作工程。,16,14,0,8,15
70,推進「」工程所必須的素材已經全部準備就緒。,0,14,0,8,15
71,「」的工程有所進展。,0,14,1,8,15
72,工程有所進展，製作完成。,0,14,1,8,15
73,從公會合建設備中回收了「」。,16,14,0,8,15
74,中斷了公會合建設備中的製作工程。,16,0,0,8,15
75,繪製出了「」。,16,0,1,8,15
76,將第UNKNOWN架飛空艇登記為「」。,16,15,1,9,14
77,將第UNKNOWN架飛空艇的名字更改為「」。,16,15,1,9,14
78,拆解了登記為「」的第UNKNOWN架飛空艇。,16,15,1,9,14
79,派出了飛空艇「」去進行探索。,16,15,0,9,14
80,中止了飛空艇「」的探索。,16,15,0,9,14
81,接受了「」探索完成的報告。,16,15,0,9,14
82,飛空艇「」升為UNKNOWN級。,16,15,1,9,14
83,通過飛空艇「」的探索，工坊可以登記第UNKNOWN架飛空艇了。,16,15,1,9,14
84,消耗0點公會戰績換取了UNKNOWN個「」。,16,22,1,1,0
85,提供了必需素材「」，貢獻了60%以上的該素材以製作「」。,16,22,1,8,15
86,發現了「雲冠群島夜晚探索」的航線！,16,0,0,9,14
