#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,礦物傳承錄·庫爾札斯篇,0,12238,2000,1,16,0
2001,礦物傳承錄·庫爾札斯篇,0,12238,2000,1,16,0
2002,草木傳承錄·庫爾札斯篇,0,12698,2000,2,17,0
2003,草木傳承錄·庫爾札斯篇,0,12698,2000,2,17,0
2004,礦物傳承錄·德拉瓦尼亞篇,1,12239,2001,1,16,0
2005,礦物傳承錄·德拉瓦尼亞篇,1,12239,2001,1,16,0
2006,草木傳承錄·德拉瓦尼亞篇,1,12699,2001,2,17,0
2007,草木傳承錄·德拉瓦尼亞篇,1,12699,2001,2,17,0
2008,礦物傳承錄·阿巴拉提亞篇,2,12240,2002,1,16,0
2009,礦物傳承錄·阿巴拉提亞篇,2,12240,2002,1,16,0
2010,草木傳承錄·阿巴拉提亞篇,2,12700,2002,2,17,0
2011,草木傳承錄·阿巴拉提亞篇,2,12700,2002,2,17,0
2012,礦物傳承錄·基拉巴尼亞篇,3,17838,2003,1,16,0
2013,礦物傳承錄·基拉巴尼亞篇,3,17838,2003,1,16,0
2014,草木傳承錄·基拉巴尼亞篇,3,17840,2003,2,17,0
2015,草木傳承錄·基拉巴尼亞篇,3,17840,2003,2,17,0
2016,礦物傳承錄·奧薩德篇,4,17839,2004,1,16,0
2017,礦物傳承錄·奧薩德篇,4,17839,2004,1,16,0
2018,草木傳承錄·奧薩德篇,4,17841,2004,2,17,0
2019,草木傳承錄·奧薩德篇,4,17841,2004,2,17,0
2020,礦物傳承錄·諾弗蘭特篇,5,26808,2005,1,16,0
2021,礦物傳承錄·諾弗蘭特篇,5,26808,2005,1,16,0
2022,草木傳承錄·諾弗蘭特篇,5,26809,2005,2,17,0
2023,草木傳承錄·諾弗蘭特篇,5,26809,2005,2,17,0
2024,礦物傳承錄·北洋地域&伊爾薩巴德篇,6,36598,2010,1,16,0
2025,礦物傳承錄·北洋地域&伊爾薩巴德篇,6,36598,2010,1,16,0
2026,草木傳承錄·北洋地域&伊爾薩巴德篇,6,36602,2010,2,17,0
2027,草木傳承錄·北洋地域&伊爾薩巴德篇,6,36602,2010,2,17,0
2028,礦物傳承錄·星外天域篇,7,36600,2011,1,16,0
2029,礦物傳承錄·星外天域篇,7,36600,2011,1,16,0
2030,草木傳承錄·星外天域篇,7,36604,2011,2,17,0
2031,草木傳承錄·星外天域篇,7,36604,2011,2,17,0
2032,礦物傳承錄·古代世界篇,8,36601,2012,1,16,0
2033,礦物傳承錄·古代世界篇,8,36601,2012,1,16,0
2034,草木傳承錄·古代世界篇,8,36605,2012,2,17,0
2035,草木傳承錄·古代世界篇,8,36605,2012,2,17,0
2036,礦物傳承錄·尤卡圖拉爾篇,9,43878,2015,1,16,0
2037,礦物傳承錄·尤卡圖拉爾篇,9,43878,2015,1,16,0
2038,草木傳承錄·尤卡圖拉爾篇,9,43881,2015,2,17,0
2039,草木傳承錄·尤卡圖拉爾篇,9,43881,2015,2,17,0
2040,礦物傳承錄·薩卡圖拉爾篇（夏勞尼荒野）,10,43879,2016,1,16,0
2041,礦物傳承錄·薩卡圖拉爾篇（夏勞尼荒野）,10,43879,2016,1,16,0
2042,草木傳承錄·薩卡圖拉爾篇（夏勞尼荒野）,10,43882,2016,2,17,0
2043,草木傳承錄·薩卡圖拉爾篇（夏勞尼荒野）,10,43882,2016,2,17,0
2044,礦物傳承錄·亞歷山德里亞篇,11,43880,2017,1,16,0
2045,礦物傳承錄·亞歷山德里亞篇,11,43880,2017,1,16,0
2046,草木傳承錄·亞歷山德里亞篇,11,43883,2017,2,17,0
2047,草木傳承錄·亞歷山德里亞篇,11,43883,2017,2,17,0
2200,重建伊修加爾德·礦物資源,74,0,2006,1,16,2
2201,重建伊修加爾德·礦物資源,74,0,2006,1,16,2
2202,重建伊修加爾德·草木資源,74,0,2006,2,17,2
2203,重建伊修加爾德·草木資源,74,0,2006,2,17,2
2204,重建伊修加爾德·礦物資源,74,0,2006,1,16,3
2205,重建伊修加爾德·礦物資源,74,0,2006,1,16,3
2206,重建伊修加爾德·草木資源,74,0,2006,2,17,3
2207,重建伊修加爾德·草木資源,74,0,2006,2,17,3
2208,天鋼工具·礦物資源1,69384,0,2007,1,16,0
2209,天鋼工具·礦物資源1,69384,0,2007,1,16,0
2210,天鋼工具·草木資源1,69384,0,2007,2,17,0
2211,天鋼工具·草木資源1,69384,0,2007,2,17,0
2212,重建伊修加爾德·礦物資源,74,0,2006,1,16,4
2213,重建伊修加爾德·礦物資源,74,0,2006,1,16,4
