#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,體能＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
2,心智＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
3,戰術＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
4,全員體能＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
5,全員心智＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
6,全員戰術＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
7,獲得經驗值＋UNKNOWN%,10,10,20,20,30,100,100,100,100,100
8,全員獲得經驗值＋UNKNOWN%,5,5,10,10,15,100,100,100,100,100
9,全員吉兆獲得率＋UNKNOWN%,10,20,30,40,50,100,100,100,100,100
10,有UNKNOWN%機率獲得“戰鬥技巧教材：守勢”,0,0,0,0,0,10,20,30,40,50
11,有UNKNOWN%機率獲得“戰鬥技巧教材：魔法”,0,0,0,0,0,10,20,30,40,50
12,有UNKNOWN%機率獲得“戰鬥技巧教材：攻勢”,0,0,0,0,0,10,20,30,40,50
13,有UNKNOWN%機率獲得Gil,0,0,0,0,0,10,20,30,40,50
14,有UNKNOWN%機率獲得軍票,0,0,0,0,0,10,20,30,40,50
15,有UNKNOWN%機率獲得金碟幣,0,0,0,0,0,10,20,30,40,50
16,有UNKNOWN%機率獲得防護職業用魔晶石,0,0,0,0,0,10,20,30,40,50
17,有UNKNOWN%機率獲得物理進攻職業用魔晶石,0,0,0,0,0,10,20,30,40,50
18,有UNKNOWN%機率獲得魔法導師用魔晶石,0,0,0,0,0,10,20,30,40,50
19,有UNKNOWN%機率獲得大地使者用魔晶石,0,0,0,0,0,10,20,30,40,50
20,有UNKNOWN%機率獲得能工巧匠用魔晶石,0,0,0,0,0,10,20,30,40,50
21,有UNKNOWN%機率獲得晶簇,0,0,0,0,0,10,20,30,40,50
22,有UNKNOWN%機率獲得大地工票,0,0,0,0,0,10,20,30,40,50
23,有UNKNOWN%機率獲得巧手工票,0,0,0,0,0,10,20,30,40,50
