#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,自動攻擊,以一定時間為間隔自動進行普通攻擊。,101,0,0,1,0,7,False,False
2,跳躍,跳躍可以躍過較小的高低差。,102,0,0,1,0,11,False,False
3,極限爆發,"消耗極限量譜可以施放強力的極限爆發。
每種職能的極限爆發都有所不同。
**防護職業：**減輕全體隊員受到的傷害。
（範圍：50米）
**近戰職業：**發動單體高傷害攻擊。
**遠程職業：**對前方直線範圍發動高傷害攻擊。
（範圍：30米）
**魔法職業：**對指定地點發動範圍高傷害攻擊。
（範圍：8米/10米/15米）
**治療職業：**恢復全體隊員的HP，3階極限爆發附帶復活效果。
以此復活時，身上本沒有衰弱狀態的隊員不會被附加衰弱狀態，
身上已有衰弱狀態的隊員其衰弱的持續時間會重置回最大值。
（範圍：50米）",103,0,0,1,0,4,False,False
4,衝刺,"提高自身的移動速度。
**戰鬥中的持續時間：**10秒
**非戰鬥中的持續時間：**20秒
※PvP任務內無法使用。",104,3,0,1,56,1,False,False
5,分解,將道具分解成能夠再次使用的素材。,120,0,95,2,0,51,False,True
6,修理,"修復裝備的耐久度。
需要用對應裝備等級的黑暗物質來當作觸媒。",106,0,0,2,0,31,False,True
7,傳送,消耗Gil在共鳴過的乙太之光之間迅速移動。,111,5,4,1,0,2,False,True
8,返回,傳送到上一次所記錄的返回點。,112,6,1,1,57,3,False,True
9,隨機坐騎,隨機召喚出一種坐騎。,118,0,0,1,0,21,False,False
10,隨機寵物,隨機召喚出一種寵物。,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,鑲嵌魔晶石,將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。,107,0,11,2,0,33,False,True
13,鑲嵌魔晶石II,"將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。
雖然失敗的危險性很高，不過鑲嵌的數量可以擺脫魔晶石孔數量的限制。",108,0,12,2,0,34,False,True
14,精製魔晶石,抽出物品上寄宿的思念乙太，將其精製成魔晶石。,109,0,13,2,0,32,False,True
15,染色,消耗染劑來改變裝備的顏色。,110,0,14,2,0,41,False,True
16,從左至右切換敵人,從最近的敵人開始從左至右切換所選目標。,113,0,0,3,0,12,False,True
17,從右至左切換敵人,從最近的敵人開始從右至左切換所選目標。,114,0,0,3,0,13,False,True
18,放置,放下手中的物品。,61112,0,0,1,0,0,False,False
19,解讀,解讀陳舊的地圖。,115,1694,25,1,0,61,False,False
20,挖掘,"探索周圍環境以確認地圖上記載的寶物是否存在。
**範圍：**半徑30米",116,1695,25,1,67,62,False,False
21,精選,在採集到的收藏品中進行精選，發現新的道具。,121,0,256,2,0,52,False,True
22,武具投影,消耗幻象棱晶來改變裝備的外型。,119,0,15,2,0,42,False,True
23,跳下,從坐騎上下來。,61128,0,0,1,0,0,False,False
24,隨機飛行坐騎,隨機召喚出一種飛行坐騎。,122,0,0,1,0,0,False,False
25,投影範本,一次性對數件裝備進行武具投影。,125,0,15,2,0,43,False,True
26,任務指令1,使用迷宮挑戰或蠻神戰等任務中特有的指令。,123,0,0,1,0,1,True,False
27,任務指令2,使用迷宮挑戰或蠻神戰等任務中特有的指令。,124,0,0,1,0,2,True,False
28,收回,整理並收納使用中的時尚配件。,61188,0,0,1,0,0,False,False
29,特殊快速鍵技能排序,調整特殊快速鍵上技能的順序。,61192,0,0,1,0,0,False,True
30,特殊快速鍵技能排序,調整特殊快速鍵上技能的順序。,61192,0,0,1,0,0,False,True
31,,,0,0,0,0,0,0,False,False
32,,,0,0,0,0,0,0,False,False
33,,,0,0,0,0,0,0,False,False
34,,,0,0,0,0,0,0,False,False
35,,,0,0,0,0,0,0,False,False
36,目標·攻擊,"將標記為攻擊1～8的對象設為目標。
如果存在多個對象，則以最小數字的對象作為目標。",133,0,0,3,0,14,False,True
37,目標·牽制,"將標記為牽制1～3的對象設為目標。
如果存在多個對象，則以最小數字的對象作為目標。",134,0,0,3,0,15,False,True
38,目標·禁止,"將標記為禁止1～2的對象設為目標。
如果存在多個對象，則以最小數字的對象作為目標。",135,0,0,3,0,16,False,True
39,目標·方塊,將標記為方塊的對象設為目標。,136,0,0,3,0,17,False,True
40,目標·圓圈,將標記為圓圈的對象設為目標。,137,0,0,3,0,18,False,True
41,目標·十字,將標記為十字的對象設為目標。,138,0,0,3,0,19,False,True
42,目標·三角,將標記為三角的對象設為目標。,139,0,0,3,0,20,False,True
