#,Name,Icon,Quest,AcceptTalk,FailTalk,FestivalId,FestivalPhase,Unknown2
262144,,0,0,0,0,0,0,False
262145,,0,0,0,0,0,0,False
262151,購買道具,0,0,0,0,0,0,True
262152,,0,0,0,0,0,0,False
262153,,0,0,0,0,0,0,False
262154,,0,0,0,0,0,0,False
262155,,0,0,0,0,0,0,False
262156,,0,0,0,0,0,0,False
262157,,0,0,0,0,0,0,True
262158,購買道具,0,0,0,0,0,0,True
262159,,0,0,0,0,0,0,False
262160,,0,0,0,0,0,0,False
262161,,0,0,0,0,0,0,False
262162,,0,0,0,0,0,0,False
262163,,0,0,0,0,0,0,False
262164,購買道具,0,0,0,0,0,0,True
262165,,0,0,0,0,0,0,False
262166,,0,0,0,0,0,0,False
262167,,0,0,0,0,0,0,False
262168,,0,0,0,0,0,0,False
262169,,0,0,0,0,0,0,False
262170,,0,0,0,0,0,0,True
262171,,0,0,0,0,0,0,True
262172,,0,0,0,0,0,0,True
262173,,0,0,0,0,0,0,True
262174,,0,0,0,0,0,0,True
262175,,0,0,0,0,0,0,True
262176,,0,0,0,0,0,0,True
262177,,0,0,0,0,0,0,True
262178,,0,0,0,0,0,0,False
262179,,0,0,0,0,0,0,False
262180,,0,0,0,0,0,0,True
262181,購買道具,0,0,0,0,0,0,True
262182,,0,0,0,0,0,0,True
262183,,0,0,0,0,0,0,False
262184,,0,0,0,0,0,0,False
262185,,0,0,0,0,0,0,True
262186,,0,0,0,0,0,0,False
262187,,0,0,0,0,0,0,False
262188,,0,0,0,0,0,0,False
262189,,0,0,0,0,0,0,False
262190,,0,0,0,0,0,0,True
262191,購買道具,0,0,0,0,0,0,True
262192,,0,0,0,0,0,0,True
262193,,0,0,0,0,0,0,False
262194,,0,0,0,0,0,0,False
262195,,0,0,0,0,0,0,False
262196,,0,0,0,0,0,0,False
262197,,0,0,0,0,0,0,True
262198,,0,0,0,0,0,0,False
262199,,0,0,0,0,0,0,False
262200,,0,0,0,0,0,0,True
262201,購買道具,0,0,0,0,0,0,True
262202,,0,0,0,0,0,0,True
262203,,0,0,0,0,0,0,False
262204,,0,0,0,0,0,0,False
262205,,0,0,0,0,0,0,False
262206,,0,0,0,0,0,0,False
262207,,0,0,0,0,0,0,True
262208,,0,0,0,0,0,0,True
262209,購買武器,0,0,0,0,0,0,True
262210,,0,0,0,0,0,0,True
262211,,0,0,0,0,0,0,True
262212,購買能工巧匠及大地使者飾品,0,0,0,0,0,0,True
262213,購買戰鬥防具,0,0,0,0,0,0,True
262214,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262215,購買武器,0,0,0,0,0,0,True
262216,購買工具,0,0,0,0,0,0,True
262217,購買武器,0,0,0,0,0,0,True
262218,購買戰鬥防具,0,0,0,0,0,0,True
262219,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262221,購買工具,0,0,0,0,0,0,True
262222,購買武器,0,0,0,0,0,0,True
262223,購買戰鬥防具,0,0,0,0,0,0,True
262224,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262225,購買工具,0,0,0,0,0,0,True
262226,購買武器,0,0,0,0,0,0,True
262227,購買戰鬥防具,0,0,0,0,0,0,True
262228,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262229,購買工具,0,0,0,0,0,0,True
262230,購買武器,0,0,0,0,0,0,True
262231,購買戰鬥防具,0,0,0,0,0,0,True
262232,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262233,購買工具,0,0,0,0,0,0,True
262234,購買武器,0,0,0,0,0,0,True
262235,購買戰鬥防具,0,0,0,0,0,0,True
262236,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262237,購買工具,0,0,0,0,0,0,True
262238,購買武器,0,0,0,0,0,0,True
262239,購買戰鬥防具,0,0,0,0,0,0,True
262240,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262241,購買工具,0,0,0,0,0,0,True
262242,購買武器,0,0,0,0,0,0,True
262243,購買戰鬥防具,0,0,0,0,0,0,True
262244,購買能工巧匠及大地使者防具,0,0,0,0,0,0,True
262245,購買工具,0,0,0,0,0,0,True
262246,購買武器,0,0,0,0,0,0,True
262247,購買戰鬥防具,0,0,0,0,0,0,True
