#,Singular,Plural,Description,Name,Unknown_70_1,Unknown_70_2,Unknown_70_3,Unknown_70_4,Unknown_70_5,Unknown_70_6,Unknown_70_7,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,橢圓眼鏡,,基礎色的臉部配飾。,橢圓眼鏡,0,0,0,1,0,0,71037,200049,0,0
2,銀框橢圓眼鏡,,銀色的臉部配飾。,銀框橢圓眼鏡,0,0,0,1,0,0,136573,200053,0,0
3,金框橢圓眼鏡,,金色的臉部配飾。,金框橢圓眼鏡,0,0,0,1,0,0,202109,200052,0,0
4,黑框橢圓眼鏡,,黑色的臉部配飾。,黑框橢圓眼鏡,0,0,0,1,0,0,267645,200054,0,0
5,白框橢圓眼鏡,,白色的臉部配飾。,白框橢圓眼鏡,0,0,0,1,0,0,333181,200059,0,0
6,灰框橢圓眼鏡,,灰色的臉部配飾。,灰框橢圓眼鏡,0,0,0,1,0,0,398717,200050,0,0
7,紅框橢圓眼鏡,,紅色的臉部配飾。,紅框橢圓眼鏡,0,0,0,1,0,0,464253,200057,0,0
8,藍框橢圓眼鏡,,藍色的臉部配飾。,藍框橢圓眼鏡,0,0,0,1,0,0,529789,200056,0,0
9,綠框橢圓眼鏡,,綠色的臉部配飾。,綠框橢圓眼鏡,0,0,0,1,0,0,595325,200060,0,0
10,銅框橢圓眼鏡,,銅色的臉部配飾。,銅框橢圓眼鏡,0,0,0,1,0,0,660861,200051,0,0
11,紫框橢圓眼鏡,,紫色的臉部配飾。,紫框橢圓眼鏡,0,0,0,1,0,0,726397,200055,0,0
12,棕框橢圓眼鏡,,棕色的臉部配飾。,棕框橢圓眼鏡,0,0,0,1,0,0,791933,200058,0,0
13,金邊墨鏡,,基礎色的臉部配飾。,金邊墨鏡,0,0,0,1,0,0,71038,200085,0,1
14,銀框金邊墨鏡,,銀色的臉部配飾。,銀框金邊墨鏡,0,0,0,1,0,0,136574,200089,0,1
15,金框金邊墨鏡,,金色的臉部配飾。,金框金邊墨鏡,0,0,0,1,0,0,202110,200088,0,1
16,黑框金邊墨鏡,,黑色的臉部配飾。,黑框金邊墨鏡,0,0,0,1,0,0,267646,200090,0,1
17,白框金邊墨鏡,,白色的臉部配飾。,白框金邊墨鏡,0,0,0,1,0,0,333182,200095,0,1
18,灰框金邊墨鏡,,灰色的臉部配飾。,灰框金邊墨鏡,0,0,0,1,0,0,398718,200086,0,1
