#,Message,ChoicesText[0],ChoicesText[1],ChoicesText[2],ChoicesText[3],ChoicesText[4],ChoicesText[5],ChoicesText[6],ChoicesText[7],ChoicesText[8],ChoicesText[9],NextTalk,ActionTimeline,ChoicesTalk[0],ChoicesTalk[1],ChoicesTalk[2],ChoicesTalk[3],ChoicesTalk[4],ChoicesTalk[5],ChoicesTalk[6],ChoicesTalk[7],ChoicesTalk[8],ChoicesTalk[9],Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,必要MGP：0MGP,やる,やる(無料券),キャンセル,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False,False
16,"參加仙人微彩有獎競猜需要UNKNOWN金碟幣。
確定要參加嗎？
[所持金碟幣：0]",是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
17,"哎呀，您的金碟幣好像不夠呢……
先去金碟幣兌換員那換些金碟幣如何？",,,,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
18,"哎呀，客人您剛剛也參加過我們的有獎競猜了……
您這麼喜歡仙人微彩是我們的榮幸。
不過每位客人最多只能參加3次，請您諒解……",,,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
19,"第UNKNOWN期仙人微彩正在舉辦之中！
怎麼樣，要不要來試試今天的運氣？",,,,,,,,,,,16,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
20,"哎呀，不得了了！
我家的小陸行鳥在山頂上迷了路，
不巧又碰上愛惡作劇的哥布林族搗亂，我現在正頭疼呢。",,,,,,,,,,,21,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
21,"他們到處亂丟炸彈，我根本無法靠近……
拜託您了，請登上科瑞爾山的山頂，
把小陸行鳥救出來吧！",,,,,,,,,,,158,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
22,"您勇於挑戰的身影真是太令我感動了，
連摔下來的姿勢都那麼帥！可是小陸行鳥還在山頂瑟瑟發抖……
您能救救那孩子嗎？",,,,,,,,,,,23,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
23,要再次進行挑戰嗎？,是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
24,"感謝您幫助了迷路的小陸行鳥！
說不定牠以後還會走失……
到時候也要拜託您了！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
25,"可不可以麻煩你避開那些傢伙的視線，
把這個易碎的壺送過去？
這個壺非常容易壞，運送的時候一定要小心輕放啊。",,,,,,,,,,,140,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
26,"可不可以麻煩你避開那些傢伙的視線，
把這個易碎的壺送過去？
這個壺非常容易壞，運送的時候一定要小心輕放啊。",,,,,,,,,,,143,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
27,"大姐姐，不好了！
我的小陸行鳥在仙人掌巨怪上迷了路，
可是哥布林族卻跑來搗亂，沒辦法幫助它！",,,,,,,,,,,28,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
28,"他們到處亂丟炸彈，我過不去……
請你登上仙人掌巨怪的頂端，
救救小陸行鳥吧！",,,,,,,,,,,159,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
29,"大姐姐努力的樣子，我都看在眼裡了！
但是小陸行鳥它還在頂上……
求求你，再加把勁吧！",,,,,,,,,,,30,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
30,要再次進行挑戰嗎？,是,否,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
31,"謝謝你救出了小陸行鳥！
啊，要是它下次再跑掉的話……
到時候就再拜託大姐姐幫忙啦！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
32,"哎呀，您的背包好像滿了呢……
在領取獎品之前還是先整理一下吧。",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
33,"您持有的仙人仙彩已經可以兌換了。
那麼這就告訴您抽選結果！",,,,,,,,,,,100,764,0,0,0,0,0,0,0,0,0,0,1,0,2,True,False
