#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,無,0,0,0,0,0,0,10,False,False,False
1,開始！,0,120021,2,10,0,200,10,False,False,False
2,完成！,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,重新挑戰！,0,120024,2,10,0,203,10,False,False,False
5,接受任務！,0,120001,2,11,0,100,10,False,False,False
6,任務完成！,0,120002,2,11,0,101,10,False,False,False
7,F.A.T.E.開始！,0,120081,2,12,0,303,10,False,False,False
8,F.A.T.E.完成！,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,升級！,0,120111,2,5,0,10,10,False,False,False
11,G.A.T.E. 開始！,0,121561,2,13,0,400,10,False,False,False
12,G.A.T.E. 完成！,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,出發！,0,121551,2,13,0,403,10,False,False,False
15,抵達終點！,0,121552,2,13,0,404,10,False,False,False
16,挑戰成功！,0,121553,2,13,0,405,10,False,False,False
17,成功！,0,121501,2,13,0,406,10,False,False,False
18,失敗……,0,121502,2,13,0,407,10,False,False,False
19,全力一擊！,0,121511,2,13,0,408,10,False,False,False
20,打得漂亮！,0,121512,2,13,0,409,10,False,False,False
21,打得好！,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,Light Party,0,120114,2,5,0,23,10,False,False,False
24,Full Party,0,120115,2,5,0,24,10,False,False,False
25,等級下降……,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV ONLINE（白色）,0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV ONLINE（黑色）,0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,國旗：亞歷山德里亞,70495,230715,1,6,0,15,1,True,False,False
30,九宮幻卡：★,0,230111,1,4,0,1,10,True,False,False
31,九宮幻卡：★★,0,230112,1,4,0,2,10,True,False,False
32,九宮幻卡：★★★,0,230113,1,4,0,3,10,True,False,False
33,九宮幻卡：★★★★,0,230114,1,4,0,4,10,True,False,False
34,九宮幻卡：★★★★★,0,230115,1,4,0,5,10,True,False,False
35,九宮幻卡：1,0,230120,1,4,0,12,10,True,False,False
36,九宮幻卡：2,0,230121,1,4,0,13,10,True,False,False
37,九宮幻卡：3,0,230122,1,4,0,14,10,True,False,False
38,九宮幻卡：4,0,230123,1,4,0,15,10,True,False,False
39,九宮幻卡：5,0,230124,1,4,0,16,10,True,False,False
40,九宮幻卡：6,0,230125,1,4,0,17,10,True,False,False
41,九宮幻卡：7,0,230126,1,4,0,18,10,True,False,False
42,九宮幻卡：8,0,230127,1,4,0,19,10,True,False,False
43,九宮幻卡：9,0,230128,1,4,0,20,10,True,False,False
44,九宮幻卡：A,0,230129,1,4,0,21,10,True,False,False
45,九宮幻卡：0,0,230119,1,4,0,11,10,True,False,False
46,國旗：薩雷安,0,230711,1,6,0,11,10,True,False,False
47,國旗：拉札漢,0,230713,1,6,0,12,10,True,False,False
48,國旗：加雷馬,0,230712,1,6,0,13,10,True,False,False
49,國旗：圖萊尤拉,0,230714,1,6,0,14,10,True,False,False
50,國旗：格里達尼亞,0,230701,1,6,0,2,10,True,False,False
51,國旗：利姆薩·羅敏薩,0,230702,1,6,0,1,10,True,False,False
52,國旗：烏爾達哈,0,230703,1,6,0,3,10,True,False,False
53,國旗：伊修加爾德,0,230704,1,6,0,4,10,True,False,False
54,國旗：阿拉米格,0,230705,1,6,0,5,10,True,False,False
55,國旗：黃金港,0,230706,1,6,0,6,10,True,False,False
56,國旗：多瑪,0,230707,1,6,0,7,10,True,False,False
57,國旗：水晶都,0,230708,1,6,0,8,10,True,False,False
58,國旗：遊末邦,0,230709,1,6,0,9,10,True,False,False
59,國旗：博茲雅,0,230710,1,6,0,10,10,True,False,False
60,表情：平常,0,230626,1,3,0,1,10,True,True,True
61,表情：微笑,0,230627,1,3,0,2,10,True,True,True
62,表情：笑容,0,230628,1,3,0,3,10,True,True,True
63,表情：拋媚眼,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,表情：自信,0,230631,1,3,0,5,10,True,True,True
66,表情：無畏,0,230632,1,3,0,6,10,True,True,True
67,表情：閉目,0,230633,1,3,0,7,10,True,True,True
68,表情：意外,0,230634,1,3,0,8,10,True,True,True
69,表情：吃驚,0,230635,1,3,0,9,10,True,True,True
70,表情：嘟嘴,0,230636,1,3,0,10,10,True,True,True
71,表情：認真,0,230637,1,3,0,11,10,True,True,True
72,表情：柔和,0,230638,1,3,0,12,10,True,True,True
73,表情：滿足,0,230639,1,3,0,13,10,True,True,True
74,表情：咧嘴,0,230640,1,3,0,14,10,True,True,True
75,表情：沉思,0,230641,1,3,0,15,10,True,True,True
76,,0,0,0,0,0,0,0,False,False,False
77,,0,0,0,0,0,0,0,False,False,False
78,,0,0,0,0,0,0,0,False,False,False
79,,0,0,0,0,0,0,0,False,False,False
80,,0,0,0,0,0,0,0,False,False,False
81,,0,0,0,0,0,0,0,False,False,False
82,,0,0,0,0,0,0,0,False,False,False
83,,0,0,0,0,0,0,0,False,False,False
84,,0,0,0,0,0,0,0,False,False,False
85,,0,0,0,0,0,0,0,False,False,False
86,,0,0,0,0,0,0,0,False,False,False
87,,0,0,0,0,0,0,0,False,False,False
88,,0,0,0,0,0,0,0,False,False,False
89,,0,0,0,0,0,0,0,False,False,False
90,符號：嘆號,0,230401,1,7,0,1,10,True,False,False
91,符號：問號,0,230402,1,7,0,2,10,True,False,False
92,符號：嘆問號,0,230403,1,7,0,3,10,True,False,False
93,符號：問嘆號,0,230404,1,7,0,4,10,True,False,False
94,符號：省略號,0,230405,1,7,0,5,10,True,False,False
95,,0,0,0,0,0,0,0,False,False,False
96,,0,0,0,0,0,0,0,False,False,False
97,,0,0,0,0,0,0,0,False,False,False
98,,0,0,0,0,0,0,0,False,False,False
99,,0,0,0,0,0,0,0,False,False,False
100,阿卡狄亞：下一位選手！（綠色）,70501,230791,2,10,0,204,1,True,False,False
101,,0,0,0,0,0,0,0,False,False,False
102,,0,0,0,0,0,0,0,False,False,False
103,,0,0,0,0,0,0,0,False,False,False
104,,0,0,0,0,0,0,0,False,False,False
105,,0,0,0,0,0,0,0,False,False,False
106,,0,0,0,0,0,0,0,False,False,False
107,,0,0,0,0,0,0,0,False,False,False
108,,0,0,0,0,0,0,0,False,False,False
109,,0,0,0,0,0,0,0,False,False,False
110,氣泡：標準,0,230101,1,2,0,1,10,True,True,True
111,氣泡：思考,0,230102,1,2,0,2,10,True,True,True
112,氣泡：吃驚,0,230103,1,2,0,3,10,True,True,True
113,,0,0,0,0,0,0,0,False,False,False
114,,0,0,0,0,0,0,0,False,False,False
115,,0,0,0,0,0,0,0,False,False,False
116,,0,0,0,0,0,0,0,False,False,False
117,生日：0,0,230131,0,28,0,1,10,True,False,False
118,生日：1,0,230132,0,28,0,2,10,True,False,False
119,生日：2,0,230133,0,28,0,3,10,True,False,False
120,生日：3,0,230134,0,28,0,4,10,True,False,False
121,生日：4,0,230135,0,28,0,5,10,True,False,False
122,生日：5,0,230136,0,28,0,6,10,True,False,False
123,生日：6,0,230137,0,28,0,7,10,True,False,False
124,生日：7,0,230138,0,28,0,8,10,True,False,False
125,生日：8,0,230139,0,28,0,9,10,True,False,False
126,生日：9,0,230140,0,28,0,10,10,True,False,False
127,生日：莫古利,0,230141,0,28,0,11,10,True,True,True
128,生日：王冠,0,230142,0,28,0,12,10,True,True,True
129,生日：氣球,0,230143,0,28,0,13,10,True,True,True
130,裝飾：閃亮1,0,230201,1,9,0,2,10,True,True,True
131,裝飾：心形,0,230202,1,9,0,43,10,True,True,True
132,裝飾：光泡,0,230203,1,9,0,21,10,True,True,True
133,裝飾：足跡,0,230204,1,9,0,61,10,True,True,True
134,裝飾：閃亮1,0,230301,1,9,0,1,10,True,True,True
135,裝飾：墨鏡,0,230302,1,9,0,110,10,True,True,True
136,裝飾：心形,0,230303,1,9,0,42,10,True,True,True
