#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,行會理符發行處,1,65756,65756,0,0,False,False,False,False,False
393217,行會理符發行處,2,65756,65756,1,0,False,False,False,False,False
393218,行會理符發行處,3,65757,65757,1,0,False,False,False,False,False
393219,行會理符發行處,4,65979,65979,1,0,False,False,False,False,False
393220,行會理符發行處,5,65756,65756,1,0,False,False,False,False,False
393221,行會理符發行處,6,66229,66229,1,0,False,False,False,False,False
393222,行會理符發行處,7,66223,66223,1,0,False,False,False,False,False
393223,行會理符發行處,8,66223,66223,1,0,False,False,False,False,False
393224,行會理符發行處,9,66224,66224,1,0,False,False,False,False,False
393225,行會理符發行處,10,66229,66229,1,0,False,False,False,False,False
393226,行會理符發行處,11,66230,66230,1,0,False,False,False,False,False
393227,行會理符發行處,12,65756,65536,1,0,False,False,False,False,False
393228,行會理符發行處,13,66228,66228,1,0,False,False,False,False,False
393229,行會理符發行處,14,65550,65550,1,0,False,False,False,False,False
393230,行會理符發行處,15,65552,65552,1,0,False,False,False,False,False
393231,行會理符發行處,16,65553,65553,1,0,False,False,False,False,False
393232,行會理符發行處,17,65980,65980,1,0,False,False,False,False,False
393233,行會理符發行處,18,65551,65551,1,0,False,False,False,False,False
393234,行會理符發行處,19,66223,65536,1,0,False,False,False,False,False
393235,行會理符發行處,20,66229,65536,1,0,False,False,False,False,False
393236,行會理符發行處,21,66232,66232,1,0,False,False,False,False,False
393237,行會理符發行處,22,66231,66231,1,0,False,False,False,False,False
393238,行會理符發行處,23,65554,65554,1,0,False,False,False,False,False
393239,軍隊理符發行處,24,66229,65536,2,1,True,False,False,False,False
393240,軍隊理符發行處,25,66229,65536,2,5,True,False,False,False,False
393241,軍隊理符發行處,26,65756,65536,2,1,False,True,False,False,False
393242,軍隊理符發行處,27,65756,65536,2,5,False,True,False,False,False
393243,軍隊理符發行處,28,66223,65536,2,1,False,False,True,False,False
393244,軍隊理符發行處,29,66223,65536,2,5,False,False,True,False,False
393245,軍隊理符發行處,30,65756,65536,2,5,True,True,True,False,False
393246,軍隊理符發行處,31,65756,65536,2,5,True,True,True,False,False
393247,軍隊理符發行處,32,66223,65536,2,8,True,True,True,False,False
393248,神殿騎士團理符發行處,33,67642,67642,3,0,False,False,False,True,False
393249,行會理符發行處,34,68457,68457,4,0,False,False,False,False,True
393250,中庸工藝館理符發行處,35,69138,69138,5,0,False,False,False,False,True
393251,拾穗人理符發行處,36,69706,69706,7,0,False,False,False,False,True
393252,圖萊尤拉理符發行處,37,70539,70539,8,0,False,False,False,False,True
