#,Text,Unknown0,Type,Unknown1,Unknown2
0,,0,0,0,False
1,,0,0,0,False
2,,0,0,0,False
3,,0,0,0,False
4,,0,0,0,False
5,,0,1,0,True
6,,0,1,0,True
7,,0,1,0,True
8,,0,1,0,True
9,,0,1,0,True
10,,0,1,0,True
11,,0,1,0,True
12,無名眾人廣場：第一次整備計畫,1,2,1,True
13,請來參加聯合重建工程！,2,2,1,False
14,無名眾人廣場：第二次整備計畫,3,2,4,True
15,再次參加聯合重建工程！,4,2,4,False
16,無名眾人廣場：第三次整備計畫,5,2,7,True
17,請協助莉茲貝絲的計畫！,6,2,7,False
18,無名眾人廣場：整備完成,7,2,10,True
19,關於交付製品,2,3,1,True
20,關於聯合重建工程,3,3,1,True
21,什麼是「重建伊修加爾德」,1,3,1,True
22,,0,1,0,True
23,,0,1,0,True
24,,0,1,0,True
25,,0,1,0,True
26,十字鎬大街整備計畫,1,2,11,True
27,重建工程邁出了嶄新的一步！,2,2,11,False
28,十字鎬大街的聯合重建工程正在進行中！,3,2,14,False
29,拜託各位工匠對十字鎬大街進行整備！,4,2,16,False
30,參加聯合重建工程建造噴泉啦！,5,2,19,False
31,聖羅艾勒廣場整備計畫,6,2,21,True
32,開始著手建設新的道路！,7,2,21,False
33,我一直在觀賞著各位工匠作業時華麗的樣子。,8,2,24,False
34,招人！鋪裝作業員！,9,2,26,False
35,在聯合重建工程中展現工匠的手藝吧！,10,2,29,False
36,新巢居住區整備計畫,11,2,30,True
37,終於要在居住區的預定施工地點開始聯合重建工程了！,12,2,30,False
38,聯合重建工程順利進行中！,13,2,33,False
39,請繼續協助清除瓦礫！,14,2,35,False
40,長時間的瓦礫清除作業，辛苦各位了！,15,2,37,False
41,終於要開始建設住房了！,16,2,40,False
42,住房正在建設中！,17,2,43,False
43,此次為本期最後的聯合重建工程！,18,2,46,False
44,新巢居住區：整備完成,19,2,48,True
45,關於咕波好運道,4,3,11,True
46,關於雲冠群島,5,3,11,True
47,,0,1,0,True
48,,0,1,0,True
49,,0,1,0,True
50,,0,1,0,True
51,落羽商業區整備計畫,1,2,49,True
52,歡迎對力量有自信的人參加！,2,2,50,False
53,拜託各位去清除瓦礫！,3,2,52,False
54,感謝各位平日裡的協助。,4,2,54,False
55,募集人手！,5,2,56,False
56,要開始建造大規模設施了！,6,2,59,False
57,請開始聯合重建工程建造建築物！,7,2,62,False
58,住房的建設工作正在順利進行中！,8,2,65,False
59,算盤大街整備計畫,9,2,67,True
60,開始對新大街進行整備了！,10,2,68,False
61,即將對算盤大街進行鋪裝作業！,11,2,70,False
62,請為算盤大街裝飾美麗的雕像。,12,2,73,False
63,白霜官舍整備計畫,13,2,74,True
64,開始建設巨大的設施！,14,2,75,False
65,落羽商業區：整備完成,15,2,79,True
66,,0,1,0,True
67,,0,1,0,True
68,,0,1,0,True
69,,0,1,0,True
70,,0,1,0,True
71,西升歌文化區整備計畫,1,2,80,True
72,清除西升歌文化區的瓦礫！,2,2,81,False
73,拜託各位進行清掃與鋪裝作業,3,2,83,False
74,開始建設西文化區的住房了！,4,2,86,False
75,要準備開始進行聯合重建工程了！,5,2,89,False
76,西文化區的整備工作還差一點就完工了！,6,2,92,False
77,詩伯門整備計畫,7,2,94,True
78,詩伯門正在修繕中！,8,2,95,False
79,東升歌文化區整備計畫,9,2,97,False
80,最後的瓦礫清除作業！,10,2,98,False
81,本次將是最後一次清掃與鋪裝作業！,11,2,100,False
82,新住房的建設工作已經開始了,12,2,103,True
83,住房建設終於到了收尾階段！,13,2,106,False
84,浸雪浴場整備計畫,14,2,108,True
85,浸雪浴場目前正在建設中,15,2,109,False
86,請各位來協助建造特別的紀念碑！,16,2,111,False
87,蒼天街重建工程全面竣工,17,2,112,True
88,,0,1,0,True
89,即將舉辦蒼天街復興慶典！,1,2,113,True
90,關於慶典,6,3,112,True
