#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262144,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,木製海濱小屋,,0,0,0,1,0,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262146,混合製海濱小屋,,0,0,0,1,0,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262147,石製海濱小屋,,0,0,0,1,0,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262148,木製海濱公館,,0,0,0,1,0,0,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262149,混合製海濱公館,,0,0,0,1,0,0,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262150,石製海濱公館,,0,0,0,1,0,0,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262151,木製海濱別墅,,0,0,0,1,0,0,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262152,混合製海濱別墅,,0,0,0,1,0,0,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262153,石製海濱別墅,,0,0,0,1,0,0,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262154,木製林間小屋,,0,0,0,1,0,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262155,混合製林間小屋,,0,0,0,1,0,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262156,石製林間小屋,,0,0,0,1,0,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262157,木製林間公館,,0,0,0,1,0,0,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262158,混合製林間公館,,0,0,0,1,0,0,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262159,石製林間公館,,0,0,0,1,0,0,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262160,木製林間別墅,,0,0,0,1,0,0,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262161,混合製林間別墅,,0,0,0,1,0,0,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262162,石製林間別墅,,0,0,0,1,0,0,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262163,木製綠洲小屋,,0,0,0,1,0,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262164,混合製綠洲小屋,,0,0,0,1,0,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262165,石製綠洲小屋,,0,0,0,1,0,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262166,木製綠洲公館,,0,0,0,1,0,0,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262167,混合製綠洲公館,,0,0,0,1,0,0,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262168,石製綠洲公館,,0,0,0,1,0,0,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262169,木製綠洲別墅,,0,0,0,1,0,0,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262170,混合製綠洲別墅,,0,0,0,1,0,0,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262171,石製綠洲別墅,,0,0,0,1,0,0,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262172,,,0,0,0,1,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0,0,0
262173,,,0,0,0,1,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0,0,0
262174,,,0,0,0,1,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0,0,0
262175,木製東洋小屋,,0,0,0,1,0,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262176,混合製東洋小屋,,0,0,0,1,0,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262177,石製東洋小屋,,0,0,0,1,0,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262178,木製東洋公館,,0,0,0,1,0,0,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262179,混合製東洋公館,,0,0,0,1,0,0,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262180,石製東洋公館,,0,0,0,1,0,0,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262181,木製東洋別墅,,0,0,0,1,0,0,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262182,混合製東洋別墅,,0,0,0,1,0,0,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262183,石製東洋別墅,,0,0,0,1,0,0,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262184,,,0,0,0,1,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0,0,0
