#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
0,,0,0,0,0,0,0,0,0,0,0,0,0,False
1,基本操作,1,0,0,0,0,2,0,0,0,0,1,2,False
2,開始任務,5,0,0,0,0,6,0,0,0,0,1,5,True
3,目的清單,60,61,0,0,0,60,62,0,0,0,3,5,False
4,地圖導覽員,30,31,0,0,0,32,33,0,0,0,4,5,True
5,任務道具,65,0,0,0,0,66,0,0,0,0,11,5,True
6,場景物體,70,0,0,0,0,71,0,0,0,0,12,5,True
7,戰鬥,150,151,152,153,0,190,191,192,193,153,1,4,True
8,打倒敵人的經驗值與報酬,1200,0,0,0,0,0,0,0,0,0,2,4,True
9,交納所需道具,200,0,0,0,0,201,0,0,0,0,13,5,True
10,職業轉換,110,111,0,0,0,0,0,0,0,0,9,2,True
11,領取報酬,15,0,0,0,0,16,0,0,0,0,5,5,False
12,接受任務,10,0,0,0,0,11,0,0,0,0,2,5,False
13,關於返回,25,26,0,0,0,27,28,0,0,0,1,3,True
14,快速選單,20,21,22,0,0,0,0,0,0,0,2,2,True
15,乙太之光,50,51,52,0,0,0,0,0,0,0,2,3,True
16,無法戰鬥,90,91,0,0,0,0,0,0,0,0,2,4,True
17,通訊貝,290,291,0,0,0,0,0,0,0,0,11,2,True
18,關於裝備,35,36,0,0,0,37,36,0,0,0,1,7,True
19,都市傳送網,45,0,0,0,0,0,0,0,0,0,3,3,True
20,關於商店,135,136,0,0,0,137,136,0,0,0,5,6,True
21,關於收藏櫃,1320,1321,0,0,0,0,0,0,0,0,11,7,True
22,莫古利信箱,40,41,0,0,0,40,42,0,0,0,8,2,True
23,尋找良材,890,891,892,0,0,890,893,894,0,0,3,13,True
24,採集,900,901,902,0,0,0,0,0,0,0,4,13,True
25,採集方法,910,911,912,0,0,0,0,0,0,0,5,13,True
26,潛行,920,0,0,0,0,0,0,0,0,0,10,13,True
27,割草,930,931,0,0,0,0,0,0,0,0,16,13,True
28,製作筆記,700,701,702,0,0,0,0,0,0,0,1,12,True
29,製作,710,711,712,713,0,714,711,712,713,0,2,12,True
30,品質,720,721,722,0,0,720,723,722,0,0,3,12,True
31,裝備劣化,750,751,752,0,0,0,0,0,0,0,5,7,True
32,修理裝備,760,761,0,0,0,0,0,0,0,0,6,7,True
33,領取行會理符任務,500,501,0,0,0,0,0,0,0,0,1,9,True
34,行會理符任務,510,511,512,0,0,513,514,515,0,0,2,9,True
35,調節任務難度,520,521,0,0,0,0,0,0,0,0,3,9,True
36,休息區,170,171,172,173,0,0,0,0,0,0,7,2,True
37,兵裝庫,160,161,162,0,0,160,161,163,0,0,3,7,True
38,轉職,115,116,0,0,0,0,0,0,0,0,4,2,True
39,情感表現,80,81,82,0,0,80,83,0,0,0,3,2,True
40,,0,0,0,0,0,0,0,0,0,0,0,0,False
41,,0,0,0,0,0,0,0,0,0,0,0,0,False
