#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,千魚祝福,達成條件：獲得的漁分超過2500。,65901,110,4
2,萬魚賀喜,達成條件：獲得的漁分超過5000。,65902,120,5
3,珍魚,達成條件：釣到一條★★★★魚。,65903,110,6
4,傳說魚,達成條件：釣到一條★★★★★魚。,65904,120,7
5,瞬釣,達成條件：在幻海流中釣到15條魚。,65905,110,8
6,爆釣王,達成條件：在幻海流中釣到35條魚。,65906,120,9
7,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到10種以上的魚類。,65907,110,10
8,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到10種以上的魚類。,65908,110,13
9,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到10種以上的魚類。,65909,110,19
10,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到10種以上的魚類。,65910,110,22
11,傳說中的大漁旗,達成條件：小隊全體合計釣到3條以上★★★★★的魚。,65911,150,31
12,利姆萊茵的寵愛之子,達成條件：由自己引發幻海流。,65912,110,32
13,八爪旅人,達成條件：小隊全體合計釣到150隻以上的章魚類。,65913,120,33
14,捕鯊人,達成條件：小隊全體合計釣到200條以上的鯊魚類。,65914,130,34
15,水母狂魔,達成條件：小隊全體合計釣到150隻以上的水母類。,65915,120,35
16,龍馬驚神,達成條件：小隊全體合計釣到100隻以上的海龍或海馬。,65916,110,36
17,初級海釣師,達成條件：完成1種船上任務。,65923,105,1
18,中級海釣師,達成條件：完成2種船上任務。,65924,110,2
19,上級海釣師,達成條件：完成3種船上任務。,65925,120,3
20,氣魨四海,達成條件：小隊全體合計釣到250隻以上的魨類。,65917,130,37
21,橫路不通,達成條件：小隊全體合計釣到250隻以上的蟹類。,65918,130,38
22,魟隆隆衝衝衝,達成條件：個人合計釣到25隻以上的魟魚。,65919,120,39
23,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65907,110,11
24,豐漁：加拉迪翁灣,達成條件：小隊全體在加拉迪翁灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65907,110,12
25,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65908,110,14
26,豐漁：梅爾托爾海峽南,達成條件：小隊全體在梅爾托爾海峽南合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65908,110,15
27,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65909,110,20
28,豐漁：梅爾托爾海峽北,達成條件：小隊全體在梅爾托爾海峽北合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65909,110,21
29,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65910,110,23
30,豐漁：羅塔諾海,達成條件：小隊全體在羅塔諾海合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65910,110,24
31,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到10種以上的魚類。,65920,110,16
32,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65920,110,17
33,豐漁：謝爾達萊群島,達成條件：小隊全體在謝爾達萊群島合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65920,110,18
34,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到10種以上的魚類。,65921,110,25
35,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65921,110,26
36,豐漁：緋汐海,達成條件：小隊全體在緋汐海合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65921,110,27
37,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到10種以上的魚類。,65922,110,28
38,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65922,110,29
39,豐漁：羅斯利特灣,達成條件：小隊全體在羅斯利特灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65922,110,30
40,四海大寶貝,達成條件：小隊全體合計釣到350隻以上的貝類。,65930,130,52
41,魷型中隊精英,達成條件：小隊全體合計釣到400隻以上的魷魚。,65931,130,53
42,大蝦可重新來過,達成條件：個人合計釣到50隻以上的蝦類。,65932,120,54
43,豐漁：賽蓮海,達成條件：小隊全體在賽蓮海合計釣到10種以上的魚類。,65926,110,40
44,豐漁：賽蓮海,達成條件：小隊全體在賽蓮海合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65926,110,41
45,豐漁：賽蓮海,達成條件：小隊全體在賽蓮海合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65926,110,42
46,豐漁：黃金港,達成條件：小隊全體在黃金港合計釣到10種以上的魚類。,65927,110,43
47,豐漁：黃金港,達成條件：小隊全體在黃金港合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65927,110,44
48,豐漁：黃金港,達成條件：小隊全體在黃金港合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65927,110,45
49,豐漁：紅玉海,達成條件：小隊全體在紅玉海合計釣到10種以上的魚類。,65928,110,46
50,豐漁：紅玉海,達成條件：小隊全體在紅玉海合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65928,110,47
51,豐漁：紅玉海,達成條件：小隊全體在紅玉海合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65928,110,48
52,豐漁：無二江,達成條件：小隊全體在無二江合計釣到10種以上的魚類。,65929,110,49
53,豐漁：無二江,達成條件：小隊全體在無二江合計釣到9種以上的魚類。（已根據小隊人數進行調整）,65929,110,50
54,豐漁：無二江,達成條件：小隊全體在無二江合計釣到8種以上的魚類。（已根據小隊人數進行調整）,65929,110,51
