#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,防護職業裝備,1,75
2,近戰職業裝備（龍騎士·奪魂者）,2,76
3,近戰職業裝備（武僧·武士）,3,77
4,遠程物理職業裝備,4,78
5,近戰職業裝備（忍者·毒蛇劍士）,5,104
6,治療職業裝備,6,80
7,遠程魔法職業裝備,7,79
8,戰鬥相關道具,8,0
9,能工巧匠裝備,9,33
10,製作相關道具,10,0
11,大地使者裝備,11,32
12,採集相關道具,12,0
13,防護職業裝備,13,75
14,近戰職業裝備（龍騎士·奪魂者）,14,76
15,近戰職業裝備（武僧·武士）,15,77
16,遠程物理職業裝備,16,78
17,近戰職業裝備（忍者·毒蛇劍士）,17,104
18,治療職業裝備,18,80
19,遠程魔法職業裝備,19,79
20,戰鬥相關道具,20,0
21,能工巧匠裝備,21,33
22,製作相關道具,22,0
23,大地使者裝備,23,32
24,採集相關道具,24,0
25,防護職業裝備,25,75
26,近戰職業裝備（龍騎士·奪魂者）,26,76
27,近戰職業裝備（武僧·武士）,27,77
28,遠程物理職業裝備,28,78
29,近戰職業裝備（忍者·毒蛇劍士）,29,104
30,治療職業裝備,30,80
31,遠程魔法職業裝備,31,79
32,戰鬥相關道具,32,0
33,能工巧匠裝備,33,33
34,製作相關道具,34,0
35,大地使者裝備,35,32
36,採集相關道具,36,0
37,防護職業裝備,37,75
38,近戰職業裝備（龍騎士·奪魂者）,38,76
39,近戰職業裝備（武僧·武士）,39,77
40,遠程物理職業裝備,40,78
41,近戰職業裝備（忍者·毒蛇劍士）,41,104
42,治療職業裝備,42,80
43,遠程魔法職業裝備,43,79
44,戰鬥相關道具,44,0
45,能工巧匠裝備,45,33
46,製作相關道具,46,0
47,大地使者裝備,47,32
48,採集相關道具,48,0
49,巧手工票交易：裝備,49,0
50,巧手工票交易：秘笈·素材·雜貨,50,33
51,大地工票交易：裝備,51,0
52,大地工票交易：素材·雜貨,52,32
53,巧手工票交易：魔晶石,53,33
54,大地工票交易：魔晶石,54,32
55,巧手工票交易：裝備,55,0
56,巧手工票交易：秘笈·素材·雜貨,56,0
57,大地工票交易：裝備,57,0
58,大地工票交易：素材·雜貨,58,0
59,巧手工票交易：裝備,59,0
60,巧手工票交易：秘笈·素材·雜貨,60,0
61,大地工票交易：裝備,61,0
62,大地工票交易：素材·雜貨,62,0
63,狼印戰績（戰鬥精英武器）,63,0
64,狼印戰績（魔法導師武器）,64,0
65,狼印戰績（戰鬥精英防具）,65,0
66,狼印戰績（魔法導師防具）,66,0
67,狼印戰績（其他）,67,1
68,,0,0
69,,0,0
70,巧手工票交易：裝備,70,0
71,巧手工票交易：秘笈·素材·雜貨,71,0
72,大地工票交易：裝備,72,0
73,大地工票交易：傳承錄·素材·雜貨,73,0
74,防護職業裝備,74,75
75,近戰職業裝備（龍騎士·奪魂者）,75,76
76,近戰職業裝備（武僧·武士）,76,77
77,近戰職業裝備（忍者·毒蛇劍士）,77,104
78,遠程物理職業裝備,78,78
79,治療職業裝備,80,80
80,遠程魔法職業裝備,79,79
81,戰鬥相關道具,81,0
82,能工巧匠裝備,82,33
83,製作相關道具,83,0
84,大地使者裝備,84,32
85,採集相關道具,85,0
86,,0,0
