#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,無形之聲,,341,0,1
2,碧海之寶,,341,1,2
3,利姆萊茵的傳說,,341,2,3
4,後會無期,,341,3,4
5,傾注之光,,341,4,5
6,熟睡鬼,,341,5,6
7,成千上萬的精靈,,341,6,7
8,不速之客,,341,7,8
9,火焰之日,,341,8,9
10,太陽之都,,341,9,10
11,小小的犧牲,,341,10,11
12,災難降臨,,341,11,12
13,開端,,341,12,13
14,拼死的救出作戰,,341,13,14
15,利害的調停者,,341,14,15
16,異質者,,341,15,16
17,炎獄之神,,341,16,17
18,阿拉米格解放軍,,341,17,18
19,重疊的未來,,341,18,19
20,債鬼致富記,,343,59,20
21,守護者啟程,,343,60,21
22,硬幣的正反面,,343,61,22
23,陪練對手,,343,79,23
24,自由的權利,,343,80,24
25,興奮的代價,,343,81,25
26,斷罪黨的洗禮,,343,99,26
27,我們是海盜,,343,100,27
28,微笑注視吧,,343,101,28
29,巴德龍的推薦,,343,139,29
30,繆恩的推薦,,343,140,30
31,莫莫蒂的推薦,,343,141,31
32,想更換搭檔,,343,143,32
33,神勇隊,,343,159,33
34,昏暗之森,,343,160,34
35,從過去伸出的手,,343,161,35
36,鬼哭隊,,343,179,36
37,石頭與黃金,,343,180,37
38,棘手的任務,,343,181,38
39,復仇委託,,343,239,39
40,馬虎的傳教士,,343,240,40
41,納爾札爾教團特約,,343,241,41
42,樹妖任務,,343,259,42
43,龍騎士的夢,,343,260,43
44,呼喚,,343,261,44
45,小小的老師,,343,299,45
46,小鬼,,343,300,46
47,聖靈的禮物,,343,301,47
48,左耳男子,,343,319,48
49,賽蓮的歌聲,,343,320,49
50,迷惑之島,,343,321,50
51,你的容顏,,343,359,51
52,芙·拉敏之花,,343,360,52
53,心臟之刃,,343,361,53
54,無言之人,,343,379,54
55,第二工作室,,343,380,55
56,師徒評價制度,,343,381,56
57,紅之章,,343,399,57
58,灰之章,,343,400,58
59,白之章,,343,401,59
60,沉睡的深淵,,343,419,60
61,化身為龍的少年,,343,420,61
62,夢境或現實,,343,421,62
63,顫抖的對決,,343,439,63
64,消失的美食家,,343,440,64
65,熱氣毒殺事件,,343,441,65
66,時間碎片,,343,459,66
67,秘藏大作戰,,343,460,67
68,逃跑的女孩,,343,461,68
69,格里達尼亞的植物根,,343,479,69
70,憧憬的大都市,,343,480,70
71,莫古利的花圃,,343,481,71
72,收拾魚人族,,343,499,72
73,魚塘精靈,,343,500,73
74,幸福時光,,343,501,74
75,業火的試煉,,342,626,75
76,梅爾凡海關的失敗,,342,632,76
77,希望之橋,,342,633,77
78,梭魚的復仇,,342,635,78
79,愛意滿滿,,342,637,79
80,茫然的海盜,,342,638,80
81,兒子的消息,,342,639,81
82,發人深思,,342,640,82
83,漣漪之音,,342,641,83
84,釣魚革命,,342,642,84
85,月色撩人,,342,643,85
86,黑色關係,,342,645,86
87,雕刻家的野心,,342,647,87
88,梭魚騎士團特殊任務,,342,652,88
89,小心夜路,,342,653,89
90,凶猛的火舌,,342,654,90
91,蔬菜革命,,342,655,91
92,惡作劇的序曲,,342,657,92
93,傳說的靈精鼠,,342,658,93
94,惡作劇的輪舞曲,,342,659,94
95,兒子的苦鬥,,342,661,95
96,遺失的日記,,342,662,96
97,藏匿的感情,,342,663,97
98,哀悼,,342,664,98
99,原初的呼喚,,342,665,99
100,森林的敵人,,342,666,100
101,把握商機的豆子,,342,667,101
102,失竊的靈魂,,342,668,102
103,幻術三皇,,342,673,103
104,輕敲門扉之人,,342,674,104
105,失眠的冒險者,,342,675,105
106,偉大的咒術老師,,342,676,106
107,顧客就是上帝,,342,678,107
108,沙蔭,,342,679,108
109,污點,,342,680,109
110,被綁架的咒術士,,342,681,110
111,悲哀的咒術士,,342,682,111
112,最美的花,,342,683,112
113,地平營地的傳令,,342,684,113
114,背德之名,,342,685,114
115,魔石與魔石精,,342,686,115
116,新商品東山再起,,342,689,116
117,強者的召喚,,342,694,117
118,安詳的小羊,,342,705,118
119,生命的境界,,342,706,119
120,最後之民,,342,707,120
121,黃金的加護,,342,725,121
122,隱密於咒劍中的誓約,,342,726,122
123,海霧中潛藏的黑市,,342,727,123
124,突擊！傳說的怪物！,,342,733,124
125,收穫供奉祭祀,,342,734,125
126,與定則抗爭的少女,,342,735,126
127,白浪中消失的秘寶,,342,736,127
128,海風警告,,342,743,128
129,貫穿怒濤的彈丸,,342,744,129
130,濤聲中帶來的幸福,,342,745,130
131,賢者阿爾德巴爾,,342,752,131
132,蜥蜴人之血,,342,753,132
133,隔壁在挖什麼,,342,754,133
134,蜥蜴人之刃,,342,755,134
135,魔石精的秘密,,342,761,135
136,眾神如是說,,342,762,136
137,良藥苦口,,342,763,137
138,魔菇的秘密,,342,764,138
139,奇妙的崇拜信,,342,770,139
140,獵戶號的美味貨品,,342,771,140
141,海盜的葡萄酒,,342,772,141
142,芳香的海上男兒,,342,773,142
143,降臨？賢者的彩蛋（烏爾達哈）,,342,788,143
144,賢者的彩蛋 奪還大作戰（烏爾達哈）,,342,789,144
145,降臨？賢者的彩蛋（格里達尼亞）,,342,793,145
146,賢者的彩蛋 奪還大作戰（格里達尼亞）,,342,794,146
147,紅蓮祭 - 烈火嘉年華 -,,342,798,147
148,守護天節 - 搗蛋鬼之謎 -,,342,799,148
149,星芒祭 - 凜冬未至 -,,342,800,149
150,降神祭 - 亂世雪人 -,,342,801,150
