#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,說話,史克爾：無所謂了……,65535,65535,10,1,1,1
2,喊話,巴茲：有人一起冒險嗎？,65535,65535,11,1,3,1
3,悄悄話,">> 克勞德： 你這衣服不錯。
蒂法 >> 克勞德，眼睛看哪呢？",65535,65535,12,1,4,1
4,小隊,(賽西爾) 你們都在哪裡？,65535,65535,14,1,5,1
5,情感動作,莉諾雅在展示自己的存在。,65535,65535,29,1,30,1
6,自訂情感動作,瑟麗絲拍了拍自己的臉。,65535,65535,28,1,31,1
7,公會,[公會]<克勞德> 我想邀請我的朋友札克斯加入這裡。,65535,65535,24,1,7,1
8,通訊貝1,[1]<莎拉> 可以的話……請一直留在……,65535,65535,16,1,20,1
9,通訊貝2,[2]<敏武> 我能夠看到你們的命運。,65535,65535,17,1,21,1
10,通訊貝3,[3]<艾麗亞> 拜託你們了……驅除黑暗……為這個世界……帶回和平……,65535,65535,18,1,22,1
11,通訊貝4,[4]<法利斯> 我回憶起來了……被我忘記的咒文！,65535,65535,19,1,23,1
12,通訊貝5,[5]<加拉夫> 太了不起了！瞧瞧咱這驚人的記憶力！,65535,65535,20,1,24,1
13,通訊貝6,[6]<洛克> 你這混蛋，一而再、再而三地來搗亂！,65535,65535,21,1,25,1
14,通訊貝7,[7]<阿爾芭> 我美麗的肌膚都被沙漠風化了……,65535,65535,22,1,26,1
15,通訊貝8,[8]<提奧多爾> 我要憑藉自己的力量前進！,65535,65535,23,1,27,1
16,呼喊,克勞德：艾莉絲！！,65535,65535,30,1,2,1
17,團隊,((斯諾)) 英雄出馬！,65535,65535,15,1,6,1
18,新人頻道,[新人]艾莉絲：遇到什麼麻煩了嗎？,65535,65535,27,1,28,1
19,戰隊,[戰隊]<吉坦> 你好！,65535,65535,36,1,8,1
20,跨界通訊貝1,[跨界貝1]<尤菲> 你好！,65535,65535,37,1,10,1
21,系統資訊,向克勞德發送了入隊邀請。,65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,採集系統資訊,這片地域好像沒有礦脈及石場。,65535,65535,59,2,4,1
24,錯誤資訊,向克勞德發送悄悄話失敗。,65535,65535,60,2,5,1
25,默語,默語,65535,65535,56,2,6,1
26,NPC角色對話,巴德龍：有什麼我可以幫你的？,65535,65535,61,2,16,4
27,掉落品訊息,史克爾得到了玉者之劍。,65535,65535,62,2,20,1
28,自己的成長資訊,等級提升了！  史克爾升到了51級。,258,65535,64,2,25,1
29,他人的成長資訊,等級提升了！  莉諾雅升到了52級。,2289,65535,64,2,27,1
30,自己的戰利品資訊,史克爾在需求條件下對「玉者之劍」擲出了1點。,2,65535,65,2,30,1
31,他人的戰利品資訊,莉諾雅在需求條件下對「玉者之劍」擲出了99點。,65532,65535,65,2,31,1
32,自己的製作資訊,史克爾製作「英雄之藥」成功！,2,65535,66,2,35,1
33,他人的製作資訊,莉諾雅製作「聖戰之藥」成功！,28,65535,66,2,36,1
34,交流簿的新留言,公會房屋的交流簿有新的留言。,65535,65535,79,2,49,1
35,自己的採集資訊,史克爾開始了採掘作業。,3,65535,67,2,40,1
36,他人的釣魚成果,垂釣老人成功釣上了**羅敏薩鯷魚**（3.3星寸）。,252,65535,67,2,41,0
37,自己的戰鬥系統資訊,史克爾將毛爾波爾打倒了。,1807,65535,58,2,2,2
38,他人的戰鬥系統資訊,莉諾雅將毛爾波爾打倒了。,2193,65535,58,2,3,0
39,NPC角色通告,布萊蒙達：我是在這一帶行商的旅行商人。,65535,65535,68,2,17,1
40,公會通告,公會消息：更改了階級的序列。,65535,65535,69,2,11,1
41,公會成員上線通知,公會消息：克勞德上線了。,65535,65535,70,2,13,1
42,隊友的成長資訊,等級提升了！  克勞德升到了51級。,1548,65535,64,2,26,1
43,市場出售資訊,在烏爾達哈市場以100 Gil的價格出售的「緞帶」成功售出，獲得了95 Gil。,65535,65535,71,2,15,1
44,隊員招募的通知資訊,當前共有12個隊伍正在招募隊員，其中有3個符合搜尋條件。,65535,65535,72,2,45,1
45,標記設置資訊,史克爾對塞爾標注了「萬事通1」標記。,65535,65535,73,2,46,1
46,擲骰的資訊,西捷亞擲出了666點！,65535,65535,74,2,47,1
47,新人頻道通知,"加入了新人頻道。
當前參加人數：指導者10人/新人30人",65535,65535,75,2,10,1
48,管弦樂琴的播放資訊,播放了《水晶序曲　～冒險的序章～》。,65535,65535,76,2,48,1
49,戰隊通告,戰隊消息：梵恩加入了戰隊。,65535,65535,77,2,12,1
50,戰隊成員上線通知,戰隊消息：吉坦上線了。,65535,65535,78,2,14,1
51,自己造成傷害,史克爾發動攻擊  毛爾波爾受到了9999點傷害。,2,65535,41,4,1,2
52,自己的攻擊落空,史克爾發動攻擊  失誤了！,2,65535,42,4,2,2
53,自己的技能,"史克爾正在詠唱「火光」。
史克爾中斷了詠唱「火光」。",2,65535,43,4,3,2
54,自己的道具,"史克爾正在使用「萬靈藥」。
史克爾中斷了使用「萬靈藥」。",2,65535,44,4,4,2
55,自己進行恢復,   史克爾恢復了9999點HP。,2,65535,45,4,5,2
56,自己給他人附加強化狀態,   對史克爾附加了「物防護」的效果。,2,65535,46,4,6,2
57,自己給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,2,65535,47,4,7,2
58,自己受到傷害,毛爾波爾發動攻擊  史克爾受到了9999點傷害。,65535,2,41,4,8,2
59,自己迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,2,42,4,9,2
60,對自己發動的技能,"莉諾雅正在詠唱「物防護」。
莉諾雅中斷了詠唱「物防護」。",65535,2,43,4,10,2
61,對自己使用的道具,"莉諾雅使用了「萬靈藥」。
莉諾雅中斷了使用「萬靈藥」。",65535,2,44,4,11,2
62,自己接受恢復,   史克爾恢復了9999點HP。,65535,2,45,4,12,2
63,自己接收他人的強化狀態,   對史克爾附加了「物防護」的效果。,65535,2,46,4,13,2
64,自己接收他人的弱化狀態,   對史克爾附加了「沉默」的效果。,65535,2,47,4,14,2
65,自己的強化狀態效果消失,史克爾的「物防護」狀態效果消失了。,65535,2,48,4,15,2
66,自己的弱化狀態效果消失,史克爾的「沉默」狀態效果消失了。,65535,2,49,4,16,2
67,鬧鐘通知資訊, 鬧鐘 -  12:34,65535,65535,55,2,50,1
68,武具投影通知情報,優娜將大召喚士禮服的外型投影到了舊日王國詠咒外套上。,65535,65535,54,2,51,1
69,,,0,0,0,0,0,0
70,,,0,0,0,0,0,0
71,隊友造成傷害,克勞德發動攻擊  毛爾波爾受到了9999點傷害。,4,65535,41,5,1,2
72,隊友的攻擊落空,克勞德發動攻擊  失誤了！,4,65535,42,5,2,2
73,隊友的技能,"克勞德正在詠唱「火光」。
克勞德中斷了詠唱「火光」。",4,65535,43,5,3,2
74,隊友的道具,"克勞德正在使用「萬靈藥」。
克勞德中斷了使用「萬靈藥」。",4,65535,44,5,4,2
75,隊友進行恢復,   克勞德恢復了9999點HP。,4,65535,45,5,5,2
76,隊友給他人附加強化狀態,   對克勞德附加了「物防護」的效果。,4,65535,46,5,6,2
77,隊友給他人附加弱化狀態,   對毛爾波爾附加了「失明」的效果。,4,65535,47,5,7,2
78,隊友受到傷害,毛爾波爾發動攻擊  克勞德受到了9999點傷害。,65535,4,41,5,8,2
79,隊友迴避了攻擊,毛爾波爾發動攻擊  失誤了！,65535,4,42,5,9,2
80,對隊友發動的技能,"蒂法正在詠唱「物防護」。
蒂法中斷了詠唱「物防護」。",65535,4,43,5,10,2
81,對隊友使用的道具,"蒂法使用了「萬靈藥」。
蒂法中斷了使用「萬靈藥」。",65535,4,44,5,11,2
82,隊友接受恢復,   克勞德恢復了9999點HP。,65535,4,45,5,12,2
83,隊友接收他人的強化狀態,   對克勞德附加了「物防護」的效果。,65535,4,46,5,13,2
84,隊友接收他人的弱化狀態,   對克勞德附加了「沉默」的效果。,65535,4,47,5,14,2
85,隊友的強化狀態效果消失,克勞德的「物防護」狀態效果消失了。,65535,4,48,5,15,2
86,隊友的弱化狀態效果消失,克勞德的「沉默」狀態效果消失了。,65535,4,49,5,16,2
87,,,0,0,0,0,0,0
88,,,0,0,0,0,0,0
89,,,0,0,0,0,0,0
90,,,0,0,0,0,0,0
