#,Text,LogKind,Unknown0,Unknown1,Unknown_70,Unknown2
0,,0,0,0,0,False
1,向發送了入隊邀請。,57,1,0,0,False
2,發來的入隊邀請被取消了。,57,1,0,0,False
3,收到了發來的入隊邀請。,57,33,0,0,False
4,退出了小隊。,57,1,0,0,False
5,小隊解散了。,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,將加入到黑名單中。,57,1,0,0,False
9,將從黑名單中移除。,57,1,0,0,False
10,向發送了好友邀請。,57,33,0,0,False
11,收到了發來的好友邀請。,57,33,0,0,False
12,將從好友名單中移除。,57,1,0,0,False
13,向發送了加入通訊貝「」的邀請。,57,1,0,0,False
14,收到了發來的加入通訊貝「」的邀請。,57,33,0,0,False
15,將任命為「」的隊長。,57,1,0,0,False
16,解除了作為「」隊長的任命。,57,1,0,0,False
17,退出了通訊貝「」。,57,1,0,0,False
18,通訊貝「」解散了。,57,33,0,0,False
19,被移除出了通訊貝「」。,57,1,0,0,False
20,被移除出了通訊貝「」。,57,1,0,0,False
21,通訊貝「」的管理員許可權轉交給了。,57,1,0,0,False
22,通訊貝「」的管理員許可權轉交給了。,57,33,0,0,False
23,接受了通訊貝「」的隊長任命。,57,33,0,0,False
24,解除了通訊貝「」的隊長任命。,57,1,0,0,False
25,郵件已發送。,57,33,0,0,False
26,郵件已刪除。,57,1,0,0,False
27,從郵件中獲得了×UNKNOWN。,57,1,0,0,False
28,從郵件中獲得了0Gil。,57,1,0,0,False
29,由於未領取好友發來的道具，現已無法收到更多來自好友的道具郵件。,60,9,0,0,False
30,現在無法進行交易。,60,8,0,0,False
31,該道具無法交易給其他玩家。,60,8,0,0,False
32,向發送了交易申請。,57,1,0,0,False
33,等待確認交易內容。,57,1,0,0,False
34,收到了發來的交易申請。,57,1,0,0,False
35,交易開始。,57,1,0,0,False
36,交易取消。,57,1,0,0,False
37,交易內容變更。,57,1,0,0,False
38,交易完成。,57,33,0,0,False
39,無法進行交易，背包已滿。,60,8,0,0,False
40,無法進行交易，對方背包已滿。,60,8,0,0,False
41,有損耗的道具無法進行交易。,60,8,0,0,False
42,無法進行交易，珍稀道具只能持有一個。,60,8,0,0,False
43,無法進行交易，對方已經持有珍稀道具。,60,8,0,0,False
44,離開交易對象會中斷交易。,57,8,0,0,False
45,已達到可輸入文字上限。,60,8,0,0,False
46,無法交易，所持Gil已達上限。,60,8,0,0,False
47,無法進行交易，對方所持Gil已達上限。,60,8,0,0,False
48,無法向「忙碌中」狀態的玩家申請交易。,60,8,0,0,False
49,無法向UNKNOWN發送悄悄話，對方現在處於「忙碌中」狀態。,60,1,0,0,False
50,向UNKNOWN發送悄悄話失敗。,60,1,0,0,False
51,沒有找到目標玩家。,60,8,0,0,False
52,開始跟隨。,57,33,0,0,False
53,取消跟隨。,57,33,0,0,False
54,無法完成交易。,60,8,0,0,False
