#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,開拓目標：建造小島木屋,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,開拓目標：建造小島木屋,**再次聽取貓耳小員的說明**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,開拓目標：建造小島木屋,"**在收穫模式下收集開拓素材
向貓耳小員報告**",再次聽取貓耳小員的說明,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,開拓目標：建造小島木屋,"**在開拓製作視窗中製作開拓用石斧
向貓耳小員報告**",在收穫模式下收集開拓素材 向貓耳小員報告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,開拓目標：建造小島木屋,**收集開拓素材建造小島木屋**,在開拓製作視窗中製作開拓用石斧 向貓耳小員報告,0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,開拓目標：建造小島木屋,**向貓耳小員報告**,收集開拓素材建造小島木屋,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,開拓目標：在耕地種植作物,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,開拓目標：在耕地種植作物,**委託耕種小員整地**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,開拓目標：在耕地種植作物,**聽取耕種小員的說明**,委託耕種小員整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
10,開拓目標：在耕地種植作物,**使用播種模式在耕地種下選好的種子**,聽取耕種小員的說明,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,開拓目標：在耕地種植作物,**使用澆水模式為種下的種子澆水**,使用播種模式在耕地種下選好的種子,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,開拓目標：在耕地種植作物,**向耕種小員報告**,使用澆水模式為種下的種子澆水,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,開拓目標：在牧場餵食動物,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,開拓目標：在牧場餵食動物,**委託放牧小員整地**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,開拓目標：在牧場餵食動物,**聽取放牧小員的說明**,委託放牧小員整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
16,開拓目標：在牧場餵食動物,**使用捕獸模式捕捉動物**,聽取放牧小員的說明,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,開拓目標：在牧場餵食動物,**聽取放牧小員的說明**,使用捕獸模式捕捉動物,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,開拓目標：在牧場餵食動物,**使用餵食模式為動物餵食**,聽取放牧小員的說明,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,開拓目標：在牧場餵食動物,**向放牧小員報告**,使用餵食模式為動物餵食,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,開拓目標：建設開拓工坊做好貿易的準備,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,開拓目標：建設開拓工坊做好貿易的準備,**委託開拓小員1號整地**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,開拓目標：建設開拓工坊做好貿易的準備,**聽取開拓小員1號的說明**,委託開拓小員1號整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,開拓目標：建設開拓工坊做好貿易的準備,"**收集開拓素材
在開拓製作視窗中製作開拓無人島用石錘**",聽取開拓小員1號的說明,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,開拓目標：建設開拓工坊做好貿易的準備,**收集開拓素材建造開拓工坊**,收集開拓素材 在開拓製作視窗中製作開拓無人島用石錘,0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
25,開拓目標：建設開拓工坊做好貿易的準備,**向開拓小員1號報告**,收集開拓素材建造開拓工坊,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
26,開拓目標：自由開拓無人島,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
27,開拓目標：自由開拓無人島,**按照自己的想法開拓小島**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
28,開拓目標：尋找更高的目標,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
29,開拓目標：尋找更高的目標,**按照自己的想法磨練開拓的本領**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
30,開拓目標：調查小島的傳聞,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
31,開拓目標：調查小島的傳聞,**調查山脈**,聽取貓耳小員的說明,40,420,-145,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
32,開拓目標：調查小島的傳聞,**向貓耳小員報告**,調查山脈,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
33,開拓目標：調查小島的傳聞,**聽取探險小員的說明**,向貓耳小員報告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
34,開拓目標：調查小島的傳聞,"**在開拓製作視窗中製作魔法人偶用碎岩設備
向探險小員報告**",聽取探險小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
35,開拓目標：進一步充實無人島,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
36,開拓目標：進一步充實無人島,**進一步按照自己的想法充實無人島**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
37,開拓目標：調查山洞,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
38,開拓目標：調查山洞,**聽取探險小員的說明**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
39,開拓目標：調查山洞,**調查山洞**,聽取探險小員的說明,40,310,-255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,1
40,開拓目標：調查山洞,**向探險小員報告**,調查山洞,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
41,開拓目標：調查山洞,"**在開拓製作視窗中製作真厲害級魔法人偶用碎岩設備
交給探險小員**",向探險小員報告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
42,開拓目標：將無人島開拓到極致,**聽取貓耳小員的說明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
43,開拓目標：將無人島開拓到極致,**將無人島開拓到極致**,聽取貓耳小員的說明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
44,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
