#,Quest,InstanceContent,QuestSequence
0,0,0,255
1,0,67,255
2,0,68,255
3,0,71,255
4,69183,0,4
5,69477,0,2
6,69620,0,2
7,69932,0,2
8,69988,0,3
9,69956,0,5
10,68815,0,4
11,69893,0,255
12,0,78,255
13,0,80,255
14,0,83,255
15,0,82,255
16,0,81,255
17,0,84,255
18,0,85,255
19,0,79,255
20,0,87,255
21,0,88,255
22,0,89,255
23,0,90,255
24,0,91,255
25,70396,0,6
26,70469,0,2
27,70484,0,4
28,70462,0,4
29,0,94,255
30,0,92,255
31,0,96,255
32,0,97,255
33,0,93,255
34,0,95,255
35,0,98,255
36,0,99,255
37,0,100,255
38,0,101,255
39,70847,0,255
