#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,絨絨火焰,"對莫古利前方的1名敵人造成UNKNOWN點傷害
消耗MP：UNKNOWN　複唱回合：UNKNOWN",20,0,15,30,3,1,1,1
2,絨絨小型隕石,"對莫古利前方第UNKNOWN格，以及此格周圍的敵人造成UNKNOWN點傷害
消耗MP：UNKNOWN　複唱回合：UNKNOWN",10,8,25,40,4,3,3,2
3,絨絨隕石,"對所有敵人造成UNKNOWN點傷害
消耗MP：UNKNOWN　複唱回合：UNKNOWN",15,0,50,80,10,0,0,3
4,澎澎療傷,"恢復莫古利UNKNOWN點HP
消耗MP：UNKNOWN　複唱回合：UNKNOWN",50,0,0,10,1,0,0,4
5,絨絨復原,"解除莫古利身上除死亡宣告外所有的弱化效果
消耗MP：UNKNOWN　複唱回合：UNKNOWN",0,0,0,20,3,0,0,5
6,絨絨護盾,"為莫古利附加能夠抵禦傷害的防護罩
持續回合：UNKNOWN
消耗MP：UNKNOWN　複唱回合：UNKNOWN",0,0,0,30,3,0,0,6
7,絨絨浮空,"讓莫古利浮空，免受地面效果的影響
持續回合：UNKNOWN
消耗MP：UNKNOWN　複唱回合：UNKNOWN",0,0,0,20,3,0,0,7
8,絨絨復生,"莫古利陷入無法戰鬥狀態時自動復活1次
持續回合：永久
消耗MP：UNKNOWN　複唱回合：UNKNOWN",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
