#,Unknown0,Unknown1,Unknown2
0,,0,False
1,第1關：新手教學,349,False
2,第2關：到處都是陸行鳥,349,False
3,第3關：萬事開頭難,349,False
4,第4關：小小巨獸,350,True
5,第5關：蠻族叛亂,349,False
6,第6關：恐怖的墓園,351,True
7,第7關：勁敵共鬥,349,False
8,第8關：光暗之界乃拂曉,349,False
9,第9關：銅山爆破,352,True
10,第10關：曼德拉之子,349,False
11,第11關：女王陛下萬歲！,349,False
12,第12關：打磚塊,353,True
13,第13關：首席機工師,349,False
14,第14關：硬如堅果,349,False
15,第15關：極小奧汀殲滅戰,354,True
16,第16關：陸行鳥大進軍,349,False
17,第17關：披雪小冰壁,349,False
18,第18關：小狩獵任務,349,False
19,第19關：極小吉爾伽美什殲滅戰,355,True
20,第20關：願水晶給予你指引,349,False
21,第21關：賢者的試煉,349,False
22,第22關：暗淡的世界,349,False
23,第23關：巴哈姆特小迷宮邂逅之章,356,True
24,第24關：巴哈姆特小迷宮真源之章,357,True
25,,349,False
26,,349,False
27,,349,False
28,,349,False
29,,349,False
30,,349,False
31,,349,False
32,,349,False
33,,349,False
