#,Text,BalloonTime,Unknown0,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,1,0,1,0,1,25,False,False,False,False,False
1,0,1,0,3,0,1,25,False,False,False,False,False
2,快！誰來幫個忙！,5,0,3,0,1,25,False,False,False,False,False
3,小心！魔物過來了！,5,0,3,0,1,25,False,False,False,False,False
4,小頑童要出來了！不要放它們走！,5,0,3,0,1,25,False,False,False,False,False
5,該死！數量太多了！,5,0,3,0,1,25,False,False,False,False,False
6,魔物已經衝到那裡了！,5,0,3,0,1,25,False,False,False,False,False
7,風精靈族要過來了！注意警戒！,5,0,3,0,1,25,False,False,False,False,False
8,魔物的數量增加了！大家小心！,5,0,3,0,1,25,False,False,False,False,False
9,這裡的治安就交給我們維護！,5,0,3,0,1,25,False,False,False,False,False
10,不要讓盜賊們給看扁了！,5,0,3,0,1,25,False,False,False,False,False
11,奧猴衝向豆子去了！,5,0,3,0,1,25,False,False,False,False,False
12,鳥人族攻過來了！,5,0,3,0,1,25,False,False,False,False,False
13,那是……席茲？！,5,0,3,0,1,25,False,False,False,False,False
14,竟然又來了？！我們必須保護好樹苗！,5,0,3,0,1,25,False,False,False,False,False
15,魔物們現在很亂！要小心！,5,0,3,0,1,25,False,False,False,False,False
16,該死……得換個戰術了！,5,0,3,0,1,25,False,False,False,False,False
17,破碎金龜！把他們都幹掉！,5,0,3,0,1,25,False,False,False,False,False
18,有人能來協助我們一下嗎？,5,0,3,0,1,25,False,False,False,False,False
19,誰能來幫幫我！,5,0,3,0,1,25,False,False,False,False,False
20,什麼？魔像竟然這麼……,5,0,3,0,1,25,False,False,False,False,False
21,可惡的小頑童！竟然還來！,5,0,3,0,1,25,False,False,False,False,False
22,我們養的花又被吃了……,5,0,3,0,1,25,False,False,False,False,False
23,鳥人族過來了！準備迎擊！,5,0,3,0,1,25,False,False,False,False,False
24,誰！誰能來幫幫我！,5,0,3,0,1,25,False,False,False,False,False
25,好！出擊！,5,0,3,0,1,25,False,False,False,False,False
26,唔哦！,5,0,2,0,1,25,False,False,False,False,False
27,哈啊！,5,0,2,0,1,25,False,False,False,False,False
28,嘿！,5,0,2,0,1,25,False,False,False,False,False
29,嗨！,5,0,2,0,1,25,False,False,False,False,False
30,還沒完呢！,5,0,2,0,1,25,False,False,False,False,False
31,混蛋！,5,0,2,0,1,25,False,False,False,False,False
32,喝呀！,5,0,2,0,1,25,False,False,False,False,False
33,才這點程度！,5,0,2,0,1,25,False,False,False,False,False
34,呀哈！,5,0,2,0,1,25,False,False,False,False,False
35,噢噢噢噢！,5,0,2,0,1,25,False,False,False,False,False
36,滾開！,5,0,2,0,1,25,False,False,False,False,False
37,宰了你！,5,0,2,0,1,25,False,False,False,False,False
38,那就陪你玩玩。,5,0,2,0,1,25,False,False,False,False,False
39,你想當我的對手？,5,0,2,0,1,25,False,False,False,False,False
40,跪下！,3,0,2,0,1,25,False,False,False,False,False
41,再叫點好聽的！,3,0,2,0,1,25,False,False,False,False,False
42,不用客氣。,3,0,2,0,1,25,False,False,False,False,False
43,別太狂了！,5,0,2,0,1,25,False,False,False,False,False
44,不來點刺激的嗎！,5,0,2,0,1,25,False,False,False,False,False
45,跳吧！,3,0,2,0,1,25,False,False,False,False,False
46,你想要這個？,3,0,2,0,1,25,False,False,False,False,False
47,哎哎！,3,0,2,0,1,25,False,False,False,False,False
48,想來報仇嗎？,5,0,2,0,1,25,False,False,False,False,False
49,你、你給我記著！,5,0,2,0,1,25,False,False,False,False,False
50,哈哈哈哈，真過癮！,5,0,2,0,1,25,False,False,False,False,False
51,嗚……饒了我吧……,5,0,2,0,1,25,False,False,False,False,False
