#,Unknown0,Unknown1,Unknown2
0,無効,無効,False
100,冒險,信步而行 信馬由韁 長風破浪,True
101,,天空海闊 無邊無涯 氣象一新,True
102,,探索筆記 追憶之地 感今懷昔,True
103,,天高氣爽 晴空萬里 風和日麗,True
104,,市井尋蹤 人潮洶湧 天賜良機,True
105,,飲茶小憩 邂逅之人 或為助力,True
106,,多多結交 體格健壯 高大之士,True
200,關係,英雄般的成就獲取的榮耀與信賴將會為你帶來答案,True
201,,永結同心的誓言將會為你帶來好運,True
202,,旅途中常有好友相助 切莫忘記時刻心懷感激,True
203,,星星將指引你與命中注定的人相遇,True
204,,和夥伴們並肩同行吧 好運將常伴你的身邊,True
205,,友誼始終相隨，即便踏上未知大地也要無畏前行,True
206,,和各種族建立緣分吧，將會獲得黃金之報,True
300,財產,清心寡欲 好運伴你 快把戰利品帶回家吧！,True
301,,發財致富 現在就去金碟遊樂園吧！,True
302,,好運當頭 機不可失 快去開個寶箱吧！,True
303,,心隨意動 想開門便開門！ 想稱霸就稱霸！,True
304,,大好商機 你的生意即將大賺一筆！,True
305,,長久的友情，將帶來豐厚的回報,True
306,,可得意外珍寶，應好好慰勞雇員,True
400,戰鬥,去戰鬥吧！每個強敵都將成為你登上高峰的墊腳石,True
401,,去鍛鍊吧！練習技術將帶你找到通往勝利的真理,True
402,,去交友吧！戰友或將是你成長的契機,True
403,,去學習吧！學習新的職業新的技術將帶給你飛躍的成長,True
404,,去鍛鍊吧！練習循環將帶你找到通往勝利的真理,True
500,運勢,戰爭神般的求勝之心將引你獲得無數的勝利,True
501,,月亮神般的慈愛之心將引你獲得眾人的喜愛,True
502,,太陽神般的熱情之心將引你尋得通往目標的捷徑,True
503,,海之女神般的決斷之心將引你乘風破浪取得飛躍,True
504,,放浪神般的好奇之心將引你在旅途中獲得無數愉快的邂逅,True
1100,冒險,宜獨行 浪跡天涯 踏遍天下 獨享寧靜,True
1101,,宜回憶 追憶往昔 昨日重現 常看常新,True
1102,,宜節慶 冬去春來 萬家歡喜 普天同慶,True
1103,,宜群集 大街小巷 人聲鼎沸 邂逅相逢,True
1104,,宜遠行 勇者不懼 勇往直前 功成名立,True
1105,,宜妝點 身份銘牌 修飾妥當 會有相遇,True
1106,,宜出行 萬丈豪光 照射之地 冒險之旅,True
1200,關係,你應當做好心理準備迎接一場不期而遇,True
1201,,重視你的每一次邂逅 緣分就在不經意之間,True
1202,,帶頭尋找夥伴吧 你的良緣就在其中,True
1203,,有好友相助 滴水之恩也值得你湧泉相報,True
1204,,驟然的相遇或許沒有結果 但時間將為你帶來答案,True
1205,,星之歌能孕育情誼，循著悠遠的幻想前行吧,True
1206,,把握時機同心協力，通往遙遠星球之路亦能開拓,True
1300,財產,靜待良機 遊樂園裡將有大賺頭！,True
1301,,乘風破浪 海釣將有大豐收！,True
1302,,安家置業 造房子將帶來好運！,True
1303,,放手一搏 舊的不去新的不來！,True
1304,,積少成多 賺大錢先要賺小錢！,True
1305,,嚮往新月星辰之旅，跟隨指引累積財富,True
1306,,拜訪老主顧，可得穩健利益,True
1400,戰鬥,跨過障礙吧！和夥伴們攜手熱戰一場,True
1401,,維持現狀吧！靜心努力打下扎實的基礎,True
1402,,馳騁牌桌吧！運籌帷幄成為偉大的謀士,True
1403,,追捕魔物吧！踏遍各地追捕邪惡魔物將為你帶來好運,True
1404,,維持現狀吧！靜心努力打下扎實的基礎,True
1500,運勢,你如行星神般的智慧之力將引你跨越難關轉危為安,True
1501,,你如破壞神般的勇氣之力將引你打倒勁敵日益強大,True
1502,,你如工藝神般的想像之力將引你在工匠之路上步步成長,True
1503,,你如商貿神般的敏銳眼力將引你發現商機賺得財富,True
1504,,你如大地神般的包容之力將引你締結嶄新的關係,True
2100,冒險,堅忍不拔 自信自勵 前路為開,True
2101,,蛛絲馬跡 疑蹤探案 請調查員 吉,True
2102,,風土人情 民俗習慣 耳目一新,True
2103,,良師益友 結伴同遊 稱心快活,True
2104,,投身洪流 隨潮浪湧 天命所歸,True
2105,,置身孤島 種田養雞 頤養天年,True
2106,,十二之數 相關場所 巡禮之旅,True
2200,關係,時刻勿忘感恩 感恩將帶給你緣分,True
2201,,身邊的好友就是你的至寶 務必珍惜與你同行的好友,True
2202,,同好雖來自異國他鄉 但你的勇氣將成就你們的緣分,True
2203,,勇敢地表達自己吧 比手畫腳也比閉口不談強,True
2204,,裹足不前哪有良緣 快去參加冒險者們舉辦的活動吧,True
2205,,不吝分享，累積的人望終將助你一臂之力,True
2206,,結識戰友，向鬥技場的巔峰邁進吧,True
2300,財產,日積月累 哪怕金額不大 賺了就是賺了,True
2301,,遷地為良 莫要錯失商機,True
2302,,山珍異草 在山野地區採集有商機,True
2303,,夥伴關係 朋友的介紹將帶來商機,True
2304,,空海奇珍 潛水艇與飛空艇可能帶來財寶,True
2305,,演習場中有福報，收集獎盃吧,True
2306,,取得資源，務必把握時機,True
2400,戰鬥,能贏！ 記得帶夠藥和食物,True
2401,,艱難取勝！ 調整一下裝備會更好,True
2402,,能贏！ 但要戒驕戒躁 不因掉以輕心而失敗,True
2403,,你們能贏！ 和同伴們調整好步調一起上吧！,True
2404,,你們能贏！ 和同伴們調整好步調一起上吧！,True
2500,運勢,你如光陰神般的信念將引你避開他人的誘惑,True
2501,,你如知識神般的學識將引你從災難中脫身,True
2502,,你如戰爭神般的雄心將引你在戰鬥中堅持到最後,True
2503,,你如月亮神般的眼光將引你高瞻遠矚縱觀全域,True
2504,,你如太陽神般的豪爽將引你和同伴走向前路,True
3100,冒險,千里之行 始於足下 謀而後動,True
3101,,異族相會 親仁善鄰 天下一家,True
3102,,前路無阻 徘徊歧路 因禍得福,True
3103,,獨行險阻 前路有難 同朋相助,True
3104,,故地重遊 他鄉歸客 時來運轉,True
3105,,尖牙利爪 豪強匯聚 展示武力,True
3106,,強化創造 神兵利器 追求實力,True
3200,關係,沒消息或算是好消息 但也別忘了常聯繫,True
3201,,舊朋友也可結新緣 別忘了聯繫老朋友,True
3202,,你的緣分或許會遲到 但只要耐心堅持相遇不會不到,True
3203,,在危機中伸出援手 或將成就你的緣分,True
3204,,重視你如今的關係吧 鞏固關係總是好的,True
3205,,極致的孤獨反而富有趣味，一切取決於心境,True
3206,,憑藉眼鏡的光芒，看清人心的真誠吧,True
3300,財產,退步抽身 越是遲疑損失越大,True
3301,,如數家珍 你應當檢查自己財產,True
3302,,福禍相依 不懼損失便能取得一定的利益,True
3303,,揮金如土 便能得到自己真正想要的東西,True
3304,,金蘭之交 好友將助你一臂之力,True
3305,,適合靈活運用的土地為佳,True
3306,,祭典中藏有寶物，務必仔細巡訪,True
3400,戰鬥,別放棄！每次倒下都會讓你變得更強大,True
3401,,別掉以輕心！每場戰鬥都要全力以赴,True
3402,,別胡思亂想！每次練習都要專心致志,True
3403,,鍛鍊吧！和夥伴們同心協力繼續練習,True
3404,,鍛鍊吧！和夥伴們同心協力繼續練習,True
3500,運勢,你如海之女神般的粗獷將引你對抗命運的驚濤駭浪,True
3501,,你如放浪神般的溫良將引你面對失敗的挫折,True
3502,,你如行星神般的樂觀將引你從容應對命運起伏,True
3503,,你如破壞神般的嚴厲將引你突破難關走向勝利,True
3504,,你如工藝神般的技巧將引你靈活應對武器裝備的損毀,True
4100,冒險,鋪謀定計 精打細算 小心翼翼,True
4101,,肆意妄為 身形交瘁 防微慮遠,True
4102,,大頭鯰鯰 攔路搶劫 虛驚一場,True
4103,,前路多阻 沉心靜氣 金石為開,True
4104,,禍迫眉睫 救死扶傷 大慈大悲,True
4105,,蹦蹦跳跳 兔族領地 值得一去,True
4106,,回憶往昔 遠方之地 轉換心氣,True
4200,關係,舊友中就有良緣在 但需謹防小人,True
4201,,對方與你兩心相應 但你們之間的道路多有崎嶇,True
4202,,要相信你的好友 切莫聽信流言蜚語,True
4203,,你或將捲入紛爭亂戰 但切莫忘記你的溫柔體貼,True
4204,,你或將被人誤解 但你的真誠必將得到理解,True
4205,,當你環顧十二方而迷惘時，記得堅定自己的信仰,True
4206,,身旁邂逅無幾，跨越物理的邊界吧,True
4300,財產,小心謹慎 切莫隨意投資眼下所見並非商機,True
4301,,時運不濟 且待時來運轉再看仙人彩,True
4302,,囤貨居奇 雖不能大賺一筆卻絕不會浪費,True
4303,,入不敷出 改變僱員的裝扮或許有效,True
4304,,海中撈月 認準時間天氣釣魚,True
4305,,倉庫將滿，宜作取捨,True
4306,,可享受雅致裝扮，但恐有破財之虞,True
4400,戰鬥,要寬心！著眼同伴面對戰鬥,True
4401,,後退就是失敗！下定決心再加入戰鬥,True
4402,,不要著急！越著急越花時間,True
4403,,再試一次！雖然取得了勝利 但沒拿到想要的東西,True
4404,,再試一次！雖然取得了勝利 但沒拿到想要的東西,True
4500,運勢,你將遭遇破壞神的雷鳴般的厄運 做好準備面對它吧,True
4501,,你將遭遇戰爭神的大盾般的障礙 下定決心跨越它吧,True
4502,,你將遭遇月亮神的獵犬般的強敵 制定對策挑戰它吧,True
4503,,你將遭遇海之女神的巨浪般的困境 尋找機會應對它吧,True
4504,,你將遭遇知識神的卷軸般的難題 學習知識回答它吧,True
5100,冒險,天不作美 雨恨雲愁 稍安勿躁,True
5101,,疏忽大意 降神祭祭 險些忘記,True
5102,,當前繁忙 需要排隊 耐心等待,True
5103,,被送到小黑屋 今日請謹言慎行,True
5104,,小心隕石 謹防擊退 按時踩塔,True
5105,,幽暗漆黑 無光土地 提高運氣,True
5106,,開始之地 青澀時光 引人追憶,True
5200,關係,有回應 但表達感情時必須注意語氣,True
5201,,心系之人遙不可及 建議及早放棄,True
5202,,莫要繼續深入 再深入將陷入泥沼不可自拔,True
5203,,言談間需注意 說出不該說的話將追悔莫及,True
5204,,有崩毀離散的跡象時 應以最大的誠意應對,True
5205,,或有分別 務必小心 多多交流才能避免離心,True
5206,,虛榮會毀滅信任 真誠才能助你度過難關,True
5300,財產,有心無算 越想要的東西就越拿不到 放下執念吧,True
5301,,時運乖蹇 朋友們的傳送魔紋可以進寶庫的 對吧？,True
5302,,快樂至上 這裡不過是遊樂園而已 對物欲別太執著,True
5303,,焚香掃地 淨身洗禮 禁斷昂貴魔晶石前做好準備,True
5304,,丟三落四 忘刷神典石 現在就是出發之時,True
5305,,家當將被撤走，速速返家,True
5306,,若要在市集中豪擲千金，仍須憑自身實力換取,True
5400,戰鬥,多鍛鍊！三腳貓的本事臨陣磨槍怎能獲勝,True
5401,,雜念太多！戰鬥必須全力以赴才能取勝,True
5402,,別放棄！苦戰連連時換個方向努力或許有效,True
5403,,不要怕！連戰不勝的時候記得和同伴們互相鼓勵,True
5404,,多鍛鍊！三腳貓的本事臨陣磨槍怎能獲勝,True
5500,運勢,放下你行星神般沒有結果的愛戀 否則你將走向毀滅,True
5501,,放下你商貿神般人前人後的多變 否則你將失去信譽,True
5502,,放下你大地神般天崩地裂的怒火 否則你將陷入紛爭,True
5503,,放下你光陰神般混沌難測的處事 否則你將惹出大禍,True
5504,,放下你太陽神般肆意妄為的豪氣 否則你將傷害親朋好友,True
