#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,遊戲測試,61532,0,0,True,False,False
2,遊戲管理員,61524,0,0,True,False,False
3,遊戲管理員,61532,0,0,False,False,False
4,活動參與者,61533,3940,0,False,False,False
5,通信切斷,61503,3942,0,False,False,False
6,臨時好友,61501,0,1,False,True,False
7,臨時加入,61501,0,2,False,True,False
8,臨時加入,61501,0,3,False,True,False
9,不存在,61502,0,4,False,True,False
10,離線,61504,0,5,False,True,False
11,戰鬥指導者,61542,3947,6,False,True,False
12,忙碌中,61509,3943,7,False,True,False
13,PvP任務中,61510,0,8,False,True,False
14,幻卡對局中,61539,0,9,False,True,False
15,過場動畫中,61508,3951,10,False,True,False
16,陸行鳥運輸騎乘中,61534,0,12,False,True,False
17,離開,61511,3952,13,False,True,False
18,觀景模式中,61546,3953,14,False,True,False
19,請求修理,61512,0,15,False,True,False
20,提供修理,61513,0,16,False,True,False
21,接受鑲嵌魔晶石請求,61514,0,17,False,True,True
22,角色扮演中,61545,3941,18,False,True,False
23,希望組隊,61515,3954,19,False,True,False
24,傭兵,61516,0,20,False,True,False
25,任務搜尋申請中,61517,3950,21,False,True,False
26,隊員招募中,61536,3955,22,False,True,False
27,指導者,61540,3946,31,False,True,False
28,戰鬥指導者,61542,3947,32,False,True,False
29,製作採集指導者,61543,3948,33,False,True,False
30,PvP指導者,61544,3949,34,False,True,False
31,回歸者,61547,3945,35,False,True,False
32,新人,61523,3944,36,False,True,False
33,團隊隊長,61518,0,23,False,True,False
34,團隊小隊長,61519,0,24,False,True,False
35,團隊隊員,61520,0,25,False,True,False
36,小隊隊長,61521,3956,26,False,True,False
37,小隊隊員,61522,3957,27,False,True,False
38,跨服小隊隊長,61961,3958,28,False,True,True
39,跨服小隊隊員,61962,3959,29,False,True,True
40,封閉任務中,61535,0,30,False,True,False
41,同隊任務中,61506,0,0,False,False,False
42,同一任務的其他隊伍中,61507,0,0,False,False,False
43,任務中,61510,0,11,False,True,False
44,試玩期新人,61525,0,38,False,True,False
45,公會,0,0,0,False,False,False
46,軍隊,0,0,0,False,False,False
47,線上,61505,0,37,False,True,False
