#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
0,,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,陽傘,,0,0,0,1,0,0,2939,2,8001,1,0,1,1,1
2,天藍陽傘,,0,0,0,1,0,0,2940,2,8002,2,1,1,1,1
3,紅漆油紙傘,,0,0,0,1,0,0,3007,2,8003,3,2,1,1,1
4,紫漆油紙傘,,0,0,0,1,0,0,3008,2,8004,4,3,1,1,1
5,黃漆油紙傘,,0,0,0,1,0,0,3009,2,8005,5,4,1,1,1
6,沉穩方格陽傘,,0,0,0,1,0,0,3010,2,8006,6,5,1,1,1
7,活力方格陽傘,,0,0,0,1,0,0,3011,2,8007,7,6,1,1,1
8,典雅方格陽傘,,0,0,0,1,0,0,3012,2,8008,8,7,1,1,1
9,天使之翼,,0,0,0,1,0,0,3042,0,8013,100,8,2,0,2
10,金碟陽傘,,0,0,0,1,0,0,3169,2,8012,9,9,1,1,1
11,趣味圓點陽傘,,0,0,0,1,0,0,3166,2,8009,10,10,1,1,1
12,端莊圓點陽傘,,0,0,0,1,0,0,3167,2,8010,11,11,1,1,1
13,田園圓點陽傘,,0,0,0,1,0,0,3168,2,8011,12,12,1,1,1
14,貓小胖陽傘,,0,0,0,1,0,0,3286,2,8014,13,13,1,1,1
15,隆卡的水蛇傘？,,0,0,0,1,0,0,3287,2,8015,14,14,1,1,1
16,紅月油紙傘,,0,0,0,1,0,0,3288,2,8016,15,15,1,1,1
17,墮天使之翼,,0,0,0,1,0,0,3426,0,8017,100,16,2,0,2
18,大天使之翼,,0,0,0,1,0,0,3427,0,8018,100,17,2,0,2
19,迪亞布羅斯之翼,,0,0,0,1,0,0,3428,0,8019,101,18,3,0,2
20,仙子族之翼,,0,0,0,1,0,0,3429,0,8020,102,19,6,0,2
21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,幻象橢圓眼鏡,,0,0,0,1,0,0,3431,0,786,200,21,5,0,2
23,白色花邊陽傘,,0,0,0,1,0,0,3611,2,8023,16,22,1,1,1
24,藍色印花陽傘,,0,0,0,1,0,0,3612,2,8024,17,23,1,1,1
25,幻象金邊墨鏡,,0,0,0,1,0,0,3613,0,786,201,24,5,0,2
26,幻象經典眼鏡,,0,0,0,1,0,0,3614,0,786,202,25,7,0,2
27,仙人掌怪陽傘,,0,0,0,1,0,0,3701,2,8027,18,26,1,1,1
28,藍色仙子族之翼,,0,0,0,1,0,0,3702,0,8028,102,27,6,0,2
29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,貓耳小傘,,0,0,0,1,0,0,3815,2,8029,19,28,1,1,1
31,防雨系統,,0,0,0,1,0,0,3816,2,8030,20,29,1,1,1
32,幻象玫瑰色眼鏡,,0,0,0,1,0,0,3884,0,786,203,30,8,0,2
33,付喪神油紙傘,,0,0,0,1,0,0,3885,2,8031,22,31,1,1,1
34,監工小員傘,,0,0,0,1,0,0,3886,2,8032,21,32,1,1,1
35,拾穗人背包,,0,0,0,1,0,0,3928,0,8037,300,33,9,0,2
36,斯塔緹絲之翼,,0,0,0,1,0,0,4016,0,8034,103,34,6,0,2
37,大葉傘,,0,0,0,1,0,0,4017,2,8035,24,35,1,1,1
38,胡蘿蔔陽傘,,0,0,0,1,0,0,4018,2,8036,23,36,1,1,1
39,霓虹陽傘,,0,0,0,1,0,0,4240,2,8038,25,37,1,1,1
40,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,炸彈陽傘,,0,0,0,1,0,0,4242,2,8040,27,39,1,1,1
42,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
