#,Name,Abilities[0],Abilities[1],Abilities[2],Abilities[3],AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,NonCombatSummon,Unknown17
0,,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
1,卡邦庫爾-綠寶石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
2,卡邦庫爾-黃寶石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
3,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,False,True,True
4,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,1,False,True,True
5,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,2,False,True,True
6,朝日小仙女,803,805,7438,16544,802,100,100,100,1,2,3,4,8,0,-1,False,True,True
7,夕月小仙女,803,805,7438,16544,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
8,車型浮游砲塔,0,0,7416,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
9,象型浮游砲塔,0,0,7417,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
10,亞靈神巴哈姆特,7428,0,7449,0,0,10,20,30,0,0,0,0,0,0,-1,False,False,True
11,,0,0,7440,7441,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
12,亞靈神巴哈姆特,29676,0,29677,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
13,,0,0,17801,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
14,亞靈神鳳凰,16519,0,16518,0,0,33,66,100,0,0,0,0,0,0,-1,False,False,True
15,熾天使,16550,16551,16547,0,16548,100,100,100,0,0,0,0,0,0,-1,False,True,True
16,卡邦庫爾-月長石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
17,英雄的掠影,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
18,后型自走人偶,0,0,16503,25787,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
19,分身,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
20,亞靈神鳳凰,29681,0,29682,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
21,熾天使,29240,0,29241,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
22,分身,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
23,卡邦庫爾,25841,25842,0,0,0,100,100,100,1,2,3,5,6,7,-1,False,True,True
24,卡邦庫爾-紅寶石,0,0,25843,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,True
25,卡邦庫爾-黃寶石,0,0,25844,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,True
26,卡邦庫爾-綠寶石,0,0,25845,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,True
27,伊弗利特-艾基,0,0,25846,25849,0,100,100,100,1,2,3,4,0,0,-1,False,False,True
28,泰坦-艾基,0,0,25847,25850,0,100,100,100,1,2,3,4,0,0,-1,False,False,True
29,迦樓羅-艾基,0,0,25848,25851,0,100,100,100,1,2,3,4,0,0,-1,False,False,True
30,伊弗利特-紅寶石,0,0,25852,0,0,25,50,75,0,0,0,0,0,0,-1,False,False,True
31,泰坦-黃寶石,0,0,25853,0,0,33,66,100,0,0,0,0,0,0,-1,False,False,True
32,迦樓羅-綠寶石,0,0,25854,0,0,33,66,100,0,0,0,0,0,0,-1,False,False,True
33,,0,0,25863,25864,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
34,卡邦庫爾-琥珀石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
35,象型浮游砲塔,29413,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
36,卡邦庫爾,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
37,卡邦庫爾,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
38,卡邦庫爾-紅寶石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
39,卡邦庫爾-紅寶石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
40,卡邦庫爾-黑曜石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
41,卡邦庫爾-黑曜石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
42,卡邦庫爾-黑曜石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
43,卡邦庫爾-黑曜石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
44,卡邦庫爾-月長石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
45,卡邦庫爾-月長石,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
46,烈日巴哈姆特,36993,0,36999,0,0,13,26,40,0,0,0,0,0,0,-1,False,False,True
