#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
0,,,405,0,0,False,True,False
1,回收,收回已經招出的召喚獸,530,0,0,False,True,False
2,跟隨,讓召喚獸跟隨自己,529,0,0,False,True,False
3,移動,讓召喚獸移動到指定位置,527,0,0,False,True,False
4,待命,讓召喚獸在原地待命,528,0,0,False,True,False
5,截擊,讓召喚獸在召喚者發動攻擊或受到攻擊後才開始進行戰鬥,531,0,0,False,True,False
6,等待指示,讓召喚獸在接到召喚者的指示前不進行戰鬥,532,0,0,False,True,False
7,自主戰鬥,讓召喚獸自主攻擊,786,0,0,True,False,False
8,協助戰鬥,讓召喚獸進行攻擊， 不過一部分技能會在得到命令後才會發動,786,0,0,True,False,False
9,突風,對目標發動風屬性魔法攻擊　**威力：**90,786,637,1,True,False,False
10,吹飛,"對目標發動風屬性魔法攻擊　**威力：**80
**追加效果：**將目標擊退15米
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,638,1,True,False,False
11,下行突風,"對目標及其周圍的敵人發動風屬性範圍魔法攻擊　**威力：**80
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,639,1,True,False,False
12,綠寶石之光,"一定時間內，令目標受到的魔法傷害增加10%
**持續時間：**15秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,640,1,True,False,False
13,利爪,"對目標發動土屬性魔法攻擊　**威力：**70
**追加效果：**提升仇恨",786,633,2,True,False,False
14,黃寶石之光,"對自身周圍的敵人發動土屬性範圍魔法攻擊　**威力：**60
**追加效果：**提升仇恨
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,634,2,True,False,False
15,硬化,"一定時間內召喚獸所受到的傷害減輕20%　**持續時間：**20秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,635,2,True,False,False
16,身體衝撞,"對目標發動土屬性魔法攻擊　**威力：**60
**追加效果：**眩暈　**持續時間：**2秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,636,2,True,False,False
17,烈風刃,對目標發動風屬性魔法攻擊　**威力：**110,786,792,5,True,False,False
18,衝擊狂潮,"對目標發動風屬性魔法攻擊　**威力：**90
**追加效果：**將目標擊退15米
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,793,5,True,False,False
19,大氣斬,"對目標及其周圍的敵人發動風屬性範圍魔法攻擊　**威力：**90
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,794,5,True,False,False
20,歪風,"一定時間內，令目標受到的魔法傷害增加10%
**持續時間：**15秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,795,5,True,False,False
21,大氣爆發,"對目標及其周圍的敵人發動風屬性範圍魔法攻擊　**威力：**250
召喚者使用**“內力迸發”**時發動",786,796,5,True,False,False
22,碎石猛擊,"對目標發動土屬性魔法攻擊　**威力：**85
**追加效果：**提升仇恨",786,787,4,True,False,False
23,山崩,"對自身周圍的敵人發動土屬性範圍魔法攻擊　**威力：**70
**追加效果：**提升仇恨
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,788,4,True,False,False
24,大地守護,"一定時間內召喚獸所受到的傷害減輕20%
**持續時間：**20秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,789,4,True,False,False
25,山崩地滑,"對目標發動土屬性魔法攻擊　**威力：**70
**追加效果：**眩暈　**持續時間：**2秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,790,4,True,False,False
26,大地之怒,"對自身周圍的敵人發動土屬性範圍魔法攻擊　**威力：**200
**追加效果：**生成範圍傷害區域
**威力：**20　**持續時間：**15秒
召喚者使用**“內力迸發”**時發動",786,791,4,True,False,False
27,深紅旋風,"對目標發動火屬性魔法攻擊　**威力：**110
**追加效果：**眩暈　**持續時間：**2秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,797,3,True,False,False
28,燃火強襲,對目標發動火屬性魔法攻擊　**威力：**135,786,798,3,True,False,False
29,輝煌盾,"為自身與周圍隊員附加防護罩
**持續時間：**20秒
**防護罩效果（被攻擊時100%發動）：**攻擊者所受物理傷害提高2%　**持續時間：**4秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,799,3,True,False,False
30,烈焰碎擊,"對自身周圍的敵人發動火屬性範圍魔法攻擊　**威力：**110
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,800,3,True,False,False
31,地獄火焰,"向目標所在方向發出扇形火屬性範圍攻擊　**威力：**200
**追加效果：**火屬性持續傷害
**威力：**20　**持續時間：**15秒
召喚者使用**“內力迸發”**時發動",786,801,3,True,False,False
32,日光的擁抱,恢復目標的HP　**恢復力：**250,786,802,6,True,False,False
33,日光的低語,"持續恢復自身與周圍隊員的HP
**恢復力：**120　**持續時間：**21秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,803,6,True,False,False
34,異想的盟光,"一定時間內自身與周圍隊員的魔法防禦力提高20%
**持續時間：**20秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,804,6,True,False,False
35,異想的幻光,"一定時間內自身與周圍隊員發動治療魔法的治療量提高10%
**持續時間：**20秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,805,6,True,False,False
36,月光的擁抱,恢復目標的HP　**恢復力：**250,786,806,7,True,False,False
37,月光的沉默,"令目標陷入沉默狀態　**持續時間：**1秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,807,7,True,False,False
38,異想的柔光,"解除周圍隊員身上部分弱化效果中的一種
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,810,7,True,False,False
39,異想的流光,"一定時間內自身與周圍隊員的自動攻擊間隔、戰技與魔法的詠唱及複唱時間縮短3%
**持續時間：**30秒
**“協助戰鬥”狀態下在接到命令之前不會發動該技能**",786,811,7,True,False,False
40,攻擊模式,對敵人發動攻擊,405,0,8,True,False,False
41,支援模式,為己方提供輔助效果,405,0,8,True,False,False
42,,,405,7428,10,True,False,False
43,,,405,7449,10,True,False,False
44,,,405,7450,0,True,False,False
45,,,405,7416,8,True,False,False
46,,,405,7417,9,True,False,False
47,,,405,7438,0,True,False,False
48,,,405,7440,0,True,False,False
49,,,405,7441,0,True,False,False
50,,,405,8879,0,True,False,False
51,,,405,8881,0,True,False,False
52,,,405,9127,0,True,False,False
