#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,無効,無効,無効,0,0,0
1,ワールド全体,world,全世界,0,0,1
2,利姆薩·羅敏薩,Limsa Lominsa,利姆薩·羅敏薩,500,1,2
3,拉諾西亞,La Noscea,拉諾西亞,502,1,3
4,狼獄,The Wolves' Den,狼獄,501,1,4
5,格里達尼亞,Gridania,格里達尼亞,506,2,5
6,黑衣森林,The Black Shroud,黑衣森林,507,2,6
7,烏爾達哈,Ul'dah,烏爾達哈,504,3,7
8,薩納蘭,Thanalan,薩納蘭,505,3,8
9,金碟遊樂園,The Gold Saucer,金碟遊樂園,503,3,9
10,伊修加爾德,Ishgard,伊修加爾德,512,4,10
11,庫爾札斯,Coerthas,庫爾札斯,508,4,11
12,阿巴拉提亞,Abalathia's Spine,阿巴拉提亞,510,4,12
13,田園郡,Idyllshire,田園郡,4136,4,13
14,德拉瓦尼亞,Dravania,德拉瓦尼亞,511,4,14
15,神拳痕,Rhalgr's Reach,神拳痕,4137,5,15
16,基拉巴尼亞,Gyr Abania,基拉巴尼亞,514,5,16
17,黃金港,Kugane,黃金港,513,6,17
18,奧薩德,Othard,奧薩德,515,6,18
19,拉札漢,Radz-at-Han,拉札漢,3745,7,19
20,薩維奈島,Thavnair,薩維奈島,3741,7,20
21,加雷馬,Garlemald,加雷馬,4138,7,21
22,水晶都,The Crystarium,水晶都,516,8,22
23,遊末邦,Eulmore,遊末邦,517,8,23
24,諾弗蘭特,Norvrandt,諾弗蘭特,518,8,24
25,摩杜納,Mor Dhona,摩杜納,509,9,25
26,舊薩雷安,Old Sharlayan,舊薩雷安,3744,11,26
27,迷津,Labyrinthos,迷津,3740,11,27
28,星外天域,The Sea of Stars,星外天域,3742,9,28
29,古代世界,The World Unsundered,古代世界,3743,9,29
30,其他區域,Elsewhere,其他區域,519,9,35
31,圖萊尤拉,Tuliyollal,圖萊尤拉,4515,10,30
32,尤卡圖拉爾,Yok Tural,尤卡圖拉爾,4511,10,31
33,薩卡圖拉爾,Xak Tural,薩卡圖拉爾,4512,10,32
34,九號解決方案,Solution Nine,九號解決方案,4514,10,33
35,無失世界,Unlost World,無失世界,4513,9,34
