#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
0,,,,,,0,0,0,0,0,0,False,True,True,True
1,脫離,按下按鈕跳下來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,1,88,4,0,0,0,False,True,True,True
2,脫離,快速連擊按鈕掙脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,True,True,True
3,拼刀,快速連擊按鈕抗住攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
4,,,,,,4,0,0,0,0,0,False,False,True,True
5,脫離,快速連擊按鈕掙脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,35,0,0,False,True,True,True
6,脫離,快速連擊按鈕掙脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,10,0,0,False,True,True,True
7,騎乘攻防,快速連擊按鈕壓制！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,20,2,0,True,False,True,True
8,脫離,快速連擊按鈕掙脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,True,False,True,True
9,暴風牢獄,用盡全力逃脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,False,False,True,True
10,光之解放,釋放體內的光之力吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
11,光之解放,釋放體內的光之力吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
12,拼刀,快速連擊按鈕抗住攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,60,30,3,0,True,False,True,True
13,拼刀,快速連擊按鈕抗住攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
14,反抗心,拼命反抗！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,15,30,3,0,False,False,True,False
15,對抗鎖死病,忍住鎖死病的極痛站起來！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,15,0,0,False,False,True,False
16,保持清醒,快速連擊按鈕保持意識清醒！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,True,True,False
17,死鬥,快速連擊按鈕壓制回去！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,90,0,0,False,True,True,False
18,曼德維爾橫跳,按下按鈕使出招式吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,10,10,0,0,False,True,True,False
19,脫離,快速連擊按鈕掙脫出來吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,28,10,0,0,False,False,True,False
20,保護,快速連擊按鈕保護克萊夫！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
21,抵抗,快速連擊按鈕抵禦攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
22,拼刀,快速連擊按鈕抗住攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,False,True,False
23,脫離,快速連擊按鈕掙脫出來，幫助庫伊奇！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,22,17,0,0,False,False,True,False
24,脫離,快速連擊按鈕突破攻擊！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,45,0,0,False,False,True,False
25,,,,,,0,0,0,0,0,0,False,False,False,False
