#,Unknown_70_1,ENpcResident,Item,Unknown_70_2,Unknown_70_3,Unknown1,Unknown2,ClassJobCategory,Unknown0,AmountRequired,ItemHQ
0.0,0,0,0,0,0,0,0,0,0,0,False
1.0,0,0,0,0,0,0,0,0,0,0,False
1.1,0,0,0,0,0,0,0,0,0,0,False
1.2,0,0,0,0,0,0,0,0,0,0,False
1.3,0,0,0,0,0,0,0,0,0,0,False
2.0,0,0,0,0,0,0,0,0,0,0,False
2.1,0,0,0,0,0,0,0,0,0,0,False
2.2,0,0,0,0,0,0,0,0,0,0,False
2.3,0,0,0,0,0,0,0,0,0,0,False
3.0,0,0,0,0,0,0,0,0,0,0,False
3.1,0,0,0,0,0,0,0,0,0,0,False
3.2,0,0,0,0,0,0,0,0,0,0,False
3.3,0,0,0,0,0,0,0,0,0,0,False
3.4,0,0,0,0,0,0,0,0,0,0,False
3.5,0,0,0,0,0,0,0,0,0,0,False
3.6,0,0,0,0,0,0,0,0,0,0,False
3.7,0,0,0,0,0,0,0,0,0,0,False
4.0,0,0,0,0,0,0,0,0,0,0,False
4.1,0,0,0,0,0,0,0,0,0,0,False
4.2,0,0,0,0,0,0,0,0,0,0,False
4.3,0,0,0,0,0,0,0,0,0,0,False
5.0,0,1025769,22725,0,0,0,0,33,0,2,False
5.1,2,1025769,22621,0,0,0,0,17,0,3,False
5.2,2,1025769,22647,0,0,0,0,18,0,3,False
5.3,1,1025769,22673,0,0,0,0,19,0,1,False
6.0,0,1025602,22726,0,0,0,0,33,0,1,False
6.1,2,1025602,22622,0,0,0,0,17,0,3,False
6.2,2,1025602,22648,0,0,0,0,18,0,3,False
6.3,1,1025602,22674,0,0,0,0,19,0,1,False
7.0,0,1025602,22727,0,0,0,0,33,0,2,False
7.1,2,1025602,22623,0,0,0,0,17,0,3,False
7.2,2,1025602,22649,0,0,0,0,18,0,3,False
7.3,1,1025602,22675,0,0,0,0,19,0,1,False
8.0,0,1025602,22728,0,0,0,0,33,0,3,False
8.1,2,1025602,22624,0,0,0,0,17,0,3,False
8.2,2,1025602,22650,0,0,0,0,18,0,3,False
8.3,1,1025602,22676,0,0,0,0,19,0,1,False
9.0,0,1025779,22730,0,0,0,0,33,0,2,False
9.1,2,1025779,22626,0,0,0,0,17,0,3,False
9.2,2,1025779,22652,0,0,0,0,18,0,3,False
9.3,1,1025779,22678,0,0,0,0,19,0,1,False
10.0,0,1025781,22731,0,0,0,0,33,0,1,False
10.1,2,1025781,22627,0,0,0,0,17,0,3,False
10.2,2,1025781,22653,0,0,0,0,18,0,3,False
10.3,1,1025781,22679,0,0,0,0,19,0,1,False
11.0,0,1025602,22732,0,0,0,0,33,0,2,False
11.1,2,1025602,22628,0,0,0,0,17,0,3,False
11.2,2,1025602,22654,0,0,0,0,18,0,3,False
11.3,1,1025602,22680,0,0,0,0,19,0,1,False
12.0,0,1025785,22733,0,0,0,0,33,0,1,True
12.1,2,1025785,22629,0,0,0,0,17,0,2,False
12.2,2,1025785,22655,0,0,0,0,18,0,2,False
12.3,1,1025785,22681,0,0,0,0,19,0,1,False
13.0,0,1025787,22734,0,0,0,0,33,0,2,False
13.1,2,1025787,22630,0,0,0,0,17,0,3,False
13.2,2,1025787,22656,0,0,0,0,18,0,3,False
13.3,1,1025787,22682,0,0,0,0,19,0,1,False
14.0,0,1025789,22735,0,0,0,0,33,0,3,False
14.1,2,1025789,22631,0,0,0,0,17,0,3,False
14.2,2,1025789,22657,0,0,0,0,18,0,3,False
14.3,1,1025789,22683,0,0,0,0,19,0,1,False
15.0,0,1025602,22736,0,0,0,0,33,0,2,False
15.1,2,1025602,22632,0,0,0,0,17,0,1,False
15.2,2,1025602,22658,0,0,0,0,18,0,1,False
15.3,1,1025602,22684,0,0,0,0,19,0,1,False
16.0,0,1025602,22737,0,0,0,0,33,0,1,False
16.1,2,1025602,22633,0,0,0,0,17,0,2,False
16.2,2,1025602,22659,0,0,0,0,18,0,2,False
16.3,1,1025602,22685,0,0,0,0,19,0,1,False
17.0,0,1025803,22738,0,0,0,0,33,0,3,False
17.1,2,1025803,22634,0,0,0,0,17,0,2,False
17.2,2,1025803,22660,0,0,0,0,18,0,2,False
17.3,1,1025803,22686,0,0,0,0,19,0,1,False
18.0,0,1025602,22739,0,0,0,0,33,0,1,True
18.1,2,1025602,22635,0,0,0,0,17,0,3,False
18.2,2,1025602,22661,0,0,0,0,18,0,3,False
18.3,1,1025602,22687,0,0,0,0,19,0,1,False
19.0,0,1025814,22740,0,0,0,0,33,0,2,False
19.1,2,1025814,22636,0,0,0,0,17,0,2,False
19.2,2,1025814,22662,0,0,0,0,18,0,2,False
19.3,1,1025814,22688,0,0,0,0,19,0,1,False
20.0,0,1025602,22741,0,0,0,0,33,0,1,True
20.1,2,1025602,22637,0,0,0,0,17,0,1,False
20.2,2,1025602,22663,0,0,0,0,18,0,1,False
20.3,1,1025602,22689,0,0,0,0,19,0,1,False
21.0,0,1025820,22742,0,0,0,0,33,0,2,False
21.1,2,1025820,22638,0,0,0,0,17,0,1,False
21.2,2,1025820,22664,0,0,0,0,18,0,1,False
21.3,1,1025820,22690,0,0,0,0,19,0,1,False
22.0,0,1025822,22743,0,0,0,0,33,0,1,True
22.1,2,1025822,22639,0,0,0,0,17,0,1,False
22.2,2,1025822,22665,0,0,0,0,18,0,1,False
22.3,1,1025822,22691,0,0,0,0,19,0,1,False
23.0,0,1025831,22744,0,0,0,0,33,0,2,False
23.1,2,1025831,22640,0,0,0,0,17,0,1,False
23.2,2,1025831,22666,0,0,0,0,18,0,1,False
23.3,1,1025831,22692,0,0,0,0,19,0,1,False
24.0,0,1021784,22745,0,0,0,0,33,0,1,True
24.1,2,1021784,22641,0,0,0,0,17,0,1,False
24.2,2,1021784,22667,0,0,0,0,18,0,1,False
24.3,1,1021784,22693,0,0,0,0,19,0,1,False
25.0,0,1025699,22720,0,0,0,0,33,0,3,False
25.1,2,1025699,22616,0,0,0,0,17,0,3,False
25.2,2,1025699,22642,0,0,0,0,18,0,3,False
25.3,1,1025699,22668,0,0,0,0,19,0,1,False
26.0,0,1025704,22721,0,0,0,0,33,0,2,False
26.1,2,1025704,22617,0,0,0,0,17,0,3,False
26.2,2,1025704,22643,0,0,0,0,18,0,3,False
