#,Expac,Unknown0
0,,0
1,蒼天伊修加爾德,2
2,紅蓮解放者,3
3,漆黑反叛者,4
4,大型任務,1
5,團隊任務,2
6,討伐殲滅戰,3
7,非著名調查員,1
8,聖恩達利姆神學院記,3
9,主線任務外傳,2
10,木工師,1
11,鍛造師,2
12,甲冑師,3
13,金工師,4
14,皮革師,5
15,裁縫師,6
16,鍊金術師,7
17,烹調師,8
18,採掘師,1
19,園藝師,2
20,漁師,3
21,劍術士 騎士,1
22,斧術士 戰士,2
23,幻術士 白魔道士,1
24,巴術士 召喚士,22
25,格鬥士 武僧,1
26,槍術士 龍騎士,2
27,雙劍士 忍者,3
28,弓術士 吟遊詩人,11
29,咒術士 黑魔道士,21
30,新生艾奧傑亞,1
31,暗黑騎士,3
32,絕槍戰士,4
33,學者,2
34,占星術師,3
35,武士,4
36,機工士,12
37,舞者,13
38,,0
39,赤魔道士,23
40,青魔道士,99
41,防護職業,0
42,治療職業,0
43,進攻職業,0
44,職能劇情任務,5
45,虛無界再生計劃,6
46,曉月之終途,5
47,賢者,4
48,奪魂者,5
49,多變迷宮,7
50,第七靈災回憶錄,8
51,塔塔露的大繁榮商店,9
52,黃金遺產,6
53,毒蛇劍士,6
54,繪靈法師,24
55,職能任務序章,4
